,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Годинанареновирање,Адреса
0,1€,41.221826,21.207874,7,300m²,3спрата,Нема,100m²,Останато,Воградба,Празен,2Балкони,2,Да,1Паркинг,Југозапад,,,
1,160000€,41.9870695865131,21.4519291484375,6,145m²,2спрата,Струја,415m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,2,Да,2Паркингместа,Североисток,2005,2019,Pripor
2,175000€,41.240371,20.592708,5,197m²,2спрата,Дрва,65m²,Вила,Реновирана,Наместен,Нема,2,Да,Нема,Југоисток,1882,2008,Вевчани
3,1€,42.132926,21.715878,4,285m²,2спрата,Струја,861m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Да,1Гаража,Исток,,,
4,85000€,41.111733,20.798579,3,118m²,Приземје,Струја,1275m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,1,Не,Гаража+2Паркингместа,Југозапад,,,Охрид
5,155000€,41.9870695865131,21.4519291484375,3,70m²,Високоприземје,Струја,880m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Нема,1,Да,Гаража+Повеќеод4паркингместа,Југоисток,1958,1970,RafajloBatino22
6,1€,41.9741831116665,21.4692941470078,5,185m²,2спрата,Струја,300m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Тераса,3,Не,4Паркингместа,Југоисток,2021,,IlijaDimovski6b
7,8000МКД,41.1359699561422,22.4948872115478,1,40m²,Приземје,Струја,100m²,Мултисемејнакуќа,Нова,Наместен,Нема,1,Не,4Паркингместа,Североисток,2005,2015,МоинскипатббГевгелија(добившакасарна)
8,77000€,41.3483968787251,21.559056952889,7,205m²,Приземје,Дрва,75m²,Двo-семејнакуќа,Стара,Полунаместен,1Балкон,1,Да,3Паркингместа,Северозапад,1970,1990,ул11Октомврибр75
9,90000€,41.9870695865131,21.4519291484375,45,97m²,1спрат,Дрва,31m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,1,Да,2Паркингместа,Исток,1990,2020,Мариовска54
10,160000€,41.111733,20.798579,6,150m²,Високоприземје,Дрва,430m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Да,2Паркингместа,Северозапад,,,ohrid
11,1МКД,41.9870695865131,21.4519291484375,8,342m²,3спрата,Дрва,321m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Повеќеод5балкони,3,Да,3Паркингместа,Југоисток,,,SvetiNikole
12,12000€,42.132926,21.715878,25,80m²,Високоприземје,Дрва,2000m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Повеќеод4паркингместа,Југ,1976,1976,селоТромеѓа
13,30000€,41.865485,21.940845,3,120m²,2спрата,Друго,120m²,Дуплекс-Лепенакуќа,Стара,Празен,1Тераса,1,Не,1Паркинг,Југ,1976,2000,КрстеМисирков
14,1€,41.745515,22.19396,7,140m²,2спрата,Дрва,70m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,1Балкон,2,Да,2Паркингместа,Југ,1976,2020,AntonPanov47
15,35000€,42.1949434142987,22.3357076570392,3,80m²,Приземје,Дрва,743m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Да,Нема,Југ,,,
16,75000€,41.9741502885644,21.4690620680061,3,70m²,Приземје,Струја,40m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Не,2Паркингместа,Исток,2010,2020,IlijaDimovskiGoche
17,90000€,41.14712,22.507161,9,300m²,2спрата,Струја,400m²,Мултисемејнакуќа,Реновирана,Наместен,2Балкони,2,Не,2Паркингместа,Исток,2000,2010,ulNova
18,1МКД,41.1145380872683,20.8107662200928,6,78m²,2спрата,Струја,330m²,,,,,,,,,,,
19,70000€,41.031728,21.329358,6,160m²,2спрата,Дрва,150m²,Двo-семејнакуќа,Стара,Празен,1Тераса,2,Да,1Гаража,Југозапад,1975,1975,Центар
20,165000€,42.0084730716915,21.3334144279361,8,180m²,2спрата,Дрва,250m²,Двo-семејнакуќа,Нова,Наместен,2Балкони,2,Да,3Паркингместа,Југозапад,2007,2014,ulpanajotginovski
21,65000€,41.9870695865131,21.4519291484375,10,166m²,2спрата,Дрва,59m²,Двo-семејнакуќа,Реновирана,Наместен,Тераса+1Балкон,2,Да,2Паркингместа,Југозапад,,,9Ноемврибр20(кајстаритефурни)
22,45900€,41.111733,20.798579,5,148m²,2спрата,Друго,356m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,3Паркингместа,Запад,,,ohrid
23,По договор,41.440569,22.639528,6,120m²,2спрата,Друго,361m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Не,Повеќеод4паркингместа,Југ,,,Добрејци
24,По договор,41.801881,20.913259,3,220m²,4спрата,Друго,618m²,Мултисемејнакуќа,Воградба,Наместен,1Балкон,1,Да,Повеќеод4паркингместа,Југоисток,,,GoceDelcev35
25,145000€,41.949632,21.502494,4,90m²,Приземје,Струја,300m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,Нема,1,Да,1Гаража,Југоисток,,,
26,1€,41.43085452425,22.6393890380859,10,200m²,2спрата,Дрва,350m2m²,,,,,,,,,,,
27,37000€,41.9421737845355,21.6060877042465,3,121m²,2спрата,Дрва,500m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,1Гаража,Исток,,,Улица2број7
28,95000€,41.111733,20.798579,6,200m²,2спрата,Друго,238m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,1,Не,2Паркингместа,Југоисток,,,ohrid
29,68000€,41.9963411060767,21.511723566314,3,107m²,2спрата,Дрва,206m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,2,Да,1Гаража,Исток,,,ulZhanZhoresbr117/10ASkopje
30,65000€,41.031728,21.329358,4,100m²,2спрата,Централно,256m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,2Балкони,2,Да,2Паркингместа,Југоисток,1963,2019,SterjovskiGjorgiDzodza10
31,По договор,41.031728,21.329358,10,176m²,2спрата,Струја,152m²,Двo-семејнакуќа,Реновирана,Полунаместен,Тераса+4Балкони,3,Да,1Гаража,Исток,,,
32,20€,42.00877,21.45126,2,80m²,Приземје,Струја,4000m²,Мултисемејнакуќа,Стара,Полунаместен,1Тераса,1,Да,2Паркингместа,Југозапад,1999,2005,селојурумлерископско
33,По договор,42.132926,21.715878,4,80m²,1спрат,Струја,300m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Да,1Паркинг,Североисток,2009,2009,BEDINJE
34,50000€,41.745515,22.19396,5,148m²,2спрата,Друго,1m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,3,Да,Нема,Североисток,,,NikolaKarev46A
35,500€,41.9870695865131,21.4519291484375,6,120m²,1спрат,Централно,395m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Тераса,2,Да,1Паркинг,Југ,1991,2005,meglenska
36,370000€,41.3433896220886,21.5559205971658,10,350m²,3спрата,Струја,50m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,5Балкони,3,Да,2Паркингместа,Северозапад,,,UlKej9tiSeptemvri”br36
37,80000€,42.00877,21.45126,8,170m²,2спрата,Нема,260m²,Двo-семејнакуќа,Стара,Празен,Тераса+1Балкон,2,Да,Гаража+2Паркингместа,Југозапад,1965,1975,Katlanovskabr50
38,45000€,41.9715010710544,21.4373593890687,45,140m²,Високоприземје,Дрва,250m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,2Балкони,2,Да,2Паркингместа,Североисток,1985,,Ul22
39,1€,41.801881,20.913259,4,208m²,1спрат,Дрва,387m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,1Гаража,Југ,1980,,ulPitarnica
40,1МКД,42.132926,21.715878,5,108m²,2спрата,Нема,320m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Тераса,1,Да,1Гаража,Запад,,,Ul6tiAprilBR7
41,260000€,42.0288839279358,21.4488783895795,7,250m²,2спрата,Струја,295m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,2,Да,3Паркингместа,Југ,2008,,HoShimin
42,115000€,41.9813544633559,21.4882278442383,8,200m²,2спрата,Струја,400m²,Двo-семејнакуќа,Нова,Наместен,3Балкони,2,Да,3Паркингместа,Југ,2010,,ТодорЧангов39/14
43,39000€,41.346182,21.553379,5,85m²,2спрата,Струја,65m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Да,1Паркинг,Југозапад,1965,1999,andonslabejko
44,99000€,41.111733,20.798579,7,200m²,2спрата,Друго,100m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,2Паркингместа,Југозапад,,,ohrid
45,30€,41.346182,21.553379,5,80m²,2спрата,Струја,60m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,2,Да,1Паркинг,Североисток,1965,1965,Andonslabejko
46,250000€,41.346182,21.553379,7,210m²,3спрата,Централно,50m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,2Балкони,3,Не,Гаража+2Паркингместа,Југоисток,2019,,BorkaTaleski
47,1€,42.00877,21.45126,10,520m²,3спрата,Друго,500m²,Мултисемејнакуќа,Воградба,Празен,5Балкони,Повеќеод4,Да,4Паркингместа,Југ,,,Маџари
48,150000€,41.9870695865131,21.4519291484375,7,160m²,2спрата,Дрва,970m²,Двo-семејнакуќа,Стара,Празен,2Балкони,2,Не,1Гаража,Север,1977,,ButelskiVenec45
49,55000€,41.14712,22.507161,7,176m²,2спрата,Нема,600m²,Останато,Стара,Наместен,1Балкон,1,Не,1Гаража,Југ,,,1maj
50,120000€,41.031728,21.329358,12,250m²,1спрат,Дрва,170m²,Двo-семејнакуќа,Стара,Наместен,2Балкони,2,Да,2Паркингместа,Југ,1975,1985,Starabolnica
51,1€,42.077699,21.053594,6,150m²,2спрата,Друго,1600m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Да,1Паркинг,Југ,,,
52,200000€,41.111733,20.798579,10,401m²,4спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,3,Не,3Паркингместа,Запад,,,ohrid
53,1€,41.8650982626746,21.9415830221897,3,120m²,2спрата,Нема,250m²,Останато,Стара,Празен,Нема,1,Не,Нема,Запад,1950,1950,Karposeva
54,140000€,41.14712,22.507161,5,140m²,2спрата,Струја,460m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Не,Гаража+1Паркинг,Исток,2017,2018,karac
55,85000€,41.9870695865131,21.4519291484375,4,100m²,Високоприземје,Дрва,300m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,Гаража+1Паркинг,Исток,1965,2010,ulSrekjkoPuzhalka84b
56,65000€,42.0185584623735,21.5603350004003,5,140m²,1спрат,Нема,4700m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Повеќеод4паркингместа,Југ,1970,1970,Aracinovo
57,100000€,41.9870695865131,21.4519291484375,4,140m²,Високоприземје,Струја,274m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,2,Да,1Гаража,Исток,1987,2021,Milanmijalkovik6b
58,90000€,41.031728,21.329358,6,106m²,2спрата,Струја,28m²,Дуплекс-Лепенакуќа,Нова,Наместен,2Балкони,2,Да,1Гаража,Југ,2000,2010,СТРОГЦЕНТАР
59,130000€,41.9870695865131,21.4519291484375,8,263m²,2спрата,Струја,263m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,2,Не,2Паркингместа,Југоисток,,,Карпош
60,1€,41.111733,20.798579,6,160m²,1спрат,Друго,450m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,2,Да,1Гаража,Југоисток,,,UlKraliMarko
61,120000€,42.009423,20.971549,8,243m²,1спрат,Струја,145m²,Двo-семејнакуќа,Нова,Наместен,2Балкони,2,Да,2Паркингместа,Југоисток,,,GjorcePetrov6
62,250000€,42.009423,20.971549,6,110m²,2спрата,Струја,,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,3,Не,Гаража+3Паркингместа,Запад,,,GornaCharshija
63,1€,41.9870695865131,21.4519291484375,6,150m²,2спрата,Струја,10m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Да,Нема,Север,,,178broj15
64,165000€,42.009423,20.971549,35,70m²,3спрата,Струја,,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,3,Да,Нема,Југозапад,2017,,Centar
65,230000€,42.009423,20.971549,35,758m²,2спрата,Дрва,602m²,Двo-семејнакуќа,Стара,Празен,2Балкони,3,Да,Повеќеод4паркингместа,Југозапад,,,Centar
66,13500€,41.715954,21.770997,4,100m²,2спрата,Нема,120m²,Дуплекс-Лепенакуќа,Стара,Празен,1Балкон,1,Да,2Паркингместа,Југозапад,1965,1965,MAKSIMGORKI21
67,360000€,42.009423,20.971549,45,250m²,2спрата,Струја,,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Да,1Паркинг,Југоисток,,,GornaCharshija
68,42000€,41.715954,21.770997,9,300m²,3спрата,Нема,800m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,3,Да,Повеќеод4паркингместа,Југоисток,1990,2005,KostadinBodin12
69,28500€,41.715954,21.770997,6,200m²,2спрата,Нема,140m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,1Балкон,1,Да,3Паркингместа,Југозапад,1965,2018,blagojkirkovbr48
70,30000€,42.077699,21.053594,45,140m²,1спрат,Дрва,800m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,2Балкони,2,Не,4Паркингместа,Југоисток,,,Zilce
71,22500€,41.715954,21.770997,8,300m²,3спрата,Нема,1m²,Еднасемејнакуќа-Самостојна,Стара,Празен,4Балкони,1,Да,Повеќеод4паркингместа,Југоисток,1887,1955,VLADIMIRNAZOR99
72,1€,41.031728,21.329358,3,150m²,2спрата,Соларнаенергија,150m²,Двo-семејнакуќа,Нова,Наместен,1Балкон,2,Да,1Гаража,Југ,1994,2000,Bukovskimost
73,12000€,41.924335,22.404964,4,1000m²,1спрат,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Не,Нема,Запад,1985,2018,Selo
74,1350€,41.9870695865131,21.4519291484375,13,530m²,4спрата,Друго,150m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+2Балкони,Повеќеод4,Да,Гаража+1Паркинг,Југ,2019,,
75,95000€,41.090247,21.016781,9,250m²,2спрата,Централно,650m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,Тераса+5Балкони,2,Не,Гаража+1Паркинг,Исток,1990,1,УлКорчуланска
76,По договор,42.1233139367505,21.7423353097229,8,640m²,3спрата,Централно,1000m²,Мултисемејнакуќа,Стара,Наместен,3Балкони,3,Да,Повеќеод4паркингместа,Југ,,,Ul607br1
77,1€,41.090247,21.016781,9,250m²,3спрата,Друго,800m²,Еднасемејнакуќа-Самостојна,Нова,Празен,3Балкони,4,Не,Гаража+3Паркингместа,Запад,,,Ресен
78,68000€,42.132926,21.715878,6,250m²,2спрата,Нема,360m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Да,1Паркинг,Север,1988,,NikolaTesla214
79,1€,41.9805489413651,21.4947509765625,4,120m²,3спрата,Централно,350m²,Мултисемејнакуќа,Реновирана,Луксузен,2Балкони,1,Да,Повеќеод4паркингместа,Југоисток,,,IvanCankar
80,52000€,42.0215163887153,21.5674631996568,5,161m²,3спрата,Струја,110m²,Двo-семејнакуќа,Нова,Полунаместен,3Балкони,3,Да,3Паркингместа,Исток,1997,2016,UL14Nr92aracinovo
81,78000€,41.031728,21.329358,45,100m²,2спрата,Струја,116m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Не,1Паркинг,Југоисток,1995,2020,StivNaumov98A
82,250000€,41.9870695865131,21.4519291484375,12,350m²,2спрата,Соларнаенергија,650m²,Мултисемејнакуќа,Стара,Наместен,2Балкони,4,Да,4Паркингместа,Југ,2004,,СтопанскиДвор
83,1€,41.9870695865131,21.4519291484375,3,120m²,Високоприземје,Дрва,2700m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,2,Да,Повеќеод4паркингместа,Југоисток,2010,,Волково
84,1€,41.978187,21.427388,15,480m²,3спрата,Друго,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Повеќеод5балкони,Повеќеод4,Да,2Паркингместа,Југоисток,2000,,UlVostanickabr43-Skopje
85,1€,41.9870695865131,21.4519291484375,10,500m²,3спрата,Струја,500m²,Мултисемејнакуќа,Нова,Наместен,Повеќеод5балкони,Повеќеод4,Да,4Паркингместа,Југозапад,2011,2011,хиподром
86,1€,41.9870695865131,21.4519291484375,7,850m²,3спрата,Друго,1300m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,2Балкони,Повеќеод4,Да,Повеќеод4паркингместа,Исток,2017,,Stopanskidvor
87,70000€,41.967228,20.980786,8,300m²,3спрата,Дрва,400m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,3Балкони,2,Да,Гаража+1Паркинг,Југозапад,85888,9566855,SeloBrvenica
88,55000€,41.031728,21.329358,7,,1спрат,Дрва,140m²,Половинакуќа,Стара,Наместен,1Балкон,2,Не,1Гаража,Југ,,,GavriloRadomir44a
89,1МКД,41.031728,21.329358,4,111m²,1спрат,Друго,17m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,Нема,Исток,,,
90,158000€,42.036516,21.42584,10,500m²,3спрата,Нема,200m²,Двo-семејнакуќа,Нова,Празен,Повеќеод5балкони,Повеќеод4,Не,2Паркингместа,Југ,2018,2018,ButelskiVenec
91,72900€,41.9870695865131,21.4519291484375,4,120m²,1спрат,Струја,620m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,2,Не,2Паркингместа,Запад,2021,,
92,42000€,41.087012496974,21.0135730780182,6,133m²,2спрата,Дрва,264m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Не,2Паркингместа,Југоисток,1963,2017,11Oktomvribr118Resen
93,59000€,41.031728,21.329358,7,220m²,2спрата,Друго,220m²,Дуплекс-Лепенакуќа,Воградба,Празен,5Балкони,Повеќеод4,Да,Повеќеод4паркингместа,Југозапад,2020,2020,ЛАВЧАНСКИПАТ
94,1€,41.801881,20.913259,6,330m²,3спрата,Друго,500m²,Мултисемејнакуќа,Реновирана,Полунаместен,3Балкони,3,Не,Гаража+Повеќеод4паркингместа,Исток,1981,2015,Ivicas1988@gmailcom
95,850000€,41.9870695865131,21.4519291484375,35,435m²,2спрата,Централно,800m²,Вила,Нова,Наместен,5Балкони,2,Да,1Паркинг,Југ,1983,,PanoramaThessaloniki
96,220000€,40.2668703096575,23.4559350341205,5,154m²,3спрата,Централно,280m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Повеќеод5балкони,3,Да,1Гаража,Југ,2004,,GerakiniHalkidikiGreece
97,1€,41.8057990340309,20.8992947644005,15,440m²,4спрата,Дрва,500m²,Мултисемејнакуќа,Реновирана,Полунаместен,3Балкони,3,Не,Гаража+Повеќеод4паркингместа,Исток,1985,2015,Naselbamlaki2broj65
98,1€,41.801881,20.913259,6,330m²,3спрата,Друго,500m²,Мултисемејнакуќа,Реновирана,Полунаместен,3Балкони,3,Не,Гаража+Повеќеод4паркингместа,Исток,1981,2015,Naselbamlaki
99,1€,41.801881,20.913259,5,330m²,3спрата,Дрва,500m²,Мултисемејнакуќа,Реновирана,Наместен,3Балкони,3,Не,Гаража+Повеќеод4паркингместа,Исток,1981,2015,Naselbamlakigostivar
100,70000€,41.924335,22.404964,7,180m²,2спрата,Дрва,20m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,1,Не,1Паркинг,Запад,,,улСтрашоЕрбапчебр28-Кочани
101,120000€,41.031728,21.329358,14,350m²,3спрата,Струја,250m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,Тераса+5Балкони,Повеќеод4,Да,Гаража+2Паркингместа,Југозапад,1980,2015,Centar
102,65000€,41.9870695865131,21.4519291484375,7,156m²,Високоприземје,Дрва,356m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,1,Да,Гаража+1Паркинг,Југ,1967,2016,СкопјенЧенто
103,180000€,41.031728,21.329358,15,350m²,2спрата,Струја,400m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+5Балкони,4,Не,Гаража+2Паркингместа,Југоисток,1980,2000,Nedopirlivi
104,50000€,41.031728,21.329358,45,90m²,1спрат,Струја,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,3Паркингместа,Југ,1960,1,Стараболница
105,37000€,41.031728,21.329358,35,118m²,Приземје,Струја,150m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,3Паркингместа,Исток,1970,1980,Kajcasit
106,49000€,41.031728,21.329358,3,150m²,2спрата,Дрва,150m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Да,1Паркинг,Југ,1968,2007,Kicevska23
107,55000€,42.013646,21.32586,3,100m²,Високоприземје,Струја,240m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,1,Да,1Паркинг,Исток,1983,2020,ул100бр35
108,По договор,41.031728,21.329358,4,111m²,1спрат,Струја,60m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,2Балкони,1,Да,1Паркинг,Југ,,,Ilindenska270
109,235000€,41.991502,21.39781,5,220m²,3спрата,Струја,100m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,Тераса+2Балкони,3,Да,3Паркингместа,Југозапад,,,Kozle
110,1€,41.51282,20.96083,6,110m²,1спрат,Нема,400m²,Половинакуќа,Стара,Празен,Нема,2,Не,Повеќеод4паркингместа,Југ,,,Magistralenpat52
111,1€,42.0060337804185,21.3726705117908,4,83m²,Приземје,Струја,110m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Не,1Паркинг,Југозапад,,,Влае
112,150000€,41.7390410496887,22.1907144577147,15,384m²,4спрата,Дрва,140m²,Двo-семејнакуќа,Нова,Полунаместен,4Балкони,Повеќеод4,Да,Гаража+2Паркингместа,Исток,2000,,29Ноемврибр6аШтип
113,1500000МКД,42.132926,21.715878,2,99m²,1спрат,Друго,7462m²,,,,,,,,,,,
114,9900€,41.031728,21.329358,25,37m²,Приземје,Дрва,35m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,Нема,Североисток,,,СМИЛЕВСКИБАИР
115,78000€,41.031728,21.329358,6,125m²,2спрата,Струја,93m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,2Паркингместа,Југ,,,ОХРИД
116,31500€,41.031728,21.329358,3,62m²,Приземје,Струја,283m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,Гаража+1Паркинг,Југоисток,,,ОУСТИВНАУМОВ
117,80000€,41.031728,21.329358,8,250m²,2спрата,Соларнаенергија,200m²,Двo-семејнакуќа,Реновирана,Празен,4Балкони,3,Да,Гаража+Повеќеод4паркингместа,Југоисток,,,ЗАДУРЕДОТ
118,52000€,41.031728,21.329358,3,43m²,Приземје,Дрва,170m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Нема,1,Да,2Паркингместа,Југ,,,НОВАБИТОЛА
119,46000€,41.031728,21.329358,5,100m²,2спрата,Дрва,90m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,Гаража+1Паркинг,Југоисток,,,ЈЕНИМААЛЕ
120,24500€,41.031728,21.329358,35,50m²,Приземје,Дрва,200m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Тераса,1,Да,1Паркинг,Југ,,,BAIR
121,55000€,41.031728,21.329358,7,150m²,2спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,2Паркингместа,Северозапад,,,КАЈМУЗИЧКОУЧИЛИШТЕ
122,550000€,41.9870695865131,21.4519291484375,10,1200m²,Повеќеод4спрата,Друго,560m²,Двo-семејнакуќа,Стара,Полунаместен,2Балкони,2,Да,Гаража+Повеќеод4паркингместа,Запад,1998,1998,volkovo
123,1€,42.013646,21.32586,4,100m²,2спрата,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Не,Повеќеод4паркингместа,Исток,1980,,Волково-близупоследна22
124,1€,41.9870695865131,21.4519291484375,10,360m²,2спрата,Струја,390m²,Еднасемејнакуќа-Самостојна,Стара,Празен,4Балкони,3,Да,3Паркингместа,Југоисток,1970,2017,CENTAR
125,По договор,42.198776,21.835265,25,120m²,Приземје,Нема,1m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Повеќеод4паркингместа,Југ,1940,,MladoNagoricki
126,370000€,41.9870695865131,21.4519291484375,8,420m²,2спрата,Друго,100m²,Мултисемејнакуќа,Стара,Полунаместен,Повеќеод5балкони,Повеќеод4,Да,Повеќеод4паркингместа,Југ,2003,,Kozle
127,1€,41.9870695865131,21.4519291484375,35,120m²,Приземје,Струја,374m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,1,Да,3Паркингместа,Југоисток,1963,2017,TAFTALIDZE
128,180000€,41.9870695865131,21.4519291484375,10,304m²,Приземје,Дрва,808m²,Двo-семејнакуќа,Стара,Празен,3Балкони,3,Не,Повеќеод4паркингместа,Југоисток,1975,,Ул1бр44Идризово
129,1€,41.031728,21.329358,5,100m²,2спрата,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Не,Гаража+Повеќеод4паркингместа,Североисток,1996,,BukovskiMost1-a
130,110000€,41.9870695865131,21.4519291484375,7,120m²,2спрата,Друго,118m²,,,,,,,,,,,
131,80000€,41.9870695865131,21.4519291484375,3,70m²,1спрат,Струја,550m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,1,Да,2Паркингместа,Југоисток,2015,,Sasa18br42naspintija
132,160000€,41.9676592036782,21.4622640609741,10,160m²,2спрата,Струја,70m²,Мултисемејнакуќа,Стара,Наместен,Тераса+1Балкон,2,Да,3Паркингместа,Југоисток,1977,2006,
133,170000€,41.031728,21.329358,12,480m²,4спрата,Централно,432m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,Тераса+4Балкони,Повеќеод4,Да,2Паркингместа,Југ,1,1,УлНародниХерои
134,66500€,41.031728,21.329358,8,172m²,2спрата,Струја,177m²,Двo-семејнакуќа,Стара,Полунаместен,2Балкони,2,Не,1Паркинг,Исток,1,1,улОхридска
135,150000€,41.031728,21.329358,9,347m²,3спрата,Централно,236m²,Двo-семејнакуќа,Реновирана,Полунаместен,2Балкони,3,Да,Гаража+1Паркинг,Југ,1,1,Брусничканаселба
136,150000€,41.031728,21.329358,12,282m²,2спрата,Струја,280m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Повеќеод5балкони,3,Да,Гаража+1Паркинг,Југ,1,1,РужаДелчева
137,120000€,41.031728,21.329358,6,300m²,2спрата,Централно,8m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Тераса+2Балкони,3,Да,1Гаража,Исток,1,1,улСтрушка
