,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Годинанареновирање,Адреса
2041,1€,42.0217445663565,21.4528656005859,7,375m²,1спрат,Струја,250m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,2,Да,2Паркингместа,Југоисток,,,АлексаДундиќ
2042,По договор,42.132926,21.715878,10,380m²,3спрата,Дрва,380m²,Двo-семејнакуќа,Реновирана,Наместен,4Балкони,4,Да,3Паркингместа,Југоисток,1991,,ulJNA4/A
2043,67500€,42.0012118370377,42.0012118370377,4,175m²,Високоприземје,Друго,230m²,,,,,,,,,,,
2044,1€,41.999359,21.327548,4,143m²,2спрата,Друго,944m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Тераса+1Балкон,2,Да,1Гаража,Северозапад,,,1
2045,По договор,42.132926,21.715878,5,100m²,2спрата,Дрва,390m²,,,,,,,,,,,
2046,По договор,41.991502,21.39781,45,200m²,1спрат,Централно,80m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Да,2Паркингместа,Исток,1960,2000,БахарМоис11а
2047,29000€,41.031728,21.329358,5,,Приземје,Нема,77m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,1Паркинг,Исток,,,
2048,1€,42.132926,21.715878,25,70m²,1спрат,Дрва,600m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Тераса,1,Не,1Паркинг,Југоисток,2009,2009,Karposkumanovo
2049,110000€,41.9870695865131,21.4519291484375,3,70m²,Приземје,Струја,500m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Тераса,1,Да,1Гаража,Југ,,,улЃурчинКокалебр42
2050,1€,41.949632,21.502494,12,240m²,3спрата,Централно,100m²,Мултисемејнакуќа,Нова,Наместен,3Балкони,3,Да,3Паркингместа,Југоисток,2002,,GAVRILKONSTANTINOVIČ87
2051,1€,42.0329590314362,21.4267481546062,8,140m²,2спрата,Дрва,340m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Тераса,2,Да,1Паркинг,Запад,1980,2000,Ul1673br18anasShutoOrizari
2052,По договор,42.036516,21.42584,2,120m²,2спрата,Дрва,180m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,1,Не,Нема,Север,2014,2016,sorizari
2053,35000€,41.924335,22.404964,5,80m²,1спрат,Дрва,125m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,1,Да,Нема,Југ,1980,,8septemvri
2054,35000€,41.031728,21.329358,4,,1спрат,Друго,,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Исток,,,
2055,120000€,41.9870695865131,21.4519291484375,5,114m²,2спрата,Струја,160m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,2Балкони,2,Не,2Паркингместа,Север,,,ULKOZLEBR183
2056,61000€,42.036516,21.42584,4,100m²,Приземје,Дрва,540m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,2Паркингместа,Североисток,1980,,/////////
2057,30000€,41.031728,21.329358,3,,1спрат,Друго,,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Исток,,,
2058,1€,41.3619024459112,21.5665030487098,7,160m²,2спрата,Струја,130m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Не,1Паркинг,Југ,1953,2015,УлЦанеИлиескибр89
2059,123000€,41.9870695865131,21.4519291484375,7,185m²,2спрата,Дрва,516m²,Двo-семејнакуќа,Нова,Празен,2Балкони,2,Да,2Паркингместа,Југоисток,2015,,
2060,1€,41.745515,22.19396,5,93m²,1спрат,Дрва,50m²,Останато,Реновирана,Полунаместен,1Балкон,1,Да,1Паркинг,Исток,75,2010,
2061,По договор,42.1375322066398,21.7027933604204,13,200m²,2спрата,Струја,100m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,3Балкони,2,Да,2Паркингместа,Запад,,,ul“MilanLisica”br16Kumanovo
2062,320000€,41.931839,21.502835,10,600m²,Повеќеод4спрата,Струја,425m²,Мултисемејнакуќа,Нова,Празен,Повеќеод5балкони,Повеќеод4,Да,Повеќеод4паркингместа,Североисток,,,Shampionce
2063,40000€,42.009423,20.971549,5,120m²,1спрат,Дрва,20m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Да,1Паркинг,Север,,,
2064,По договор,41.931839,21.502835,5,350m²,3спрата,Струја,250m²,Еднасемејнакуќа-Самостојна,Стара,Празен,3Балкони,4,Да,2Паркингместа,Североисток,,,Przino
2065,По договор,41.440569,22.639528,10,335m²,2спрата,Друго,350m²,Мултисемејнакуќа,Стара,Празен,2Балкони,2,Да,Нема,Југоисток,1974,,TRUMICA-ULDOJRANSKA
2066,65000€,41.031728,21.329358,6,104m²,2спрата,Дрва,56m²,Дуплекс-Лепенакуќа,Стара,Празен,Нема,1,Да,Нема,Североисток,1970,2010,ЦЕНТАР
2067,320000€,41.9870695865131,21.4519291484375,8,292m²,2спрата,Струја,702m²,Двo-семејнакуќа,Реновирана,Полунаместен,2Балкони,3,Не,3Паркингместа,Североисток,,,
2068,По договор,42.00877,21.45126,8,250m²,3спрата,Дрва,300m²,Двo-семејнакуќа,Стара,Празен,2Балкони,2,Да,2Паркингместа,Југ,,,улХристифорЖефаровиќ1/1
2069,60000€,41.346182,21.553379,5,160m²,2спрата,Нема,680m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Повеќеод4паркингместа,Југозапад,1,1,VaroskajcrkvataSvDimitrija
2070,28000€,41.346182,21.553379,4,80m²,1спрат,Нема,140m²,Половинакуќа,Стара,Празен,1Балкон,1,Не,1Паркинг,Југозапад,1,1,KajSkrivnicite
2071,1€,41.931839,21.502835,5,350m²,3спрата,Струја,405m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,3Балкони,3,Да,Гаража+1Паркинг,Североисток,,,Przino
2072,1€,42.132926,21.715878,12,300m²,3спрата,Дрва,160m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,3Балкони,3,Да,Гаража+1Паркинг,Југозапад,,,Kumanovo
2073,111€,41.9450639661704,21.5156936645508,6,170m²,2спрата,Струја,300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,3,Да,Повеќеод4паркингместа,Североисток,2014,2014,КИСЕЛАВОДА
2074,1€,41.978187,21.427388,35,107m²,1спрат,Нема,711m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,3Паркингместа,Исток,,,
2075,1€,41.9870695865131,21.4519291484375,3,280m²,1спрат,Дрва,1500m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,2,Да,2Паркингместа,Исток,,,
2076,1€,41.9870695865131,21.4519291484375,3,65m²,Приземје,Нема,180m²,Останато,Стара,Празен,Нема,1,Да,Нема,Исток,1926,,улмихаилефтикибр29
