,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
1376,По договор,41.6144286503634,21.6496830546876,AlfaRomeo,Oдберетемодел,1999,Дизел,180000,Рачен,Лимузини,,Странска,,,
1377,5000€,41.440569,22.639528,Audi,A8,2001,Дизел,200000,Полуавтоматски,Останато,,Македонска,022020,132kw/179ks,
1378,По договор,42.205478,22.333429,Opel,Astra,2008,Дизел,140000,Рачен,Хеџбек,Сина,Македонска,012019,74kw/101ks,
1379,1€,41.9870695865131,21.4519291484375,Skoda,Octavia,2006,Дизел,190000,Рачен,Останато,Сива,Македонска,072020,103kw/140ks,
1380,1€,41.9870695865131,21.4519291484375,Skoda,Fabia,2007,Бензин,130000,Рачен,Каравани,Сива,Македонска,122020,55kw/75ks,
1381,1€,41.9870695865131,21.4519291484375,Kia,Sephia,2000,Бензин,250000,Рачен,Седани,Сина,Македонска,022019,0kw/0ks,
1382,3800€,42.0060021462575,20.9808317403568,VWVolkswagen,Golf,2004,Дизел,190000,Рачен,Maлиградски,Сива,Македонска,092020,77kw/105ks,
1383,3300€,41.9870695865131,21.4519291484375,Opel,Meriva,2004,Бензин,160000,Рачен,Моноволумен,Црна,Македонска,062020,75kw/102ks,
1384,6000€,41.801881,20.913259,Audi,A6,2004,Дизел,200000,Автоматски,Хеџбек,Сина,Македонска,062020,165kw/224ks,
1385,8300€,41.993825,21.436139,BMW,330,2008,Дизел,250000,Автоматски,Каравани,Црна,Македонска,102019,170kw/231ks,
1386,1МКД,42.132926,21.715878,Hummer,H3,2007,Бензин,90000,Автоматски,Останато,Бела,Македонска,122020,1kw/1ks,
1387,1350€,41.994543,22.181289,Opel,Corsa,1998,Бензин,160000,Рачен,Maлиградски,Зелена,Македонска,032020,43kw/58ks,
1388,1€,41.031728,21.329358,VWVolkswagen,Touran,2006,Дизел,200000,Рачен,,Сива,Македонска,012020,77kw/105ks,
1389,По договор,41.9870695865131,21.4519291484375,Audi,A5,2012,Дизел,170000,Автоматски,Седани,Сива,Македонска,092020,182kw/247ks,Еуро5
1390,5900€,42.132926,21.715878,Audi,A6,2005,Дизел,25000,Автоматски,Седани,Сина,Македонска,102019,0kw/0ks,
1391,3500€,42.205478,22.333429,Hyundai,Galloper,2001,Дизел,200000,Рачен,Останато,Сива,Македонска,032020,105kw/143ks,
1392,3500€,42.205478,22.333429,Hyundai,Galloper,2000,Дизел,200000,Рачен,Останато,Сива,Македонска,032020,105kw/143ks,
1393,2700€,41.966811,22.781396,Seat,Leon,2002,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,012020,81kw/110ks,
1394,7200€,42.009423,20.971549,BMW,320,2006,Дизел,170000,Рачен,Седани,Сива,Македонска,102019,120kw/163ks,
1395,4200€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2006,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,042020,103kw/140ks,
1396,2600€,41.440569,22.639528,Peugeot,107,2007,Бензин,180000,Рачен,Maлиградски,Жолта,Македонска,072020,55kw/75ks,
1397,По договор,41.346182,21.553379,Opel,Astra,2008,Бензин,160000,Рачен,Хеџбек,Сива,Странска,102019,85kw/116ks,
1398,2100€,42.132926,21.715878,Seat,Toledo,1999,Дизел,200000,Рачен,Maлиградски,Зелена,Македонска,032020,80kw/109ks,
1399,1€,42.00877,21.45126,Audi,A3,2007,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,062018,140kw/190ks,
1400,1€,42.00877,21.45126,Toyota,Auris,2009,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,072018,85kw/116ks,
1401,1900€,42.009423,20.971549,Renault,Laguna,2004,Дизел,200000,Рачен,Каравани,Црна,Македонска,072022,120kw/163ks,Еуро5
1402,1€,41.3917489298035,21.2662696838379,Opel,Zafira,2002,Бензин,200000,Рачен,Моноволумен,Црна,Странска,122018,109kw/148ks,
1403,1150€,41.924335,22.404964,Renault,Clio,1999,Бензин/Плин,190000,Рачен,Maлиградски,Сина,Македонска,052020,65kw/88ks,
1404,1€,41.346182,21.553379,Mercedes-Benz,C220,2005,Дизел,190000,Автоматски,Седани,Сива,Македонска,012020,110kw/150ks,
