,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,400€,41.9870695865131,21.4519291484375,Lancia,Dedra,1995,Дизел,85000,Рачен,Седани,Сива,Македонска,,,
1,100€,41.9870695865131,21.4519291484375,AlfaRomeo,Alfa155,1999,Дизел,95000,Рачен,Седани,Црна,Македонска,,,
2,По договор,41.944583,21.395116,Opel,Vectra,1993,Бензин,80000,Рачен,Седани,Црна,Македонска,012017,77kw/105ks,
3,6300€,42.132926,21.715878,VWVolkswagen,Golf,2009,Дизел,,Рачен,Хеџбек,Црна,Македонска,012023,84kw/114ks,Еуро5
4,1000€,41.9870695865131,21.4519291484375,Peugeot,406,2001,Бензин/Плин,200000,Рачен,Седани,Сива,Македонска,022022,0kw/0ks,Останато
5,По договор,41.346182,21.553379,Audi,A6,2013,Дизел,190000,Автоматски,Седани,Сива,Македонска,092022,180kw/245ks,Еуро6
6,По договор,41.745515,22.19396,Audi,A4,2008,Дизел,250000,Рачен,Каравани,Црна,Македонска,052022,105kw/143ks,Еуро5
7,По договор,41.801881,20.913259,Fiat,Bravo,2012,Бензин,100000,Рачен,Хеџбек,Сива,Македонска,082022,88kw/120ks,Еуро5
8,2800€,41.346182,21.553379,Fiat,GrandePunto,2006,Бензин,190000,Рачен,Хеџбек,Сина,Македонска,012021,44kw/60ks,Еуро4
9,3199€,41.7896305674694,20.9115579064267,VWVolkswagen,Polo,2007,Дизел,190000,Рачен,Maлиградски,Сива,Македонска,022021,96kw/131ks,Еуро4
10,11999€,41.8152897714055,20.9346199035645,VWVolkswagen,Passat,2012,Дизел,190000,Автоматски,Каравани,Сива,Македонска,012022,125kw/170ks,Еуро5
11,2699€,41.7897051112308,20.9116644619956,Renault,Megane,2006,Дизел,190000,Рачен,Каравани,Црна,Македонска,102021,66kw/90ks,Еуро4
12,900€,41.931839,21.502835,Ford,Ka,1997,Бензин,10000,Рачен,Maлиградски,Сина,Македонска,032022,100kw/136ks,Останато
13,5000€,41.031728,21.329358,Jaguar,X-Type,2003,Дизел,180000,Рачен,Седани,Сина,Македонска,072022,98kw/133ks,Еуро4
14,3100€,41.7894305098211,20.9112617645892,Opel,Corsa,2007,Бензин,130000,Рачен,Maлиградски,Сива,Македонска,092021,59kw/80ks,Еуро4
15,6400€,41.924335,22.404964,Skoda,Superb,2009,Бензин,170000,Рачен,Седани,Бела,Македонска,082022,92kw/125ks,Останато
16,8100€,41.4395775903803,22.6488006558059,VWVolkswagen,Golf,2011,Дизел,160000,Рачен,Каравани,Сина,Македонска,062022,77kw/105ks,Еуро5
17,11€,41.9870695865131,21.4519291484375,Honda,Civic,2006,Дизел,15000,Рачен,Хеџбек,Црна,Македонска,032020,100kw/136ks,Еуро4
18,850€,41.031728,21.329358,Fiat,Uno,1995,Бензин,150000,Рачен,Maлиградски,Зелена,Македонска,072022,41kw/56ks,Останато
19,По договор,41.9870695865131,21.4519291484375,BMW,320,2001,Дизел,250000,Рачен,Седани,Црна,Македонска,102022,100kw/136ks,Еуро3
20,3300€,41.9870695865131,21.4519291484375,Ford,Fusion,2004,Бензин/Плин,120000,Рачен,Седани,Сива,Македонска,022023,0kw/0ks,Еуро4
21,По договор,41.978187,21.427388,BMW,525,2011,Дизел,180000,Рачен,Седани,Сина,Македонска,092022,150kw/204ks,Еуро5
22,По договор,41.9870695865131,21.4519291484375,Lancia,Dedra,1995,Дизел,,Рачен,Седани,Црвена,Македонска,012019,66kw/90ks,Останато
23,По договор,41.9870695865131,21.4519291484375,Fiat,Tempra,1993,Дизел,,Рачен,Седани,Бела,Македонска,012018,0kw/0ks,Останато
24,По договор,41.9870695865131,21.4519291484375,Saab,900,1995,Бензин,100000,Рачен,,Бела,Македонска,042016,65kw/88ks,
25,По договор,41.9870695865131,21.4519291484375,Fiat,Marea,1998,Дизел,90000,Рачен,Седани,Црвена,Македонска,122017,75kw/102ks,
26,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,1994,Бензин,100000,Рачен,Хеџбек,Црна,Македонска,072020,66kw/90ks,Еуро1
27,750€,41.9870695865131,21.4519291484375,Lancia,Delta,1994,Бензин/Плин,170000,Рачен,Хеџбек,Црвена,Македонска,052017,55kw/75ks,
