,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,1€,42.009423,20.971549,Renault,Clio,2003,Бензин,170000,Рачен,Maлиградски,Сива,Странска,012018,1kw/1ks,
1,2100€,41.438304,22.004864,Opel,Zafira,1999,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,072019,75kw/102ks,
2,2700€,41.991502,21.39781,Seat,Ibiza,2006,Дизел,120000,Рачен,Хеџбек,Сива,Македонска,092019,55kw/75ks,
3,1200€,41.438304,22.004864,Opel,Corsa,1997,Бензин,160000,Рачен,Maлиградски,Зелена,Македонска,072019,75kw/102ks,
4,5500€,42.205478,22.333429,Mercedes-Benz,E220,2002,Дизел,200000,Автоматски,Седани,Сива,Македонска,022020,110kw/150ks,
5,1€,41.440569,22.639528,VWVolkswagen,Golf,2004,Дизел,160000,Рачен,Седани,Црвена,Странска,012020,103kw/140ks,
6,3600€,41.440569,22.639528,Fiat,Punto,2008,Дизел,150000,Рачен,Хеџбек,Црвена,Македонска,012019,90kw/122ks,
7,1050€,41.346182,21.553379,VWVolkswagen,Polo,1996,Бензин,190000,Рачен,Maлиградски,Бела,Македонска,042019,44kw/60ks,
8,111111€,41.924335,22.404964,VWVolkswagen,Passat,2000,Дизел,200000,Рачен,Каравани,Сина,Македонска,012020,85kw/116ks,
9,2000€,41.14712,22.507161,Ford,Mondeo,2004,Дизел,200000,Рачен,Каравани,Црна,Македонска,032020,89kw/121ks,
10,1€,42.00877,21.45126,VWVolkswagen,Golf,2008,Дизел,140000,Рачен,Хеџбек,Сина,Македонска,052019,77kw/105ks,
11,1€,41.031728,21.329358,Mercedes-Benz,E220,2018,Дизел,40000,Полуавтоматски,Седани,Црна,Македонска,052019,143kw/194ks,
12,1€,42.00877,21.45126,Opel,Astra,2005,Дизел,150000,Рачен,Хеџбек,Сива,Македонска,052019,74kw/101ks,
13,1€,42.00877,21.45126,Opel,Astra,2006,Дизел,120000,Рачен,Хеџбек,Црна,Македонска,052019,74kw/101ks,
14,1200€,41.711096,22.848172,VWVolkswagen,Golf,1998,Бензин/Плин,200000,Рачен,Maлиградски,Бела,Странска,122019,44kw/60ks,
15,2450€,41.9870695865131,21.4519291484375,VWVolkswagen,Polo,2001,Дизел,180000,Рачен,Maлиградски,Сина,Македонска,112019,55kw/75ks,
16,1500€,41.9870695865131,21.4519291484375,Hyundai,Coupe,1997,Бензин,190000,Рачен,Купеа,Црвена,Македонска,082019,110kw/150ks,
17,2€,41.440569,22.639528,Audi,A4,2010,Дизел,200000,Автоматски,Седани,Црна,Странска,052019,105kw/143ks,
18,1€,41.9870695865131,21.4519291484375,Seat,Leon,2003,Бензин/Плин,200000,Рачен,Останато,Жолта,Македонска,052019,154kw/209ks,
19,2600€,41.440569,22.639528,Opel,Signum,2005,Дизел,160000,Рачен,Хеџбек,Сива,Странска,062019,150kw/204ks,
20,1€,41.994543,22.181289,Renault,Twingo,1998,Бензин,,Рачен,Maлиградски,Бела,Македонска,022019,11kw/15ks,
21,4500€,41.438304,22.004864,Mercedes-Benz,A180,2006,Дизел,250000,Рачен,Maлиградски,Сива,Македонска,122019,80kw/109ks,
22,1100€,41.9870695865131,21.4519291484375,VWVolkswagen,Caddy,1999,Бензин,130000,Рачен,Maлиградски,Бела,Македонска,082019,44kw/60ks,
23,5500€,41.931839,21.502835,BMW,118,2007,Дизел,200000,Рачен,Хеџбек,Црна,Странска,072019,105kw/143ks,
24,1€,41.440569,22.639528,VWVolkswagen,Golf,2004,Дизел,160000,Рачен,Седани,Црвена,Странска,012020,103kw/140ks,
25,3500€,41.9870695865131,21.4519291484375,Seat,Altea,2005,Дизел,190000,Рачен,Седани,Црна,Македонска,122019,77kw/105ks,
26,3000€,41.9870695865131,21.4519291484375,Renault,Megane,2003,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,072019,60kw/82ks,
27,2000€,41.9686068866893,21.4486458200647,Audi,A4,1996,Дизел,250000,Рачен,Седани,Зелена,Македонска,072019,66kw/90ks,
28,6200€,41.0117831963246,21.3579315726356,BMW,318,2006,Дизел,200000,Рачен,Седани,Црна,Македонска,102019,90kw/122ks,
29,По договор,42.205478,22.333429,VWVolkswagen,Golf,1997,Бензин/Плин,190000,Рачен,Хеџбек,Сива,Странска,112019,74kw/101ks,
30,1850€,41.031728,21.329358,VWVolkswagen,Passat,1994,Бензин,250000,Рачен,Каравани,Црна,Македонска,042019,120kw/163ks,
31,2650€,41.999359,21.327548,Renault,Scenic,2004,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,012020,81kw/110ks,
32,4799€,42.132926,21.715878,Skoda,Octavia,2008,Дизел,190000,Рачен,Каравани,Црна,Македонска,122018,77kw/105ks,
