,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
1057,По договор,41.346182,21.553379,45,93m²,2спрата,Дрва,500m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Да,Гаража+1Паркинг,Запад,,Дабничкизавој,
1058,1€,41.745515,22.19396,8,201m²,2спрата,Друго,324m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,2,Да,1Паркинг,Југозапад,,,
1059,170000€,42.0026932031461,21.443233527306,7,170m²,2спрата,Струја,112m²,Останато,Реновирана,Наместен,2Балкони,2,Не,1Паркинг,Запад,,ulPetreGeorgiev15a/ul157,
1060,96000€,41.9870695865131,21.4519291484375,5,140m²,2спрата,Дрва,300m²,Останато,Нова,Наместен,Тераса+2Балкони,2,Да,Повеќеод4паркингместа,Исток,2002,ВојводаИвецбр8Драчево,
1061,96000€,41.9870695865131,21.4519291484375,5,140m²,2спрата,Дрва,300m²,Останато,Нова,Наместен,Тераса+2Балкони,2,Да,Повеќеод4паркингместа,Исток,2002,ВојводаИвецбр8Драчево,
1062,165000€,41.944583,21.395116,3,196m²,1спрат,Струја,400m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,2Балкони,2,Да,Гаража+3Паркингместа,Југозапад,2019,Sopiste,
1063,1€,41.9870695865131,21.4519291484375,6,200m²,1спрат,Нема,1m²,Останато,Стара,Наместен,Нема,1,Да,Нема,Запад,1,kumanovo33,
1064,По договор,41.51282,20.96083,10,100m²,3спрата,Друго,580m²,Мултисемејнакуќа,Нова,Наместен,4Балкони,3,Да,Повеќеод4паркингместа,Северозапад,,ULVlaskiPat,
1065,105000€,42.0140583115786,21.5135304477553,15,300m²,3спрата,Струја,300m²,Мултисемејнакуќа,Стара,Наместен,Повеќеод5балкони,4,Да,Повеќеод4паркингместа,Југ,1985,Tomasmincer14,2010
1066,70000€,41.031728,21.329358,6,96m²,1спрат,Дрва,110m²,Дуплекс-Лепенакуќа,Реновирана,Празен,1Балкон,2,Не,2Паркингместа,Југозапад,,ЦЕНТАР,2006
1067,75000€,41.111733,20.798579,4,,3спрата,Друго,300m²,Двo-семејнакуќа,Стара,Полунаместен,Нема,2,Не,2Паркингместа,Североисток,,ohrid,
1068,95000€,42.009423,20.971549,2,150m²,Приземје,Дрва,30m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Не,Нема,Исток,2011,VonVardarskabroj3,
1069,По договор,41.031728,21.329358,4,50m²,1спрат,Друго,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Исток,,ГоцеДелчев43ЈениМалеБитола,
1070,По договор,41.9870695865131,21.4519291484375,5,72m²,Приземје,Струја,400m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,Тераса+2Балкони,1,Да,1Паркинг,Југозапад,,ХоШиМин,
1071,59990€,42.3709953474314,23.4993938711455,3,60m²,1спрат,Нема,1048m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,2,Да,1Гаража,Југ,1970,,
1072,1€,41.1913336364207,22.2820483981712,5,220m²,2спрата,Дрва,2000m²,Вила,Нова,Наместен,2Балкони,3,Не,Повеќеод4паркингместа,Југ,2008,SMRDLIVAVODAKOZUV-GEVGELIJA,
1073,225990€,42.009423,20.971549,5,370m²,2спрата,Струја,m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Да,1Паркинг,Југ,,MalaRecica,
1074,130000€,41.111733,20.798579,11,270m²,3спрата,Друго,300m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,3Балкони,2,Да,2Паркингместа,Југозапад,,ohrid,
1075,330000€,41.111733,20.798579,6,210m²,2спрата,Друго,45m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Југозапад,,ohrid,
1076,1€,41.5063420430396,21.2160776281349,4,120m²,Приземје,Нема,900m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Тераса,2,Не,Повеќеод4паркингместа,Југозапад,,улДимитарВлахов,
