,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
0,27000€,41.14712,22.507161,4,130m²,1спрат,Нема,360m²,Останато,Воградба,Празен,1Балкон,2,Не,1Паркинг,Исток,,,
1,155000€,41.9870695865131,21.4519291484375,4,300m²,3спрата,Централно,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+1Балкон,2,Да,2Паркингместа,Југозапад,2006,,
2,1€,41.715954,21.770997,4,270m²,2спрата,Дрва,2001m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+1Балкон,1,Да,2Паркингместа,Југ,,KostadinBodinbr66,
3,90000€,42.00877,21.45126,4,102m²,Високоприземје,Струја,600m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,1Тераса,2,Да,2Паркингместа,Исток,,Cento,
4,1€,41.715954,21.770997,7,180m²,2спрата,Струја,20m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Не,1Гаража,Запад,,ArhiepiskopMihail112,
5,1€,41.978187,21.427388,5,120m²,Приземје,Друго,380m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,2,Да,1Паркинг,Исток,2004,Lovkenska,2005
6,1МКД,41.9870695865131,21.4519291484375,2,85m²,Високоприземје,Струја,350m²,Дуплекс-Лепенакуќа,Реновирана,Луксузен,1Балкон,1,Да,3Паркингместа,Запад,1997,blagojagojan,2012
7,1€,41.715954,21.770997,10,450m²,3спрата,Нема,2000m²,Мултисемејнакуќа,Нова,Празен,3Балкони,3,Не,1Гаража,Исток,,НаселбаДорутовец,
8,1€,41.111733,20.798579,9,300m²,2спрата,Дрва,130m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,Гаража+1Паркинг,Северозапад,,,
9,77000€,41.111733,20.798579,25,125m²,Приземје,Струја,1300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Да,3Паркингместа,Југ,2015,,
10,115000€,41.111733,20.798579,8,184m²,2спрата,Дрва,180m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+1Балкон,2,Не,2Паркингместа,Југ,1995,АбасЕмин,
11,1€,41.931839,21.502835,8,450m²,2спрата,Струја,100m²,Мултисемејнакуќа,Нова,Наместен,4Балкони,4,Не,4Паркингместа,Југоисток,2012,BorisTrajkovski24,
12,120000€,41.9972606900423,21.5741564673124,12,394m²,3спрата,Дрва,588m²,Еднасемејнакуќа-Самостојна,Воградба,Полунаместен,4Балкони,3,Да,Гаража+3Паркингместа,Исток,1990,Ilinden,2020
13,100000€,41.111733,20.798579,6,200m²,2спрата,Нема,450m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,2,Да,3Паркингместа,Југ,,,
14,По договор,41.111733,20.798579,6,301m²,2спрата,Струја,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,2,Да,Гаража+1Паркинг,Југ,,СтобексВидобишта,2017
15,165000€,41.9870695865131,21.4519291484375,7,111m²,1спрат,Струја,120m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,2,Не,3Паркингместа,Југоисток,,Kozle,
16,400000€,41.9870695865131,21.4519291484375,7,360m²,2спрата,Друго,2050m²,Двo-семејнакуќа,Нова,Полунаместен,5Балкони,Повеќеод4,Да,Гаража+4Паркингместа,Југозапад,2002,Vizbegovo,
17,120000€,42.009423,20.971549,5,123m²,Високоприземје,Нема,211m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Не,2Паркингместа,Југоисток,2013,CvetanDimovbr79,
18,100€,42.132926,21.715878,10,200m²,3спрата,Централно,40m²,Еднасемејнакуќа-Самостојна,Стара,Празен,5Балкони,2,Да,1Гаража,Југ,1975,Sokolana,
19,2€,41.031728,21.329358,2,30m²,Приземје,Нема,3300m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Паркинг,Југ,1985,gornoorizari,1985
20,150000€,42.0206132953212,21.3509383052588,8,209m²,2спрата,Струја,600m²,Двo-семејнакуќа,Реновирана,Празен,3Балкони,2,Да,Повеќеод4паркингместа,Север,,Pelince33,
21,По договор,42.0044338128493,21.5094685970745,7,180m²,3спрата,Централно,500m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,2,Да,4Паркингместа,Југ,1999,Финска10бр2,2016
22,По договор,42.0399889122769,21.4181892330061,8,180m²,2спрата,Друго,600m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,Повеќеод5балкони,3,Не,4Паркингместа,Север,2008,UlicaIndiraGandi31,2020
23,150€,41.111733,20.798579,10,120m²,2спрата,Друго,1000m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,5Балкони,2,Не,Повеќеод4паркингместа,Запад,,Охрид,
24,1€,41.346182,21.553379,10,240m²,2спрата,Дрва,70m²,Двo-семејнакуќа,Реновирана,Празен,2Балкони,2,Да,2Паркингместа,Исток,1964,BasilGlavinovbr33,2005
25,1€,42.013646,21.32586,8,214m²,1спрат,Струја,310m²,Дуплекс-Лепенакуќа,Стара,Празен,3Балкони,4,Не,2Паркингместа,Север,1979,улицаБорисСарафов143б,
26,1€,41.978187,21.427388,5,230m²,2спрата,Друго,2000m²,Вила,Нова,Празен,1Тераса,1,Не,Повеќеод4паркингместа,Југ,2005,Probistip,
27,1€,42.013646,21.32586,8,214m²,1спрат,Струја,310m²,Дуплекс-Лепенакуќа,Стара,Празен,Тераса+3Балкони,4,Не,2Паркингместа,Север,,,
28,По договор,42.009423,20.971549,4,420m²,1спрат,Друго,420m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,2,Да,2Паркингместа,Североисток,000,Centar,000
29,1€,41.440569,22.639528,14,210m²,3спрата,Нема,100m²,,,,,,,,,,,
30,По договор,42.009423,20.971549,4,365m²,Високоприземје,Нема,365m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Југоисток,000,Centar,000
31,По договор,42.009423,20.971549,8,220m²,2спрата,Друго,220m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,2,Не,1Паркинг,Североисток,000,Centar,000
32,80€,41.801881,20.913259,45,100m²,2спрата,Централно,500m²,Вила,Нова,Наместен,2Балкони,1,Не,2Паркингместа,Исток,2020,soncevadolina,2020
33,4€,41.715954,21.770997,5,170m²,2спрата,Нема,140m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,Гаража+2Паркингместа,Исток,,Veles,
34,По договор,41.438304,22.004864,8,2m²,2спрата,Дрва,300m²,Дуплекс-Лепенакуќа,Стара,Празен,2Балкони,1,Да,Повеќеод4паркингместа,Запад,65,Kirospandjovbe21,2008
35,32000€,41.031728,21.329358,6,408m²,2спрата,Нема,240m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,1Гаража,Југ,,ХристијанТодоровскиКарпошбр16,
36,1€,41.931839,21.502835,4,2m²,3спрата,Централно,396m²,Половинакуќа,Реновирана,Наместен,4Балкони,2,Да,2Паркингместа,Исток,,А,
37,18000€,41.9870695865131,21.4519291484375,3,62m²,Приземје,Нема,,Половинакуќа,Воградба,Празен,Нема,1,Не,1Паркинг,Североисток,,519br39,
38,По договор,42.009423,20.971549,3,200m²,1спрат,Друго,200m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Да,1Паркинг,Југозапад,000,KucablizuKasarna,000
39,По договор,41.9870695865131,21.4519291484375,5,224m²,2спрата,Струја,555m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,2Балкони,2,Да,4Паркингместа,Исток,1964,Rokomija39,2005
40,1€,41.111733,20.798579,8,3600m²,2спрата,Нема,3600m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,3Балкони,1,Не,Повеќеод4паркингместа,Исток,1985,SOrovnikOhrid,
41,160000€,41.999359,21.327548,8,200m²,2спрата,Дрва,520m²,Двo-семејнакуќа,Реновирана,Празен,Нема,2,Да,1Гаража,Исток,7490,ULBR2LJUBINSARAJBLIZUAUTOPUT,
42,310000€,41.111733,20.798579,6,237m²,2спрата,Друго,268m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,Повеќеод4,Не,1Паркинг,Југ,,UlDejanVojvoda,
43,79999€,42.0476773116946,21.4481834020996,6,142m²,2спрата,Дрва,200m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Не,1Паркинг,Југ,2006,Butelska7a,2016
44,1€,41.440569,22.639528,10,245m²,2спрата,Друго,150m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,2,Не,1Паркинг,Исток,2000,1,2010
45,1€,41.9999741595883,21.36989464785,4,93m²,Приземје,Струја,270m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+2Балкони,2,Да,1Гаража,Југоисток,,УЛЗејнелАјдиниХром,
46,299000€,41.111733,20.798579,6,164m²,2спрата,Друго,240m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,3Балкони,2,Не,1Гаража,Југоисток,,UlCarSamoil(blizuCrkvataSvSofija),
47,35000€,41.745515,22.19396,25,55m²,1спрат,Нема,101m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Да,Нема,Југоисток,,ТодорКоларов,
48,31500€,41.031728,21.329358,6,140m²,2спрата,Струја,150m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,2Паркингместа,Југозапад,,ПОДПАЗАРОТ,
49,59555€,41.884235,22.515181,3,140m²,1спрат,Дрва,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Не,2Паркингместа,Исток,,SJakimovoVinica,
50,700000€,41.9870695865131,21.4519291484375,14,400m²,3спрата,Централно,800m²,Двo-семејнакуќа,Реновирана,Празен,4Балкони,4,Не,2Паркингместа,Исток,1990,Vodno,2000
51,120000€,41.9758176915495,21.4652495657174,5,100m²,Приземје,Друго,300m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,1Тераса,2,Да,2Паркингместа,Југ,1965,BlazoOrlandikbr6a,2008
52,1€,41.51282,20.96083,10,400m²,2спрата,Централно,341m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,4,Да,Повеќеод4паркингместа,Исток,2000,,2015
53,1€,41.0741082529004,21.3337134318107,5,330m²,2спрата,Нема,500m²,Останато,Реновирана,Празен,2Балкони,1,Не,1Гаража,Запад,,SeloKrklino,
54,28000€,41.031728,21.329358,4,68m²,Високоприземје,Струја,60m²,Дуплекс-Лепенакуќа,Стара,Празен,1Балкон,1,Да,1Паркинг,Североисток,1975,СТИВНАУМОВ,1975
55,160000€,41.9870695865131,21.4519291484375,7,300m²,3спрата,Дрва,400m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,4,Да,Повеќеод4паркингместа,Исток,2010,Ul1522,
56,42000€,41.111733,20.798579,35,215m²,Високоприземје,Друго,127m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,1Балкон,1,Да,1Паркинг,Југоисток,,Velgosti-(blizuotpadot),
57,По договор,42.0291005124837,21.4463396155521,7,372m²,Високоприземје,Нема,210m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Да,Гаража+1Паркинг,Север,,HOSHIMINBR266A,
58,1€,41.346182,21.553379,6,200m²,2спрата,Дрва,30m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,1,Да,1Паркинг,Југозапад,1999,Beogradsks14,
59,1€,42.132926,21.715878,6,150m²,2спрата,Централно,90m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,1,Да,Гаража+1Паркинг,Североисток,1970,АлександарЗдравковиќбр22,2015
60,73000€,42.009423,20.971549,6,270m²,3спрата,Нема,200m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,3,Да,1Паркинг,Исток,1995,Tetoveçarshiaeepermerrugaprizrenska106,1995
61,1€,41.346182,21.553379,10,240m²,2спрата,Дрва,50m²,Двo-семејнакуќа,Реновирана,Празен,2Балкони,2,Да,2Паркингместа,Исток,1964,ВасилГлавиновбр33,2005
62,1€,41.9715648486464,20.9704957113283,7,277m²,2спрата,Нема,1870m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,3,Да,Повеќеод4паркингместа,Исток,1998,DolnoSedlarce,2018
63,280000€,41.111733,20.798579,45,177m²,2спрата,Нема,86m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Тераса,2,Да,Гаража+1Паркинг,Југоисток,,Varos,
64,1МКД,41.092318651304,21.0088599692078,5,85m²,2спрата,Струја,361m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Исток,,улСтивНаумов,
65,42100€,41.111733,20.798579,6,200m²,2спрата,Нема,500m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,3Балкони,3,Да,4Паркингместа,Југ,2000,Косел,
66,39990€,41.9696361664217,21.5426479857612,6,111m²,Приземје,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,4Паркингместа,Исток,1980,ГоцеДелчев,
67,По договор,42.009423,20.971549,6,240m²,2спрата,Централно,120m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,2Балкони,2,Да,2Паркингместа,Запад,,0000,
68,85000€,42.132926,21.715878,3,80m²,Приземје,Струја,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Да,1Паркинг,Југ,1986,ZHIKICAJOVANOVIKJSHPANAC,2018
69,35500€,41.031728,21.329358,1,1m²,3спрата,Нема,100m²,Двo-семејнакуќа,Реновирана,Празен,1Балкон,1,Да,1Паркинг,Исток,,Струшка,
70,1€,41.2854502834935,21.1199851001088,25,70m²,1спрат,Дрва,700m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Да,4Паркингместа,Југозапад,,sZvan,
71,139000€,42.0224006363391,21.4464989748383,6,180m²,2спрата,Централно,130m²,Останато,Реновирана,Полунаместен,Тераса+1Балкон,2,Да,Гаража+1Паркинг,Југ,,,
72,1€,41.715954,21.770997,12,340m²,3спрата,Струја,200m2m²,Останато,Реновирана,Наместен,2Балкони,2,Да,Нема,Југ,,,
73,63000€,42.0076318938581,21.3349239786492,11,141m²,2спрата,Нема,1m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,3Балкони,3,Не,1Паркинг,Југоисток,1980,улАндрејаЗографбр24А,2015
74,333€,41.9870695865131,21.4519291484375,45,140m²,Приземје,Струја,60m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,Тераса+1Балкон,2,Не,3Паркингместа,Северозапад,1930,Jordanmijalkov7,2011
75,185000€,41.9870695865131,21.4519291484375,8,200m²,3спрата,Централно,100m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,5Балкони,3,Да,1Паркинг,Исток,1974,RampoLevkata,1980
76,34000€,41.745515,22.19396,4,140m²,2спрата,Дрва,200m²,Еднасемејнакуќа-Самостојна,Нова,Празен,3Балкони,2,Да,1Паркинг,Југ,2002,Раданскипатбр117,
77,155555€,41.516028,20.533415,7,330m²,3спрата,Централно,300m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,2Балкони,4,Да,Гаража+3Паркингместа,Југ,2017,GradDebar,2017
78,850€,41.992198141293,21.39823590059,6,130m²,2спрата,Друго,370m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,2,Да,1Паркинг,Исток,1985,Lovkenska13br8,2007
79,47000€,41.031728,21.329358,7,120m²,2спрата,Друго,600m²,Мултисемејнакуќа,Нова,Празен,5Балкони,Повеќеод4,Да,Гаража+2Паркингместа,Југоисток,2022,ТИВКОМИРНОМЕСТО,2022
80,17000€,41.031728,21.329358,3,101m²,2спрата,Дрва,25m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Гаража,Југ,,,
81,179000€,41.031728,21.329358,4,200m²,Високоприземје,Централно,520m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+1Балкон,2,Да,4Паркингместа,Југозапад,,,
82,1€,41.173346,20.677493,15,200m²,3спрата,Друго,3000m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,Повеќеод5балкони,3,Не,Повеќеод4паркингместа,Југоисток,1997,Misleshevo,2008
83,1€,41.315781,22.566826,5,90m²,Високоприземје,Дрва,250m²,Половинакуќа,Реновирана,Полунаместен,2Балкони,1,Да,1Гаража,Исток,1,Ilindesa,1
84,По договор,41.031728,21.329358,5,150m²,2спрата,Друго,1700m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,Повеќеод4,Да,Гаража+Повеќеод4паркингместа,Југоисток,,BukovskaNaselba,
85,200000€,42.0037288439737,21.3589048150635,5,150m²,Високоприземје,Нема,557m²,Двo-семејнакуќа,Стара,Празен,2Балкони,2,Да,3Паркингместа,Југ,,,
86,1€,41.924335,22.404964,9,245m²,2спрата,Друго,200m²,Двo-семејнакуќа,Реновирана,Полунаместен,4Балкони,3,Не,Нема,Југозапад,94,KejnaRevolucijata,94
87,70000€,41.3477679721887,21.5587293389324,5,121m²,2спрата,Дрва,80m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Гаража+1Паркинг,Југ,,ЈоскаЈорданоскибр16А,
88,1€,41.999359,21.327548,6,190m²,3спрата,Друго,2700m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,Тераса+3Балкони,2,Да,Повеќеод4паркингместа,Југоисток,2015,Матка,
89,1€,42.0142108028813,21.5148535360928,4,210m²,3спрата,Нема,400m²,Двo-семејнакуќа,Реновирана,Празен,2Балкони,1,Не,1Паркинг,Југ,,,
90,46000€,41.0308574028646,21.3462424278259,6,120m²,2спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,1Паркинг,Југ,,UlBoskoNajdovski48,
91,1€,41.233523,22.693527,4,130m²,2спрата,Друго,350m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,3Балкони,2,Да,Гаража+2Паркингместа,Запад,1983,ЃореЃорески89,2017
92,350000€,41.111733,20.798579,8,270m²,2спрата,Друго,600m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Да,1Паркинг,Исток,,,
93,111€,41.715954,21.770997,5,120m²,1спрат,Нема,3000m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,1Тераса,1,Да,1Гаража,Исток,205,Pretdurutovec,205
94,1€,41.9870695865131,21.4519291484375,14,490m²,2спрата,Друго,1000m²,Мултисемејнакуќа,Нова,Луксузен,Тераса+Повеќеод5балкони,Повеќеод4,Не,Повеќеод4паркингместа,Северозапад,2021,Водно,
95,1€,41.51282,20.96083,4,1m²,1спрат,Дрва,,Мултисемејнакуќа,Нова,Наместен,1Балкон,1,Не,1Паркинг,Југоисток,,V,
96,120000€,41.346182,21.553379,8,272m²,3спрата,Друго,293m²,Двo-семејнакуќа,Реновирана,Празен,4Балкони,3,Да,Повеќеод4паркингместа,Југоисток,0000,CaneIlieski35/3,0000
97,По договор,42.052075,21.450415,4,80m²,Приземје,Нема,370m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,Гаража+1Паркинг,Север,,Hosimin,
98,По договор,41.4376137168614,22.6414922619733,4,600m²,3спрата,Дрва,600m²,Вила,Нова,Наместен,2Балкони,1,Да,1Паркинг,Запад,2007,Чамлк,2008
99,120000€,42.132926,21.715878,8,180m²,3спрата,Струја,50m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,3,Да,1Паркинг,Исток,2012,3taMUBbr12,
100,30000€,41.090247,21.016781,4,80m²,2спрата,Дрва,3000m²,Вила,Нова,Полунаместен,1Балкон,1,Не,Повеќеод4паркингместа,Југоисток,2010,SKrusje,2010
101,1МКД,41.9870695865131,21.4519291484375,3,80m²,1спрат,Струја,1600m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Да,Повеќеод4паркингместа,Југоисток,,,
102,220000€,41.9870695865131,21.4519291484375,8,250m²,2спрата,Друго,650m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,2,Не,4Паркингместа,Северозапад,2006,Fushtanskabr29,2019
103,28000€,41.8044620269994,22.2572708129883,2,2000m²,2спрата,Дрва,1m²,Вила,Нова,Наместен,1Балкон,1,Да,1Гаража,Север,1995,Suitlak,1
104,8000€,41.9870695865131,21.4519291484375,6,76m²,1спрат,Дрва,89m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Тераса,1,Да,1Паркинг,Југозапад,,Долнодупени,
105,1€,41.14712,22.507161,6,90m²,2спрата,Друго,234m²,Останато,Реновирана,Полунаместен,1Тераса,1,Не,3Паркингместа,Југоисток,,Скопскабр6,
106,По договор,41.9870695865131,21.4519291484375,4,101m²,2спрата,Централно,45m²,Дуплекс-Лепенакуќа,Нова,Наместен,2Балкони,1,Да,2Паркингместа,Југ,1,MetodijaAndonovCento,1
107,По договор,41.111733,20.798579,6,100m²,2спрата,Друго,50m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,2,Да,1Паркинг,Исток,1976,ohrid,2001
108,70000€,41.484224,22.089622,15,160m²,2спрата,Нема,550m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,2Паркингместа,Исток,,Неготино,
109,37000€,41.9870695865131,21.4519291484375,,,Високоприземје,,,,,,,,Не,,,,,
110,1€,41.440569,22.639528,1,511m²,1спрат,Централно,461m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,1Балкон,1,Да,2Паркингместа,Југ,2011,Strumica,2021
111,1€,42.132926,21.715878,3,90m²,1спрат,Друго,840m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,1Балкон,1,Не,Повеќеод4паркингместа,Југоисток,2015,СРомановцеКуманово,1
112,53000€,41.1122101223337,20.7943725585938,35,66m²,1спрат,Дрва,40m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Не,1Паркинг,Југ,2000,Ristochingo,2021
113,1€,41.745515,22.19396,3,1m²,1спрат,Друго,300m²,Вила,Воградба,Полунаместен,1Балкон,1,Не,Повеќеод4паркингместа,Исток,1990,Podbanjakezovica,1990
114,70000€,41.931839,21.502835,8,240m²,2спрата,Дрва,550m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,2,Не,1Паркинг,Исток,,Dracevo,2016
115,37000€,41.031728,21.329358,6,128m²,2спрата,Струја,375m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Не,1Гаража,Исток,1,ВасилБрклевскиГОризари,1
116,58000€,41.031728,21.329358,9,172m²,2спрата,Дрва,100m²,Дуплекс-Лепенакуќа,Реновирана,Празен,5Балкони,2,Да,Гаража+1Паркинг,Југ,,насСтрежево,
117,126000€,42.00877,21.45126,6,257m²,1спрат,Нема,400m²,Мултисемејнакуќа,Нова,Празен,5Балкони,3,Да,Повеќеод4паркингместа,Југозапад,2012,улсреќкопужалка,1944
118,1€,41.4390982833908,22.0228565710086,7,200m²,Високоприземје,Централно,350m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,3Балкони,3,Не,2Паркингместа,Исток,2018,УлДомовица,
119,1€,41.9849144426756,22.7998532079715,4,1m²,1спрат,Дрва,21000m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,1Паркинг,Север,,Selodramce,
120,1€,41.9870695865131,21.4519291484375,4,120m²,Приземје,Дрва,150m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,1Паркинг,Исток,,11oktomvri,
121,1€,41.438304,22.004864,6,200m²,2спрата,Нема,300m²,Двo-семејнакуќа,Воградба,Празен,2Балкони,2,Не,4Паркингместа,Југ,2021,,
122,По договор,42.132926,21.715878,35,200m²,Приземје,Нема,100m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,Нема,1,Да,3Паркингместа,Запад,,Sokolana,
123,100000€,42.013646,21.32586,2,80m²,Приземје,Дрва,627m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,4Паркингместа,Исток,,AleksoDemnievski1/2,
124,133000€,41.111733,20.798579,6,199m²,1спрат,Дрва,346m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,2Балкони,3,Да,3Паркингместа,Југ,1980,8-miMart,
125,65000€,41.111733,20.798579,4,157m²,2спрата,Друго,300m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,3Балкони,3,Не,2Паркингместа,Југоисток,,Crnogorci,
126,145000€,41.111733,20.798579,45,150m²,1спрат,Друго,760m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,2Балкони,2,Не,1Паркинг,Запад,,Velestovo,
127,100000€,42.009423,20.971549,4,150m²,Високоприземје,Друго,331m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,Гаража+1Паркинг,Запад,,,
128,155000€,42.009423,20.971549,7,151m²,2спрата,Друго,426m²,Еднасемејнакуќа-Самостојна,Стара,Празен,4Балкони,1,Да,1Паркинг,Југоисток,,,
129,280000€,42.009423,20.971549,9,242m²,2спрата,Друго,368m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,3Балкони,2,Да,Гаража+1Паркинг,Исток,,,
130,700000€,41.991502,21.39781,9,560m²,2спрата,Друго,1400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+5Балкони,Повеќеод4,Да,Повеќеод4паркингместа,Североисток,2012,KarposhZlokukjani,
131,135000€,41.745515,22.19396,4,262m²,2спрата,Дрва,194m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,3,Да,2Паркингместа,Југозапад,,plackoviskiodredi,
132,По договор,41.031728,21.329358,6,210m²,2спрата,Струја,200m²,Мултисемејнакуќа,Стара,Празен,4Балкони,2,Да,1Гаража,Североисток,,Илинденска93Битола,
133,1€,41.51282,20.96083,3,390m²,1спрат,Дрва,390m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Не,1Паркинг,Запад,,IvanTrpeski,
134,По договор,41.6415290074532,22.4604874132244,5,108m²,2спрата,Нема,320m²,Останато,Стара,Полунаместен,1Тераса,1,Да,Нема,Југ,,8-миСептември,
135,98000€,41.51282,20.96083,8,135m²,2спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,1Паркинг,Запад,,Podvaros,
136,1€,41.440569,22.639528,5,120m²,2спрата,Друго,10m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,1Паркинг,Исток,2010,1,2011
137,490€,41.51282,20.96083,10,528m²,4спрата,Друго,281m²,Еднасемејнакуќа-Самостојна,Нова,Празен,4Балкони,3,Не,1Паркинг,Југ,,,
138,1€,41.51282,20.96083,12,145m²,3спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,5Балкони,4,Да,Повеќеод4паркингместа,Исток,2015,,2015
139,75000€,41.111733,20.798579,4,103m²,1спрат,Централно,58m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,3Балкони,2,Не,2Паркингместа,Исток,,Охрид,
140,По договор,41.9870695865131,21.4519291484375,5,135m²,2спрата,Струја,140m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,2,Не,2Паркингместа,Северозапад,2010,ulTodorChangov19/3A,
