,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Годинанаградба,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Адреса,Годинанареновирање
10139,По договор,41.978187,21.427388,2,77m²,Струја,9кат,ВоЗграда,Стар,Празен,Да,0000,1Тераса,1,Не,Повеќеод3паркингместа,Северозапад,//////////////////////,1111
10140,925€,41.931839,21.502835,2,61m²,Струја,2кат,ВоЗграда,Нов,Празен,Да,2018,1Балкон,1,Не,1Паркинг,Југоисток,KiselaVoda,
10141,По договор,41.944583,21.395116,3,80m²,Централно,1кат,ВоЗграда,Нов,Празен,Да,2017,2Балкони,1,Да,1Паркинг,Југоисток,Сопиште,
10142,1€,41.978187,21.427388,3,65m²,Струја,1кат,ВоЗграда,Нов,Празен,Да,2018,1Балкон,1,Не,Нема,Североисток,Kapistec,
10143,1€,41.991502,21.39781,3,88m²,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,1999,1Балкон,2,Да,1Гаража,Југ,Taftalidze,
10144,49000€,42.013646,21.32586,3,62m²,Друго,1кат,ВоЗграда,Нов,Празен,Не,2018,2Балкони,1,Не,1Паркинг,Северозапад,GorcePetrov,
10145,86000€,41.9870695865131,21.4519291484375,3,85m²,Централно,8кат,ВоЗграда,Стар,Наместен,Да,,1Балкон,1,Не,Нема,Југ,,
10146,По договор,41.9979331918829,21.4343352243304,3,67m²,Централно,4кат,,,,,,,,,,,,
10147,По договор,41.978187,21.427388,4,126m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,,3Балкони,Повеќеод2,Не,Нема,Југозапад,DebarMaalo,
10148,90000€,42.0028894231005,21.4038639628907,35,83m²,Централно,1кат,ВоЗграда,Реновиран,Наместен,Да,,2Балкони,2,Да,1Паркинг,Исток,Karpos1FranklinRuzvelt,2015
10149,59990€,41.9757474999051,21.4535488933325,35,76m²,Струја,1кат,ВоЗграда,Реновиран,Полунаместен,Не,,1Тераса,2,Да,3Паркингместа,Југоисток,,2016
10150,1€,41.949632,21.502494,35,80m²,Централно,4кат,ВоЗграда,Реновиран,Празен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Запад,Aerodrom,2005
10151,29000€,41.111733,20.798579,2,38m²,Друго,Приземје,Вокуќа,Реновиран,Празен,Не,,1Балкон,1,Не,1Паркинг,Исток,,
10152,61500€,41.9870695865131,21.4519291484375,3,57m²,Централно,1кат,ВоЗграда,Стар,Наместен,Да,,2Балкони,1,Да,1Паркинг,Југоисток,KAPISTEC-CVETENPAAR,
10153,1050€,41.9870695865131,21.4519291484375,3,71m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,,2Балкони,2,Не,1Паркинг,Исток,МаџарМаало,
10154,По договор,42.052075,21.450415,2,40m²,Струја,Приземје,Вокуќа,Стар,Наместен,Не,,1Тераса,1,Не,1Паркинг,Исток,,
10155,1€,41.9870695865131,21.4519291484375,3,63m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,2017,1Балкон,1,Не,1Паркинг,Исток,,
10156,1050€,41.9870695865131,21.4519291484375,3,58m²,Струја,1кат,ВоЗграда,Нов,Празен,Не,2018,Нема,1,Не,1Паркинг,Северозапад,UlLerinska,
10157,920€,41.9812243088964,21.439000399197,3,76m²,Централно,4кат,ВоЗграда,Воградба,Празен,Да,2018,1Балкон,1,Не,1Паркинг,Северозапад,КИСЕЛАВОДА,2018
10158,1€,41.9870695865131,21.4519291484375,3,65m²,Централно,1кат,ВоЗграда,Нов,Празен,Да,2017,1Балкон,1,Не,1Паркинг,Исток,,
10159,1€,41.9870695865131,21.4519291484375,4,91m²,Централно,2кат,ВоЗграда,Нов,Празен,Да,2017,2Балкони,2,Не,1Паркинг,Исток,,
10160,1€,41.9870695865131,21.4519291484375,3,63m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,2017,1Балкон,1,Не,1Паркинг,Исток,,
10161,830€,41.9870695865131,21.4519291484375,5,78m²,Нема,3кат,ВоЗграда,Нов,Празен,Не,2016,2Балкони,1,Не,1Паркинг,Југозапад,ibepalikuka,
10162,50000€,42.0032339711322,21.4054619795484,35,60m²,Централно,3кат,ВоЗграда,Реновиран,Празен,Не,,1Тераса,1,Да,1Паркинг,Југоисток,8miseptemvri12/1-12,
10163,1€,41.991502,21.39781,3,64m²,Централно,Приземје,ВоЗграда,Стар,Празен,Да,,1Балкон,1,Да,Нема,Запад,,
10164,1150€,41.991502,21.39781,1,36m²,Централно,1кат,ВоЗграда,Нов,Празен,Да,2018,1Балкон,1,Не,Нема,Север,Taftalidze,
10165,По договор,41.9870695865131,21.4519291484375,2,77m²,Струја,9кат,,,,,,,,,,,,
10166,75000€,41.949632,21.502494,4,75m²,Централно,Приземје,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Да,Повеќеод3паркингместа,Североисток,NovoLisice,
10167,1250€,41.978187,21.427388,3,71m²,Струја,3кат,ВоЗграда,Нов,Празен,Да,2019,1Балкон,2,Не,Нема,Североисток,Kapistec,
10168,400€,41.949632,21.502494,3,64m²,Централно,9кат,ВоЗграда,Нов,Наместен,Да,2017,Нема,1,Не,Гаража+1Паркинг,Северозапад,gzevahir,2017
10169,270€,41.9870695865131,21.4519291484375,3,63m²,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Југ,КАРПОШ1,
10170,44820€,41.9870695865131,21.4519291484375,3,54m²,Нема,3кат,ВоЗграда,Нов,Празен,Да,2018,1Балкон,1,Не,Повеќеод3паркингместа,Запад,ЃОРЧЕПЕТРОВ,
10171,По договор,41.9870695865131,21.4519291484375,4,94m²,Централно,2кат,ВоЗграда,Нов,Наместен,Да,,1Балкон,2,Да,1Паркинг,Запад,Centar,
10172,1€,41.111733,20.798579,2,48m²,Друго,2кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Паркинг,Југ,Охридати,
10173,10€,41.1201763716158,20.8150153266113,3,81m²,Нема,1кат,ВоЗграда,Реновиран,Празен,Не,1972,1Балкон,1,Да,1Паркинг,Југозапад,JaneSandanskiOhrid,2018
10174,По договор,42.0031033216262,21.4122831998443,2,52m²,Централно,1кат,ВоЗграда,Реновиран,Наместен,Не,1978,Тераса+3Балкони,1,Да,Повеќеод3паркингместа,Исток,ivanagovski10,2010
10175,25000€,41.745515,22.19396,15,38m²,Струја,10кат,ВоЗграда,Нов,Наместен,Да,2015,1Балкон,1,Не,Нема,Југоисток,sremskifront30avlez1stan63,
10176,55000€,41.9870695865131,21.4519291484375,35,78m²,Централно,4кат,ВоЗграда,Стар,Наместен,Не,,2Балкони,1,Да,Повеќеод3паркингместа,Југоисток,КАРПОШ4,
10177,950€,41.9870695865131,21.4519291484375,2,45m²,Централно,2кат,ВоЗграда,Воградба,Празен,Да,2018,1Тераса,1,Не,1Паркинг,Југозапад,,
10178,1€,41.9870695865131,21.4519291484375,35,84m²,Струја,Сутеренстан,ВоЗграда,Реновиран,Луксузен,Не,1974,1Балкон,1,Да,1Паркинг,Североисток,pavleiliq27/1,2015
10179,50000€,41.9870695865131,21.4519291484375,3,60m²,Друго,2кат,ВоЗграда,Реновиран,Празен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Исток,,
10180,111000€,41.949632,21.502494,4,117m²,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,1984,Тераса+1Балкон,2,Да,1Паркинг,Југ,,
10181,По договор,41.9797881008293,21.4413534049606,2,50m²,Централно,Приземје,ВоЗграда,Воградба,Празен,Да,2018,1Балкон,1,Не,1Паркинг,Југозапад,КИСЕЛАВОДА,2018
