,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Годинанаградба,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Адреса,Годинанареновирање
0,127000€,41.9988338028115,21.3957876144028,4,89m²,Централно,9кат,ВоЗграда,Нов,Наместен,Да,2016,1Балкон,2,Да,Гаража+2Паркингместа,Североисток,UlPraska,
1,95000€,42.009423,20.971549,6,135m²,Друго,4кат,ВоЗграда,Реновиран,Наместен,Не,,1Тераса,2,Не,1Гаража,Југ,Centar,
2,67500€,41.9870695865131,21.4519291484375,2,45m²,Централно,6кат,ВоЗграда,Нов,Полунаместен,Да,2021,Тераса+1Балкон,1,Не,1Паркинг,Исток,,
3,95000€,41.9876278129915,21.4479058349152,3,99m²,Струја,Приземје,ВоЗграда,Реновиран,Празен,Да,,2Балкони,1,Да,1Паркинг,Исток,AnastasMitrev23,
4,52000€,42.0600629740385,21.4500331878662,3,83m²,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,1985,1Балкон,2,Да,Нема,Југоисток,УлицаРадишанска,2010
5,72000€,41.9870695865131,21.4519291484375,3,80m²,Централно,6кат,ВоЗграда,Стар,Празен,Да,1984,Тераса+1Балкон,1,Да,Нема,Исток,ВСБатобр87/1-24,
6,700€,41.993825,21.436139,3,61m²,Струја,3кат,ВоЗграда,Реновиран,Полунаместен,Не,,1Тераса,1,Да,1Паркинг,Запад,улБлагојаПаровиќ-Топанско,2018
7,По договор,41.9870695865131,21.4519291484375,3,86m²,Централно,5кат,ВоЗграда,Реновиран,Наместен,Не,1980,3Балкони,1,Да,1Паркинг,Север,Маџари-Хиподром,2018
8,1€,41.9870695865131,21.4519291484375,1,36m²,Струја,1кат,ВоЗграда,Реновиран,Наместен,Да,,1Балкон,1,Да,1Паркинг,Исток,Рузвелтова51-II-10,
9,69999€,42.009423,20.971549,3,80m²,Друго,4кат,ВоЗграда,Нов,Наместен,Не,,1Балкон,1,Не,1Паркинг,Запад,VoblizinanaOsnovenSudTetovo,
10,По договор,42.003425,21.463615,3,72m²,Централно,Приземје,ВоЗграда,Стар,Полунаместен,Не,1980,1Тераса,1,Да,Повеќеод3паркингместа,Југ,ТашкоКараџа,2010
11,57500€,42.009423,20.971549,3,70m²,Друго,4кат,ВоЗграда,Нов,Празен,Не,,Нема,1,Да,1Паркинг,Југ,Centar,
12,1€,41.111733,20.798579,25,52m²,Друго,1кат,ВоЗграда,Реновиран,Полунаместен,Не,2013,1Тераса,1,Да,1Паркинг,Југозапад,RasadnikOhrid,2018
13,999МКД,41.978187,21.427388,15,35m²,Струја,2кат,ВоЗграда,Реновиран,Наместен,Не,2009,1Балкон,1,Не,1Паркинг,Југоисток,Krstemisirkov76,2019
14,22000€,41.745515,22.19396,4,51m²,Нема,Приземје,ВоЗграда,Стар,Празен,Не,,1Балкон,1,Да,1Гаража,Исток,Sutjenska,
15,29000€,42.013646,21.32586,1,33m²,Нема,5кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Да,1Паркинг,Север,GjORCEPETROV,
16,85000€,41.978187,21.427388,3,66m²,Централно,2кат,ВоЗграда,Стар,Наместен,Не,,1Балкон,1,Не,Нема,Север,CENTAR,
17,1€,41.978187,21.427388,2,76m²,Централно,2кат,ВоЗграда,Стар,Празен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Исток,CentarЦентарKapistecTatalidzeVodnoKarpos,
18,99000€,41.978187,21.427388,3,99m²,Друго,2кат,ВоЗграда,Стар,Наместен,Не,,2Балкони,1,Да,1Паркинг,Југ,CENTAR,
19,96000€,42.013646,21.32586,4,82m²,Друго,2кат,ВоЗграда,Нов,Полунаместен,Не,,Тераса+1Балкон,2,Не,Нема,Југ,HROM,
20,199000€,41.978187,21.427388,4,180m²,Централно,4кат,ВоЗграда,Нов,Празен,Да,,1Балкон,2,Не,Нема,Југоисток,CENTAR,
21,1140€,41.991502,21.39781,25,116m²,Централно,1кат,ВоЗграда,Реновиран,Празен,Не,,2Балкони,2,Да,1Паркинг,Исток,CentarVodnokarposTaftalidze,
22,1150€,41.9859026747492,21.4352435435679,3,61m²,Централно,1кат,ВоЗграда,Нов,Празен,Не,2022,2Балкони,1,Не,Нема,Исток,nevenageorgievadunja,
23,65000€,41.931839,21.502835,3,55m²,Струја,Приземје,ВоЗграда,Реновиран,Полунаместен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Југоисток,,
24,78000€,41.931839,21.502835,3,69m²,Централно,1кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Не,1Паркинг,Југоисток,,
25,23000€,41.14712,22.507161,2,52m²,Дрва,2кат,ВоЗграда,Реновиран,Полунаместен,Не,,1Балкон,1,Да,1Паркинг,Југоисток,sNegorciGevgelija,
26,109000€,41.931839,21.502835,3,99m²,Централно,1кат,ВоЗграда,Нов,Наместен,Да,2007,1Балкон,1,Да,2Паркингместа,Југ,,2011
27,89000€,41.9870695865131,21.4519291484375,3,88m²,Централно,12кат,ВоЗграда,Стар,Празен,Да,,2Балкони,2,Да,1Паркинг,Североисток,,
28,61000€,41.931839,21.502835,2,69m²,Струја,2кат,ВоЗграда,Стар,Полунаместен,Да,,1Балкон,1,Да,1Паркинг,Југозапад,,
29,111000€,41.9870695865131,21.4519291484375,4,126m²,Струја,2кат,ВоЗграда,Нов,Празен,Не,2003,2Балкони,2,Не,1Паркинг,Југоисток,,
30,93000€,41.9870695865131,21.4519291484375,3,96m²,Централно,4кат,ВоЗграда,Реновиран,Наместен,Да,,1Балкон,2,Не,1Паркинг,Запад,Мичурин3таМакедонскаБригада,
31,24000€,41.440569,22.639528,15,43m²,Струја,Поткровје,ВоЗграда,Стар,Полунаместен,Не,1985,1Тераса,1,Да,1Паркинг,Југ,CenkaPavlivabr1,1985
32,1€,41.991502,21.39781,2,55m²,Друго,5кат,ВоЗграда,Нов,Празен,Да,2022,1Тераса,1,Не,1Паркинг,Север,Карпош1,
33,23999€,41.440569,22.639528,15,43m²,Струја,Поткровје,ВоЗграда,Стар,Полунаместен,Не,1985,1Балкон,1,Да,1Паркинг,Југ,CenkaPavlivabr1,2010
34,220€,41.9890791789272,21.4489894473572,3,63m²,Централно,1кат,ВоЗграда,Реновиран,Наместен,Да,,1Балкон,1,Не,1Паркинг,Југ,,2018
35,20€,41.346182,21.553379,2,35m²,Централно,2кат,ВоЗграда,Нов,Наместен,Не,2018,1Балкон,1,Не,2Паркингместа,Југ,Marksova,
36,700€,42.0227680246348,21.4472893215076,4,78m²,Струја,5кат,ВоЗграда,Стар,Наместен,Не,78,1Балкон,1,Да,Повеќеод3паркингместа,Југ,NikolaPetrov,
37,900€,41.931839,21.502835,3,60m²,Централно,Приземје,ВоЗграда,Стар,Празен,Не,,1Тераса,1,Не,1Паркинг,Исток,,
38,1€,41.111733,20.798579,45,106m²,Друго,1кат,Вокуќа,Стар,Празен,Не,,1Балкон,1,Не,1Паркинг,Исток,UlMasaPijade-OhridskaCarsija,
39,По договор,41.9870695865131,21.4519291484375,45,80m²,Струја,2кат,Вокуќа,Реновиран,Наместен,Не,1976,2Балкони,2,Да,Гаража+2Паркингместа,Север,НароденФронт20,2020
40,35000€,42.0097682294748,21.5064664404932,3,50m²,Струја,3кат,ВоЗграда,Реновиран,Полунаместен,Не,1973,Нема,1,Да,1Паркинг,Север,МетодијаАндоновЧенто,2019
41,1€,42.132926,21.715878,3,70m²,Друго,2кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Да,1Паркинг,Исток,,
42,По договор,41.173346,20.677493,35,92m²,Друго,5кат,ВоЗграда,Нов,Празен,Да,2020,1Балкон,1,Да,1Паркинг,Исток,JaneSandanski,2025
43,750€,41.031728,21.329358,5,104m²,Друго,3кат,ВоЗграда,Нов,Празен,Не,2020,1Балкон,2,Да,Повеќеод3паркингместа,Југозапад,BulevarPrviMaj17/17,2020
44,65000€,41.111733,20.798579,3,65m²,Струја,5кат,ВоЗграда,Нов,Празен,Да,,1Тераса,1,Не,1Паркинг,Југозапад,,
45,По договор,41.931839,21.502835,2,62m²,Струја,3кат,ВоЗграда,Реновиран,Полунаместен,Не,2017,1Тераса,1,Да,1Паркинг,Североисток,KVoda,2021
46,1€,41.931839,21.502835,4,55m²,Друго,3кат,ВоЗграда,Нов,Празен,Не,2021,2Балкони,1,Не,Нема,Југоисток,KVoda,1
47,65000€,41.111733,20.798579,25,67m²,Струја,2кат,ВоЗграда,Реновиран,Наместен,Не,,2Балкони,2,Да,1Паркинг,Југоисток,,
48,1€,41.978187,21.427388,3,72m²,Централно,Приземје,ВоЗграда,Нов,Празен,Да,2021,1Балкон,1,Не,1Паркинг,Југоисток,StaraRampa-granicisoCentar,2021
49,51000€,41.9870695865131,21.4519291484375,2,53m²,Централно,3кат,ВоЗграда,Стар,Празен,Не,1990,1Балкон,1,Да,2Паркингместа,Северозапад,,
50,1250€,41.931839,21.502835,3,60m²,Централно,1кат,ВоЗграда,Нов,Празен,Да,2022,1Балкон,1,Не,Нема,Југоисток,Shampionce,2022
51,235000€,41.9870695865131,21.4519291484375,4,200m²,Друго,4кат,ВоЗграда,Нов,Празен,Да,2019,3Балкони,Повеќеод2,Да,Гаража+Повеќеод3паркингместа,Југ,JurijGagarin,2019
52,122000€,41.9870695865131,21.4519291484375,4,122m²,Централно,6кат,ВоЗграда,Стар,Полунаместен,Да,2014,1Балкон,2,Не,Гаража+Повеќеод3паркингместа,Запад,TodorPanica/IvanKozarov,2015
53,1200€,41.978187,21.427388,4,173m²,Струја,2кат,ВоЗграда,Нов,Празен,Да,2016,3Балкони,2,Да,1Гаража,Североисток,УлЃорѓиСкрижовски,
54,1100€,41.978187,21.427388,4,173m²,Струја,1кат,ВоЗграда,Нов,Празен,Да,2016,3Балкони,2,Да,1Гаража,Североисток,УлЃорѓиСкрижовски,
55,1150€,41.978187,21.427388,4,189m²,Струја,1кат,ВоЗграда,Нов,Празен,Да,2016,3Балкони,2,Да,1Гаража,Североисток,УлЃорѓиСкрижовски,
56,600€,41.111733,20.798579,25,86m²,Струја,5кат,ВоЗграда,Нов,Наместен,Да,,2Балкони,1,Не,1Паркинг,Југозапад,OrikumAlbanija,
57,122000€,41.949632,21.502494,4,75m²,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,1980,1Балкон,2,Да,1Паркинг,Југ,KOSTANOVAKOVIK,2019
58,70000€,41.1099808967137,20.8090369329491,3,68m²,Струја,2кат,Вокуќа,Стар,Наместен,Не,1995,2Балкони,1,Не,1Паркинг,Исток,СлавејПланина53а,
59,120€,41.14712,22.507161,25,75m²,Дрва,1кат,ВоЗграда,Стар,Празен,Не,,1Тераса,1,Да,Повеќеод3паркингместа,Запад,,
60,1МКД,41.090247,21.016781,2,70m²,Дрва,4кат,ВоЗграда,Реновиран,Наместен,Не,1981,1Балкон,1,Да,Нема,Запад,ulJosifJosifovskiZgr8,2020
61,1390€,41.995803941153,21.4196138942261,3,50m²,Струја,1кат,Вокуќа,Реновиран,Наместен,Не,1970,1Балкон,1,Да,1Паркинг,Исток,KiroKrstevskiPlatnik25,2020
62,24000€,41.14712,22.507161,3,55m²,Друго,5кат,ВоЗграда,Реновиран,Празен,Не,1985,1Балкон,1,Да,1Паркинг,Запад,Ristocavdarov,2021
63,47000€,41.440569,22.639528,3,69m²,Централно,4кат,ВоЗграда,Нов,Празен,Да,2018,1Тераса,1,Не,1Паркинг,Исток,MajkaTerezaKarpos,
64,127000€,41.9765291545796,21.433464512229,3,65m²,Струја,1кат,Вокуќа,Реновиран,Празен,Не,,Тераса+1Балкон,1,Да,1Гаража,Северозапад,Пржинобр7,2020
65,46000€,42.00877,21.45126,3,71m²,Струја,6кат,ВоЗграда,Реновиран,Наместен,Не,1976,1Тераса,1,Да,1Паркинг,Југоисток,Беровска2/3,2018
66,93800€,41.9899742701251,21.4196969321985,2,67m²,Струја,3кат,ВоЗграда,Нов,Празен,Да,2004,1Балкон,1,Не,Нема,Исток,BulMajkaTereza(Vodnjanska),
67,1€,41.978187,21.427388,5,126m²,Централно,1кат,ВоЗграда,Нов,Наместен,Да,2003,2Балкони,2,Не,1Паркинг,Југ,jordanmijalkov,
68,250€,41.9984924899906,21.4273558585297,2,52m²,Струја,4кат,ВоЗграда,Стар,Наместен,Да,1985,1Балкон,1,Не,1Паркинг,Североисток,DimitrieCupovski,2015
69,105000€,41.991502,21.39781,3,82m²,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,1997,2Балкони,2,Да,1Паркинг,Југ,БулИлинденбр97,
70,43000€,41.031728,21.329358,3,75m²,Дрва,5кат,ВоЗграда,Стар,Наместен,Не,1984,2Балкони,1,Да,1Паркинг,Исток,БЕЛАЧЕШМА,2000
71,90000€,42.013646,21.32586,3,104m²,Централно,>15кат,ВоЗграда,Стар,Полунаместен,Да,1985,1Балкон,2,Да,Повеќеод3паркингместа,Југозапад,,
72,75000€,41.440569,22.639528,35,104m²,Струја,5кат,ВоЗграда,Реновиран,Наместен,Да,2006,2Балкони,1,Да,1Паркинг,Исток,Г,
73,95000€,41.111733,20.798579,2,59m²,Струја,2кат,ВоЗграда,Нов,Наместен,Не,,2Балкони,1,Не,1Паркинг,Исток,Охрид,
74,63550€,41.111733,20.798579,2,41m²,Струја,Приземје,ВоЗграда,Нов,Луксузен,Не,,1Балкон,1,Не,1Паркинг,Исток,Охрид,
75,78300€,41.111733,20.798579,2,58m²,Нема,Приземје,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Паркинг,Југ,Центар,
76,78000€,41.9870695865131,21.4519291484375,2,59m²,Друго,6кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,Нема,Југ,Kozle,
77,1€,41.0242923830111,21.3282494219284,2,50m²,Централно,10кат,ВоЗграда,Нов,Наместен,Да,2015,1Тераса,1,Да,Повеќеод3паркингместа,Исток,никофундали16а,
78,65000€,41.9870695865131,21.4519291484375,2,55m²,Централно,3кат,ВоЗграда,Стар,Празен,Да,,2Балкони,1,Не,Нема,Југозапад,Centar,
79,60000€,42.00877,21.45126,3,67m²,Струја,4кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Исток,Hipodrom,
80,99000€,41.9870695865131,21.4519291484375,3,84m²,Струја,2кат,ВоЗграда,Реновиран,Празен,Не,,2Балкони,1,Да,1Паркинг,Југ,Centar,
81,100000€,41.949632,21.502494,3,87m²,Централно,Приземје,ВоЗграда,Реновиран,Празен,Не,,2Балкони,2,Да,Повеќеод3паркингместа,Југ,NovoLisice,
82,101000€,41.931839,21.502835,4,107m²,Централно,4кат,ВоЗграда,Нов,Празен,Да,2007,2Балкони,2,Да,Нема,Југ,KiselaVoda,
83,850€,42.013646,21.32586,1,28m²,Друго,1кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Паркинг,Исток,,
84,87900€,41.949632,21.502494,4,81m²,Централно,7кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Да,1Паркинг,Североисток,,
85,86000€,41.978187,21.427388,3,86m²,Централно,3кат,ВоЗграда,Реновиран,Празен,Не,,1Балкон,1,Не,1Паркинг,Југ,,
86,1300€,41.931839,21.502835,2,48m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Паркинг,Југ,,
87,65000€,41.9870695865131,21.4519291484375,2,81m²,Централно,5кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Не,Повеќеод3паркингместа,Југ,,
88,130000€,41.931839,21.502835,4,98m²,Централно,2кат,ВоЗграда,Нов,Празен,Да,,2Балкони,2,Не,Нема,Исток,KiselaVoda,
89,58000€,42.009423,20.971549,2,64m²,Струја,3кат,ВоЗграда,Нов,Наместен,Да,,2Балкони,1,Да,1Паркинг,Југозапад,SprotiPosta,
90,69900€,42.009423,20.971549,3,64m²,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Да,Нема,Југ,StrogCentar,
91,82000€,41.949632,21.502494,3,99m²,Централно,5кат,ВоЗграда,Стар,Наместен,Да,,3Балкони,1,Да,1Паркинг,Југ,,
92,980€,42.013646,21.32586,3,123m²,Друго,3кат,ВоЗграда,Реновиран,Наместен,Не,,3Балкони,2,Не,1Паркинг,Југ,,
93,95000€,42.009423,20.971549,35,114m²,Струја,3кат,ВоЗграда,Нов,Наместен,Да,,2Балкони,1,Да,1Паркинг,Југоисток,PrzovaBavca,
94,52000€,42.009423,20.971549,3,71m²,Струја,4кат,ВоЗграда,Реновиран,Полунаместен,Не,,2Балкони,1,Да,Нема,Југоисток,Centar,
95,89990€,42.009423,20.971549,4,111m²,Струја,4кат,ВоЗграда,Реновиран,Наместен,Да,,2Балкони,1,Да,Нема,Исток,StrogCentar,
96,43000€,42.009423,20.971549,15,62m²,Дрва,3кат,ВоЗграда,Стар,Празен,Да,,1Балкон,1,Да,1Паркинг,Југоисток,Blok82,
97,44000€,42.009423,20.971549,25,68m²,Струја,7кат,ВоЗграда,Нов,Празен,Да,,1Тераса,1,Не,Повеќеод3паркингместа,Југоисток,Blok82,
98,51000€,41.931839,21.502835,2,66m²,Струја,5кат,ВоЗграда,Стар,Празен,Не,,1Тераса,1,Не,1Паркинг,Југ,,
99,54990€,42.009423,20.971549,3,97m²,Струја,5кат,ВоЗграда,Стар,Полунаместен,Да,,1Балкон,1,Да,Повеќеод3паркингместа,Североисток,Blok70,
100,71500€,41.931839,21.502835,3,79m²,Централно,4кат,ВоЗграда,Реновиран,Полунаместен,Не,,1Балкон,1,Да,Нема,Исток,,
101,130000€,41.931839,21.502835,4,110m²,Струја,2кат,ВоЗграда,Нов,Празен,Да,,2Балкони,2,Не,1Паркинг,Исток,kiselavodarampa,
102,250€,41.9870695865131,21.4519291484375,2,65m²,Централно,3кат,ВоЗграда,Стар,Наместен,Да,,1Тераса,1,Не,1Паркинг,Југозапад,,
103,300€,41.9870695865131,21.4519291484375,4,80m²,Централно,3кат,ВоЗграда,Реновиран,Наместен,Да,2000,1Тераса,2,Да,2Паркингместа,Исток,BulevarJaneSandanski12,
104,74000€,41.9870695865131,21.4519291484375,3,78m²,Централно,3кат,ВоЗграда,Стар,Празен,Не,,2Балкони,1,Да,Нема,Исток,,
105,75000€,41.931839,21.502835,1,72m²,Централно,1кат,ВоЗграда,Стар,Празен,Да,,1Тераса,1,Не,Нема,Исток,,
106,60000€,41.931839,21.502835,1,46m²,Централно,3кат,ВоЗграда,Реновиран,Наместен,Да,2009,1Балкон,1,Не,1Паркинг,Североисток,,2017
107,82000€,41.931839,21.502835,3,68m²,Струја,Приземје,ВоЗграда,Нов,Наместен,Да,2010,1Балкон,2,Не,Нема,Исток,,
108,80000€,41.9870695865131,21.4519291484375,4,89m²,Централно,3кат,ВоЗграда,Стар,Празен,Не,,2Балкони,1,Да,1Паркинг,Југ,,
109,93000€,41.9870695865131,21.4519291484375,3,104m²,Централно,6кат,ВоЗграда,Нов,Празен,Да,1985,2Балкони,2,Да,Нема,Исток,,
110,92500€,41.9870695865131,21.4519291484375,3,67m²,Централно,1кат,ВоЗграда,Нов,Полунаместен,Да,,1Балкон,1,Не,1Гаража,Исток,,
111,48650€,41.9870695865131,21.4519291484375,2,35m²,Друго,Приземје,ВоЗграда,Воградба,Празен,Да,2022,Нема,1,Не,Нема,Југ,,
112,65000€,41.111733,20.798579,25,67m²,Струја,2кат,ВоЗграда,Реновиран,Полунаместен,Не,1990,Тераса+1Балкон,1,Да,2Паркингместа,Југ,Turisticka,2020
113,65600€,41.931839,21.502835,2,57m²,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Не,1Гаража,Север,KVoda,
114,61990€,41.111733,20.798579,2,40m²,Струја,3кат,ВоЗграда,Реновиран,Полунаместен,Не,2001,1Тераса,1,Не,1Паркинг,Југозапад,DimitarVlahov20,2015
115,1300€,41.978187,21.427388,3,67m²,Централно,1кат,ВоЗграда,Нов,Празен,Да,2015,Тераса+1Балкон,2,Не,Нема,Југоисток,PARKRESIDENCE,
116,199000€,41.9870695865131,21.4519291484375,4,118m²,Струја,4кат,ВоЗграда,Нов,Наместен,Да,2019,1Балкон,2,Не,Нема,Југоисток,,
117,1250€,41.991502,21.39781,2,48m²,Друго,4кат,ВоЗграда,Воградба,Празен,Не,2022,1Балкон,1,Да,1Гаража,Исток,,
118,47000€,41.949632,21.502494,2,29m²,Централно,8кат,ВоЗграда,Реновиран,Наместен,Да,2015,Нема,1,Не,Повеќеод3паркингместа,Исток,НовоЛисиче,
119,71000€,41.949632,21.502494,3,70m²,Централно,3кат,ВоЗграда,Стар,Празен,Да,1999,1Балкон,1,Да,1Паркинг,Југозапад,NLisice,
120,По договор,41.949632,21.502494,3,60m²,Централно,6кат,ВоЗграда,Нов,Празен,Да,2023,Тераса+1Балкон,2,Не,1Паркинг,Југоисток,bul3taMakedonskabrigada,
121,1130€,41.993929155843,21.4739226434348,3,60m²,Централно,6кат,ВоЗграда,Нов,Празен,Да,2022,Тераса+1Балкон,2,Да,Гаража+1Паркинг,Југоисток,NasprotiuniverzitetotFON,
122,1300€,41.949632,21.502494,3,60m²,Централно,6кат,ВоЗграда,Нов,Празен,Да,2023,Тераса+1Балкон,2,Не,1Паркинг,Југоисток,bul3taMakedonskabrigada,
123,950€,42.052075,21.450415,4,112m²,Друго,8кат,ВоЗграда,Нов,Празен,Да,2022,1Тераса,2,Не,1Паркинг,Југоисток,бул”ХристијанТодоровскиКарпош”ббОпштинаБутел,
124,1250€,41.9870695865131,21.4519291484375,3,80m²,Струја,2кат,ВоЗграда,Нов,Наместен,Не,2013,1Балкон,2,Да,1Гаража,Североисток,Kozle,
125,220000€,41.9870695865131,21.4519291484375,4,144m²,Централно,4кат,ВоЗграда,Реновиран,Наместен,Да,2019,2Балкони,Повеќеод2,Не,1Паркинг,Југ,,
126,1€,42.132926,21.715878,35,72m²,Струја,5кат,ВоЗграда,Реновиран,Наместен,Не,1990,2Балкони,1,Да,Гаража+1Паркинг,Североисток,Donebozinov9/1-10,2015
127,1500€,41.111733,20.798579,2,51m²,Струја,3кат,ВоЗграда,Воградба,Празен,Да,2022,1Тераса,1,Не,1Паркинг,Југ,Кајсудот,
128,80000€,41.949632,21.502494,3,80m²,Централно,5кат,ВоЗграда,Стар,Полунаместен,Не,,2Балкони,1,Да,1Паркинг,Исток,NLisice,
129,85000€,41.111733,20.798579,2,57m²,Друго,1кат,ВоЗграда,Нов,Празен,Не,,1Балкон,1,Не,1Паркинг,Запад,Ohrid,
130,24000€,41.14712,22.507161,3,57m²,Струја,2кат,ВоЗграда,Стар,Празен,Не,1990,1Балкон,1,Не,1Паркинг,Југоисток,Gevgelija,000
131,60000€,41.9944743838429,21.3963502009337,2,55m²,Централно,3кат,ВоЗграда,Стар,Празен,Не,1993,1Балкон,1,Да,Повеќеод3паркингместа,Југ,Kozlebr88-3/11,
132,1МКД,41.111733,20.798579,2,52m²,Струја,Приземје,ВоЗграда,Стар,Празен,Не,,1Тераса,1,Не,1Паркинг,Југ,Маркоцепенков,
133,250000€,41.9870695865131,21.4519291484375,4,180m²,Друго,7кат,ВоЗграда,Реновиран,Луксузен,Да,,2Балкони,2,Не,1Паркинг,Исток,,
134,250000€,41.991502,21.39781,4,194m²,Централно,Приземје,ВоЗграда,Нов,Наместен,Да,,1Балкон,Повеќеод2,Не,1Гаража,Југ,,
135,50000€,41.993825,21.436139,3,54m²,Струја,1кат,ВоЗграда,Стар,Полунаместен,Не,1976,1Балкон,1,Да,1Паркинг,Исток,,1976
136,1€,41.9870695865131,21.4519291484375,4,88m²,Струја,2кат,ВоЗграда,Стар,Полунаместен,Не,2000,3Балкони,2,Да,1Паркинг,Југоисток,,
137,По договор,42.0092875046894,21.360613382206,3,82m²,Струја,5кат,ВоЗграда,Реновиран,Полунаместен,Не,1988,1Балкон,1,Да,1Паркинг,Југозапад,4тиЈули,2010
138,78000€,41.9870695865131,21.4519291484375,2,60m²,Централно,4кат,ВоЗграда,Реновиран,Полунаместен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Исток,,
139,200€,41.9870695865131,21.4519291484375,35,85m²,Централно,6кат,ВоЗграда,Стар,Наместен,Да,85,2Балкони,2,Не,1Паркинг,Југозапад,Bojmija,95
140,1€,41.745515,22.19396,2,59m²,Струја,1кат,ВоЗграда,Реновиран,Полунаместен,Не,1,1Балкон,1,Да,1Паркинг,Запад,VancoPrke,1
141,68000€,41.7493572305331,22.1906233319855,2,80m²,Струја,1кат,ВоЗграда,Реновиран,Луксузен,Не,,1Балкон,1,Да,Повеќеод3паркингместа,Југозапад,БулеварЈНА32,2017
142,50000€,41.993825,21.436139,25,62m²,Централно,4кат,ВоЗграда,Реновиран,Наместен,Не,1997,2Балкони,1,Да,Повеќеод3паркингместа,Североисток,Bosnaihercegovina10a3/17,
143,61500€,41.9870695865131,21.4519291484375,25,43m²,Струја,4кат,ВоЗграда,Нов,Наместен,Да,,1Балкон,1,Не,1Гаража,Исток,,
144,171000€,41.9831896495171,21.4234270168952,4,170m²,Друго,2кат,ВоЗграда,Нов,Луксузен,Не,2009,3Балкони,Повеќеод2,Да,2Паркингместа,Североисток,СлавејкоАрсов40,2020
145,209250€,41.997089528335,21.424645718338,45,139m²,Централно,5кат,ВоЗграда,Стар,Полунаместен,Не,,Тераса+3Балкони,2,Да,Нема,Североисток,булСвКлиментОхридски54,
146,По договор,41.031728,21.329358,2,48m²,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Да,1Паркинг,Југозапад,,
147,95800МКД,42.0009630513921,21.4160831250236,3,71m²,Централно,Поткровје,ВоЗграда,Стар,Полунаместен,Не,2002,1Балкон,1,Да,Нема,Југоисток,,
148,95000€,41.978187,21.427388,3,65m²,Централно,2кат,ВоЗграда,Стар,Празен,Да,,Нема,1,Не,1Паркинг,Југозапад,,
149,По договор,41.991502,21.39781,3,90m²,Централно,4кат,ВоЗграда,Стар,Полунаместен,Не,,2Балкони,1,Не,3Паркингместа,Југ,,
150,250€,41.9870695865131,21.4519291484375,25,59m²,Централно,5кат,ВоЗграда,Реновиран,Наместен,Да,1995,1Тераса,1,Не,Повеќеод3паркингместа,Југ,,2021
151,1000€,41.111733,20.798579,3,66m²,Друго,2кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Паркинг,Запад,Ohrid,
152,58000€,41.931839,21.502835,3,62m²,Централно,11кат,ВоЗграда,Стар,Полунаместен,Да,,1Балкон,1,Не,1Паркинг,Југозапад,,
153,65000€,41.931839,21.502835,25,60m²,Струја,1кат,ВоЗграда,Нов,Полунаместен,Да,2015,1Тераса,1,Да,1Гаража,Југозапад,,
154,81500€,41.931839,21.502835,4,74m²,Централно,Приземје,ВоЗграда,Реновиран,Празен,Да,2006,1Балкон,2,Не,Нема,Исток,,
155,106000€,41.931839,21.502835,35,76m²,Друго,1кат,ВоЗграда,Нов,Наместен,Не,2019,1Тераса,2,Не,1Паркинг,Југоисток,,
156,54500€,41.931839,21.502835,2,56m²,Струја,2кат,ВоЗграда,Нов,Наместен,Да,2013,1Тераса,1,Не,1Паркинг,Запад,,
157,95000€,41.931839,21.502835,3,79m²,Струја,2кат,ВоЗграда,Нов,Празен,Не,,1Тераса,2,Не,1Паркинг,Североисток,,
158,88000€,41.9870695865131,21.4519291484375,3,55m²,Централно,5кат,ВоЗграда,Нов,Наместен,Да,2020,1Тераса,1,Не,Нема,Исток,CentarKapistec,
159,27500€,41.931839,21.502835,1,23m²,Нема,Приземје,ВоЗграда,Стар,Полунаместен,Да,,Нема,1,Да,1Паркинг,Југ,,
