,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,111€,42.009423,20.971549,Peugeot,206,1998,Бензин,150000,Рачен,Maлиградски,Зелена,Македонска,102022,44kw/60ks,Еуро4
1,1600€,41.9870695865131,21.4519291484375,Honda,Civic,1996,Бензин/Плин,200000,Рачен,Хеџбек,Сина,Македонска,042022,84kw/114ks,Останато
2,1€,41.745515,22.19396,Mazda,Premacy,2000,Бензин,100000,Рачен,Каравани,Сина,Странска,072022,84kw/114ks,Еуро3
3,По договор,41.9870695865131,21.4519291484375,Saab,93,2006,Дизел,190000,Автоматски,Каравани,Црна,Македонска,082022,77kw/105ks,Еуро4
4,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2006,Дизел,200000,Рачен,Седани,Жолта,Македонска,112021,68kw/92ks,Еуро4
5,1€,41.1144655505393,20.8214245414322,Peugeot,307,2005,Дизел,250000,Рачен,Каравани,Сива,Македонска,022022,100kw/136ks,Еуро4
6,4700€,41.438304,22.004864,BMW,530,2007,Дизел,200000,Автоматски,Каравани,Црна,Странска,012022,170kw/231ks,Еуро4
7,15000€,41.9870695865131,21.4519291484375,Volvo,Другмодел,1987,Дизел,,Рачен,Теренци-SUV,Црвена,Македонска,012022,49kw/67ks,Еуро1
8,1€,41.173346,20.677493,Opel,Corsa,2011,Дизел,150000,Рачен,Maлиградски,Бела,Македонска,122021,70kw/95ks,Еуро6
9,5250€,42.009423,20.971549,BMW,120,2005,Дизел,160000,Рачен,Останато,Црна,Македонска,072022,120kw/163ks,Останато
10,3€,41.346182,21.553379,Citroen,C3,2009,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,112022,50kw/68ks,Еуро4
11,600€,42.132926,21.715878,Renault,Scenic,1998,Бензин/Плин,140000,Рачен,Хеџбек,Сина,Македонска,102021,0kw/0ks,Еуро3
12,1€,41.745515,22.19396,Jaguar,X-Type,2005,Дизел,30000,Рачен,Седани,Црвена,Странска,012021,90kw/122ks,Еуро4
13,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2007,Бензин/Плин,250000,Рачен,Хеџбек,Црна,Македонска,112021,75kw/102ks,Еуро5
