,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
1697,3€,41.346182,21.553379,Opel,Astra,2006,Дизел,Рачен,Купеа,Сива,Македонска,052020,110kw/150ks,Еуро4,20000
1698,1€,41.346182,21.553379,Honda,CR-V,2007,Дизел,Рачен,Хеџбек,Црна,Македонска,072021,103kw/140ks,Еуро4,250000
1699,2400€,41.745515,22.19396,Opel,Vectra,2001,Дизел,Рачен,Седани,Сива,Македонска,122020,74kw/101ks,Еуро3,190000
1700,2000€,41.173346,20.677493,VWVolkswagen,Polo,2002,Бензин,Рачен,Хеџбек,Сива,Македонска,082020,74kw/101ks,Еуро4,200000
1701,123€,41.9672284372052,21.550133228302,Fiat,Bravo,2007,Дизел,Рачен,Хеџбек,Црна,Македонска,012020,88kw/120ks,Еуро4,150000
1702,1550€,42.205478,22.333429,Opel,Astra,2000,Дизел,Рачен,Хеџбек,Црна,Македонска,082020,55kw/75ks,Еуро3,250000
1703,2000€,41.173346,20.677493,VWVolkswagen,Polo,2002,Бензин,Рачен,Хеџбек,Сива,Македонска,092020,74kw/101ks,Еуро4,200000
1704,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Дизел,Автоматски,Хеџбек,Црна,Македонска,012021,100kw/136ks,Еуро5,180000
1705,3600€,41.7944585607113,20.8778699342575,VWVolkswagen,Polo,2006,Дизел,Рачен,Хеџбек,,Македонска,042020,59kw/80ks,,170000
1706,3МКД,41.031728,21.329358,Други,,2002,Бензин,Рачен,Седани,Сива,Македонска,012021,152kw/207ks,Еуро3,90000
1707,3000€,41.865485,21.940845,Seat,Alhambra,2003,Дизел,Рачен,Моноволумен,Сина,Македонска,062021,116kw/158ks,Еуро4,200000
1708,3590€,41.9391816619563,21.5247218255615,Opel,Agila,2009,Бензин,Рачен,Моноволумен,Сина,Македонска,022021,63kw/86ks,Еуро4,140000
1709,1€,42.132926,21.715878,Mercedes-Benz,C220,2006,Дизел,Рачен,Седани,Сива,Македонска,122020,0kw/0ks,Еуро4,190000
1710,5300€,41.884235,22.515181,VWVolkswagen,Passat,2007,Дизел,Рачен,Останато,Сива,Македонска,122021,77kw/105ks,Еуро6,190000
1711,1150€,41.031728,21.329358,Mercedes-Benz,E220,1997,Дизел,Рачен,Седани,Бела,Македонска,062019,70kw/95ks,Еуро4,350000
1712,2200€,41.438304,22.004864,Opel,Corsa,2005,Бензин,Рачен,Maлиградски,Зелена,Македонска,102020,12kw/16ks,Останато,140000
1713,1400€,41.9870695865131,21.4519291484375,Mercedes-Benz,A160,2000,Бензин/Плин,Рачен,Maлиградски,Сива,Македонска,122020,75kw/102ks,Еуро2,190000
1714,1€,41.715954,21.770997,AlfaRomeo,Alfa147,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,032021,88kw/120ks,Еуро4,170000
1715,2200€,41.9870695865131,21.4519291484375,Peugeot,307,2002,Дизел,Рачен,Хеџбек,Сива,Македонска,082021,66kw/90ks,Еуро3,20000
1716,3100€,41.994543,22.181289,Citroen,XsaraPicasso,2007,Бензин/Плин,Рачен,Моноволумен,Сива,Македонска,062020,80kw/109ks,Еуро4,150000
1717,3300€,41.7954823965504,20.88336309832,Audi,A3,2001,Дизел,Рачен,Хеџбек,Сива,Македонска,062021,81kw/110ks,Еуро3,190000
1718,3200€,41.9870695865131,21.4519291484375,Fiat,GrandePunto,2007,Дизел,Рачен,Хеџбек,Сина,Македонска,092020,75kw/102ks,Еуро4,170000
1719,2000€,41.715954,21.770997,Opel,Corsa,2006,Бензин,Рачен,Maлиградски,,Македонска,042021,43kw/58ks,Еуро5,170000
1720,1€,41.865485,21.940845,VWVolkswagen,Bora,1999,Дизел,Рачен,Седани,Сива,Македонска,092020,116kw/158ks,Останато,200000
1721,3900€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2004,Дизел,Рачен,Каравани,Сива,Странска,102021,103kw/140ks,Еуро4,250000
1722,1150€,41.966811,22.781396,VWVolkswagen,Golf,1987,Дизел,Рачен,Maлиградски,Црвена,Македонска,102020,50kw/68ks,Еуро1,200000
1723,750€,41.989867,21.581912,Yugo,Другмодел,1987,Бензин/Плин,Рачен,Maлиградски,Црвена,Македонска,102020,33kw/45ks,Останато,80000
1724,500€,41.994543,22.181289,Renault,R9,1996,Бензин/Плин,Рачен,Седани,Жолта,Македонска,102020,49kw/67ks,Останато,160000
1725,По договор,41.9870695865131,21.4519291484375,Citroen,C3,2005,Бензин,Рачен,Maлиградски,Сива,Македонска,032021,54kw/73ks,Еуро4,150000
1726,4199€,41.93375,21.621843,VWVolkswagen,Golf,2006,Дизел,Рачен,Седани,Црна,Македонска,082020,77kw/105ks,Еуро4,200000
1727,2600€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2000,Дизел,Рачен,Седани,Бела,Македонска,072020,2200kw/2991ks,Еуро3,190000
1728,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2005,Дизел,Рачен,,Сина,Македонска,082020,105kw/143ks,Еуро5,200000
1729,По договор,41.346182,21.553379,Mercedes-Benz,A150,2007,Бензин,Рачен,Хеџбек,Црна,Странска,072020,70kw/95ks,Еуро4,200000
1730,1800€,41.989867,21.581912,Renault,Megane,2003,Дизел,Рачен,Хеџбек,Сива,Македонска,072021,88kw/120ks,Еуро4,200000
1731,1000€,41.989867,21.581912,Fiat,Punto,1996,Бензин,Рачен,Maлиградски,Сива,Македонска,112020,45kw/61ks,Еуро1,100000
1732,900€,41.989867,21.581912,Ford,Escort,1998,Дизел,Рачен,Седани,Зелена,Македонска,102020,55kw/75ks,Еуро1,150000
1733,1250€,41.031728,21.329358,VWVolkswagen,Golf,1998,Бензин/Плин,Рачен,Хеџбек,Црвена,Македонска,112020,55kw/75ks,Еуро4,190000
1734,1800€,41.711096,22.848172,Mercedes-Benz,A160,1999,Бензин/Плин,Рачен,Maлиградски,Бела,Македонска,072021,75kw/102ks,Еуро3,200000
1735,4500€,41.635743,22.470056,Volvo,V50,2005,Дизел,Рачен,Каравани,Сива,Македонска,082020,80kw/109ks,Еуро4,200000
1736,2050€,41.438304,22.004864,Mercedes-Benz,220,1998,Дизел,Рачен,Седани,Црна,Македонска,022021,70kw/95ks,Останато,300000
1737,2200€,41.801881,20.913259,Renault,Megane,2003,Бензин,Рачен,,Сина,Македонска,072020,83kw/113ks,,200000
1738,350€,41.9870695865131,21.4519291484375,Peugeot,106,1993,Бензин,Рачен,Maлиградски,Бела,Македонска,052021,37kw/50ks,Еуро3,
1739,2600€,41.745515,22.19396,Opel,Zafira,2000,Дизел,Рачен,Моноволумен,Бела,Македонска,112020,101kw/137ks,Еуро3,200000
1740,6500€,41.967228,20.980786,BMW,525,2005,Дизел,Рачен,Седани,Црна,Македонска,062021,86kw/117ks,Еуро4,250000
1741,3150€,42.00877,21.45126,VWVolkswagen,Golf,2003,Дизел,Рачен,Хеџбек,Црна,Македонска,082020,103kw/140ks,Еуро3,180000
1742,1€,42.00877,21.45126,Nissan,Qashqai,2011,Дизел,Рачен,Теренци-SUV,Сива,Македонска,062021,78kw/106ks,Еуро4,180000
1743,2999€,41.991502,21.39781,Citroen,C3,2009,Бензин,Рачен,Maлиградски,Сива,Македонска,122020,54kw/73ks,Еуро5,150000
1744,2600€,41.865485,21.940845,Opel,Meriva,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,092020,74kw/101ks,Останато,150000
1745,3300€,41.031728,21.329358,Mercedes-Benz,C180,2003,Бензин,Рачен,Купеа,Сина,Македонска,072020,105kw/143ks,Еуро4,140000
1746,По договор,41.949632,21.502494,Seat,Ibiza,2011,Дизел,Рачен,Maлиградски,Бела,Македонска,022021,77kw/105ks,Еуро5,150000
1747,18000€,41.173346,20.677493,Mercedes-Benz,GL320,2008,Дизел,Автоматски,Теренци-SUV,Златна,Македонска,092020,224kw/305ks,Еуро4,250000
1748,2400€,42.205478,22.333429,VWVolkswagen,Caddy,2001,Дизел,Рачен,Останато,Сина,Македонска,012021,67kw/91ks,Еуро3,200000
1749,1000€,41.9870695865131,21.4519291484375,Opel,Astra,1995,Бензин/Плин,Рачен,Седани,Сина,Македонска,112020,65kw/88ks,Останато,30000
1750,16300€,41.799961486047,20.9060921375122,Mercedes-Benz,ML320,2010,Дизел,Автоматски,Теренци-SUV,Бела,Македонска,122021,157kw/213ks,Останато,170000
1751,По договор,42.205478,22.333429,Fiat,GrandePunto,2007,Бензин/Плин,Рачен,Maлиградски,Сина,Македонска,012020,48kw/65ks,Еуро4,190000
1752,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2008,Дизел,Рачен,Седани,Црна,Македонска,022021,77kw/105ks,Еуро4,200000
1753,5100€,41.9870695865131,21.4519291484375,Renault,Megane,2009,Бензин/Плин,Рачен,Хеџбек,Црна,Македонска,082020,98kw/133ks,Еуро5,160000
1754,2200€,41.966811,22.781396,Opel,Meriva,2004,Дизел,Рачен,Моноволумен,Сина,Македонска,082020,74kw/101ks,Еуро3,180000
1755,5300€,41.9870695865131,21.4519291484375,Lancia,Delta,2010,Бензин,Рачен,Хеџбек,Бела,Македонска,062021,110kw/150ks,Еуро6,250000
1756,3300€,41.9870695865131,21.4519291484375,Seat,Ibiza,2007,Дизел,Рачен,Хеџбек,Црна,Македонска,072021,59kw/80ks,Еуро5,180000
1757,1€,42.009423,20.971549,VWVolkswagen,Passat,1999,Бензин,Рачен,Седани,Сива,Странска,012018,1kw/1ks,Еуро3,180000
1758,1€,42.009423,20.971549,Audi,A4,1998,Бензин,Рачен,Седани,Сина,Странска,012018,1kw/1ks,Еуро3,190000
1759,3000€,41.9870695865131,21.4519291484375,VWVolkswagen,Bora,2001,Дизел,Рачен,Каравани,Сина,Македонска,012021,89kw/121ks,Еуро4,300000
1760,3500€,41.9870695865131,21.4519291484375,VWVolkswagen,Polo,2007,Дизел,Рачен,Хеџбек,Црна,Македонска,042021,49kw/67ks,Еуро4,180000
1761,2500€,41.635743,22.470056,Renault,Megane,2004,Дизел,Рачен,Хеџбек,Сива,Македонска,052021,78kw/106ks,Еуро4,200000
1762,1€,41.745515,22.19396,Audi,A6,2010,Дизел,Рачен,Останато,Бела,Македонска,012018,125kw/170ks,Еуро5,95000
1763,200МКД,41.346182,21.553379,Peugeot,206,2004,Дизел,Рачен,Maлиградски,Сива,Македонска,062019,66kw/90ks,,170000
1764,4200€,41.924335,22.404964,Audi,A6,2005,Дизел,Автоматски,Седани,Сива,Странска,082020,166kw/226ks,Еуро4,250000
1765,1300€,41.9870695865131,21.4519291484375,Peugeot,406,1999,Бензин,Рачен,,Сина,Македонска,012021,82kw/111ks,Еуро3,180000
1766,10000€,41.991502,21.39781,VWVolkswagen,Passat,2009,Дизел,Автоматски,Седани,Црна,Македонска,092021,125kw/170ks,Еуро5,200000
1767,200€,42.132926,21.715878,Hyundai,SantaFe,2008,Дизел,Автоматски,Хеџбек,Црна,Македонска,082021,100kw/136ks,Еуро6,25000
1768,330€,41.031728,21.329358,Hyundai,Accent,1997,Бензин/Плин,Рачен,Седани,Зелена,Македонска,042019,60kw/82ks,Еуро3,140000
1769,6500€,41.9870695865131,21.4519291484375,Seat,AlteaXL,2008,Дизел,Автоматски,Хеџбек,Бела,Македонска,122020,104kw/141ks,Еуро4,250000
1770,7600€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Дизел,Рачен,Седани,Бела,Македонска,072021,81kw/110ks,Еуро5,200000
1771,5700€,41.090247,21.016781,VWVolkswagen,GolfPlus,2008,Дизел,Рачен,Хеџбек,Сива,Македонска,122020,77kw/105ks,Еуро5,200000
1772,1€,42.132926,21.715878,Renault,Kangoo,2010,Дизел,Рачен,Седани,Бела,Македонска,042020,2kw/3ks,Останато,190000
1773,4000€,41.9146274776059,22.4269151985779,Audi,A3,2008,Дизел,Рачен,Хеџбек,Сива,Странска,102020,77kw/105ks,Еуро4,190000
1774,2150€,41.745515,22.19396,VWVolkswagen,Golf,1998,Дизел,Рачен,Хеџбек,Зелена,Македонска,102020,81kw/110ks,Еуро3,300000
1775,2600€,42.132926,21.715878,Citroen,C3,2008,Бензин,Рачен,Maлиградски,Црна,Македонска,022020,75kw/102ks,Еуро3,140000
1776,1900€,42.132926,21.715878,Renault,Scenic,1999,Бензин/Плин,Рачен,Седани,Црна,Македонска,082020,79kw/107ks,Еуро3,300000
1777,2900€,41.438304,22.004864,Chevrolet,Aveo,2009,Бензин/Плин,Рачен,Седани,Жолта,Македонска,072021,62kw/84ks,Останато,150000
1778,5€,42.132926,21.715878,Fiat,GrandePunto,2007,Дизел,Рачен,Maлиградски,Сина,Македонска,122020,66kw/90ks,Еуро4,150000
1779,7000€,41.9870695865131,21.4519291484375,BMW,X3,2006,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,102020,190kw/258ks,Останато,250000
1780,4750€,42.205478,22.333429,Ford,Fiesta,2010,Дизел,Рачен,Хеџбек,Црвена,Македонска,012019,50kw/68ks,Еуро4,170000
1781,1€,42.132926,21.715878,Zastava,750,1985,Бензин,Рачен,Maлиградски,Црна,Македонска,082020,23kw/31ks,Еуро6,200000
1782,9200€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2012,Дизел,Автоматски,Каравани,Сива,Македонска,062021,103kw/140ks,Еуро5,200000
1783,4300€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2005,Дизел,Рачен,Maлиградски,Сина,Македонска,122020,66kw/90ks,Еуро4,200000
1784,1200€,41.9870695865131,21.4519291484375,Peugeot,306,1999,Дизел,Рачен,Maлиградски,Сина,Македонска,052021,50kw/68ks,Останато,150000
1785,4999€,42.013646,21.32586,Mercedes-Benz,B200,2006,Дизел,Автоматски,Моноволумен,Сива,Македонска,082021,103kw/140ks,Еуро4,200000
1786,По договор,41.949632,21.502494,VWVolkswagen,Golf,2009,Дизел,Рачен,Хеџбек,Сива,Македонска,012021,103kw/140ks,Еуро5,180000
1787,1200€,41.9870695865131,21.4519291484375,Renault,Scenic,1996,Бензин/Плин,Рачен,,Сива,Македонска,102020,66kw/90ks,Еуро3,160000
1788,2750€,41.031728,21.329358,Opel,Zafira,2002,Дизел,Рачен,Моноволумен,Сина,Македонска,082021,92kw/125ks,Останато,200000
1789,1€,42.132926,21.715878,Opel,Corsa,2002,Бензин,Рачен,Maлиградски,Црвена,Македонска,122020,44kw/60ks,Еуро4,140000
1790,3300€,41.090247,21.016781,Mini,CooperD,2004,Бензин,Рачен,Maлиградски,Црвена,Македонска,062021,55kw/75ks,Еуро4,190000
1791,36000МКД,41.9870695865131,21.4519291484375,Renault,Clio,1995,Бензин/Плин,Рачен,Maлиградски,Црвена,Македонска,082020,3kw/4ks,Останато,15000
1792,500€,41.090247,21.016781,AlfaRomeo,Alfa155,1993,Бензин,Рачен,Седани,Бела,Македонска,012019,93kw/126ks,Еуро2,100000
1793,1600€,42.0768332158365,22.1770268046875,VWVolkswagen,Golf,1995,Дизел,Рачен,Хеџбек,Зелена,Македонска,122020,85kw/116ks,Еуро3,90000
1794,500€,41.090247,21.016781,Ford,Mondeo,1997,Дизел,Рачен,Седани,Сина,Македонска,012019,66kw/90ks,Еуро1,110000
1795,85000МКД,41.2145742324438,22.706395512778,Rover,75,2000,Дизел,Рачен,Седани,Сина,Македонска,092020,2kw/3ks,Останато,160000
1796,123€,41.715954,21.770997,Opel,Zafira,2005,Дизел,Рачен,Каравани,Сива,Македонска,012021,150kw/204ks,Еуро4,10000
1797,2000€,41.440569,22.639528,Toyota,Yaris,2002,Бензин/Плин,Рачен,Maлиградски,Сива,Македонска,012020,50kw/68ks,Останато,150000
1798,1€,41.9870695865131,21.4519291484375,Audi,A4,2005,Дизел,Рачен,Седани,Сива,Македонска,062020,103kw/140ks,Еуро4,300000
1799,11399€,41.715954,21.770997,Citroen,DS4,2012,Дизел,Рачен,Хеџбек,Бела,Македонска,082021,82kw/111ks,Еуро5,180000
1800,35€,41.14712,22.507161,Audi,A4,1999,Дизел,Рачен,Седани,Црна,Македонска,052020,110kw/150ks,,250000
1801,1€,41.801881,20.913259,Peugeot,Partner,2008,Дизел,Рачен,Останато,Сива,Македонска,082021,85kw/116ks,Останато,200000
1802,7500€,42.009423,20.971549,Opel,Insignia,2009,Бензин/Плин,Рачен,Седани,Сина,Македонска,052021,100kw/136ks,Еуро5,190000
1803,3250€,42.132926,21.715878,Citroen,C4,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,022018,66kw/90ks,Еуро4,130000
1804,2900€,41.9870695865131,21.4519291484375,AlfaRomeo,Alfa147,2007,Дизел,Рачен,Maлиградски,Црна,Македонска,012020,88kw/120ks,Еуро4,200000
1805,1800€,41.9870695865131,21.4519291484375,Opel,Astra,2000,Дизел,Рачен,Хеџбек,Сина,Македонска,102020,50kw/68ks,Еуро4,190000
1806,10800€,42.036516,21.42584,VWVolkswagen,Passat,2009,Дизел,Рачен,,Црна,Македонска,092020,103kw/140ks,Еуро5,190000
1807,3€,41.9870695865131,21.4519291484375,Mercedes-Benz,E320,2001,Дизел,Автоматски,Седани,Сива,Македонска,022020,197kw/268ks,Еуро3,350000
1808,3900€,42.036516,21.42584,Mercedes-Benz,A200,2005,Бензин,Рачен,Хеџбек,Црна,Македонска,062021,100kw/136ks,Еуро4,160000
1809,По договор,41.9870695865131,21.4519291484375,Mercedes-Benz,E200,2005,Дизел,Автоматски,Седани,Црна,Македонска,112019,90kw/122ks,,200000
1810,5000€,41.438304,22.004864,VWVolkswagen,Passat,2006,Дизел,Рачен,Каравани,Црна,Македонска,072021,105kw/143ks,Еуро4,190000
1811,2600€,41.14712,22.507161,Opel,Corsa,2002,Бензин,Автоматски,Хеџбек,Сива,Македонска,122020,75kw/102ks,Еуро4,200000
1812,2700€,41.745515,22.19396,Citroen,C3,2005,Дизел,Рачен,Хеџбек,Сина,Македонска,082021,50kw/68ks,Еуро4,250000
1813,8300€,42.205478,22.333429,Audi,A4,2009,Дизел,Рачен,Седани,Сива,Македонска,072020,106kw/144ks,Еуро5,170000
1814,1€,42.00877,21.45126,VWVolkswagen,Golf,2007,Дизел,Рачен,Каравани,Црна,Македонска,012021,77kw/105ks,Еуро4,160000
1815,123€,41.9672284372052,21.550133228302,Citroen,C3,2007,Дизел,Рачен,Maлиградски,Сина,Македонска,012020,50kw/68ks,Еуро4,130000
1816,1€,42.00877,21.45126,Citroen,C3,2011,Бензин,Рачен,Хеџбек,,Македонска,052020,55kw/75ks,Еуро5,130000
1817,1550€,42.132926,21.715878,VWVolkswagen,Golf,1996,Дизел,Рачен,Каравани,Сина,Македонска,122020,81kw/110ks,Еуро4,200000
1818,1€,42.025081641026,21.4070616716518,Kia,Picanto,2008,Бензин,Рачен,Maлиградски,Сина,Македонска,012021,44kw/60ks,Еуро4,15000
1819,123€,41.9672284372052,21.550133228302,Peugeot,407,2004,Дизел,Рачен,Седани,Сина,Македонска,122020,100kw/136ks,Еуро4,200000
1820,По договор,41.346182,21.553379,VWVolkswagen,Golf,2000,Дизел,Рачен,Maлиградски,Црна,Македонска,012021,81kw/110ks,Еуро2,250000
1821,1€,41.111733,20.798579,VWVolkswagen,Eos,2006,Дизел,Автоматски,Кабриолети,Црна,Македонска,062021,77kw/105ks,Еуро4,200000
1822,По договор,41.9870695865131,21.4519291484375,Opel,Astra,1997,Бензин/Плин,Рачен,Хеџбек,Сина,Македонска,012021,0kw/0ks,Останато,5000
1823,3500€,41.9870695865131,21.4519291484375,VWVolkswagen,Sharan,2001,Дизел,Рачен,Моноволумен,Сива,Македонска,072021,86kw/117ks,Останато,250000
1824,4699€,41.991502,21.39781,Seat,Leon,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,072021,77kw/105ks,Еуро4,180000
1825,4200€,42.132926,21.715878,Opel,Corsa,2007,Бензин,Автоматски,Maлиградски,Сина,Македонска,072020,66kw/90ks,Еуро4,20000
1826,12999МКД,41.9870695865131,21.4519291484375,Mercedes-Benz,C200,2006,Дизел,Рачен,Седани,Сива,Македонска,032021,90kw/122ks,Еуро4,5000
1827,По договор,41.9870695865131,21.4519291484375,Opel,Vectra,2007,Дизел,Рачен,Каравани,Сива,Македонска,022021,1kw/1ks,Еуро4,
1828,3650€,42.205478,22.333429,Citroen,C3,2007,Дизел,Рачен,Maлиградски,Сива,Македонска,012019,66kw/90ks,Еуро4,170000
1829,7500€,41.834089,20.883743,Chevrolet,Captiva,2007,Дизел,Рачен,Теренци-SUV,Сина,Македонска,042019,110kw/150ks,,120000
1830,1€,41.931839,21.502835,BMW,X3,2006,Дизел,Рачен,Теренци-SUV,Сива,Македонска,012020,110kw/150ks,Еуро5,170000
1831,1€,41.994543,22.181289,Renault,GrandScenic,1997,Бензин,Рачен,Maлиградски,Сива,Македонска,122020,55kw/75ks,Еуро3,200000
1832,По договор,41.9870695865131,21.4519291484375,Peugeot,407,2007,Дизел,Рачен,Седани,Сива,Македонска,022021,80kw/109ks,Еуро5,200000
1833,1€,42.00877,21.45126,VWVolkswagen,Touran,2005,Дизел,Рачен,Моноволумен,Сина,Македонска,022021,77kw/105ks,Еуро1,170000
1834,1€,42.00877,21.45126,VWVolkswagen,Touran,2004,Дизел,Рачен,Моноволумен,Сива,Македонска,022020,75kw/102ks,Еуро4,170000
1835,5€,41.346182,21.553379,BMW,530,2005,Дизел,Рачен,Седани,Сива,Македонска,112020,160kw/218ks,Еуро4,200000
1836,1€,42.00877,21.45126,Renault,Megane,2008,Дизел,Рачен,Хеџбек,Црна,Македонска,012021,66kw/90ks,Еуро4,140000
1837,6000€,41.9870695865131,21.4519291484375,Skoda,Superb,2008,Бензин,Рачен,Седани,Сива,Македонска,102019,0kw/0ks,Еуро5,150000
1838,1€,41.9870695865131,21.4519291484375,Toyota,CorollaVerso,2007,Дизел,Рачен,Останато,Црна,Македонска,032020,130kw/177ks,Еуро4,200000
1839,6000€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2006,Дизел,Рачен,Седани,Сина,Македонска,062021,103kw/140ks,Еуро4,250000
1840,1€,41.111733,20.798579,VWVolkswagen,Passat,2005,Дизел,Рачен,Каравани,Сива,Македонска,072020,103kw/140ks,Еуро4,250000
1841,3050€,41.031728,21.329358,Ford,Fiesta,2002,Дизел,Рачен,Хеџбек,Сива,Македонска,112019,50kw/68ks,Еуро4,160000
1842,17000€,41.173346,20.677493,Mercedes-Benz,GL320,2008,Дизел,Автоматски,,Златна,Македонска,102020,224kw/305ks,Еуро4,300000
1843,1€,42.009423,20.971549,Audi,A5,2012,Дизел,Рачен,Седани,Црна,Странска,022021,2kw/3ks,Еуро6,190000
1844,1099€,41.484224,22.089622,Fiat,Doblo,2002,Дизел,Рачен,Останато,Сива,Македонска,072020,46kw/63ks,Еуро3,200000
1845,4200€,41.9870695865131,21.4519291484375,Smart,ForTwo,2008,Бензин,Автоматски,Maлиградски,Сина,Македонска,102020,45kw/61ks,Еуро4,120000
1846,6900€,41.031728,21.329358,LandRover,Discovery,1998,Дизел,Рачен,Теренци-SUV,Сина,Македонска,102020,120kw/163ks,Еуро2,200000
1847,600€,41.745515,22.19396,Yugo,55,1990,Бензин,Рачен,Maлиградски,Бела,Македонска,032021,33kw/45ks,Еуро3,120000
1848,5€,41.173346,20.677493,VWVolkswagen,Golf,2008,Дизел,Рачен,Хеџбек,Сина,Македонска,062021,77kw/105ks,Еуро4,190000
1849,350€,41.9870695865131,21.4519291484375,Peugeot,306,1994,Дизел,Рачен,Останато,Црна,Македонска,122020,77kw/105ks,Останато,300000
1850,1500€,41.346182,21.553379,Ford,Mondeo,2005,Дизел,Рачен,Каравани,Сива,Странска,012020,150kw/204ks,,190000
1851,1МКД,41.9870695865131,21.4519291484375,Audi,A4,2006,Дизел,Автоматски,Седани,Сина,Странска,072020,140kw/190ks,Еуро4,190000
1852,4500€,41.9870695865131,21.4519291484375,Audi,A4,2004,Дизел,Рачен,Каравани,Сива,Македонска,112019,131kw/178ks,,190000
1853,3299€,41.346182,21.553379,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Црна,Македонска,012020,74kw/101ks,Еуро4,180000
1854,1€,41.9870695865131,21.4519291484375,Audi,Q7,2007,Дизел,Автоматски,Теренци-SUV,Црна,Странска,012018,232kw/315ks,Еуро4,200000
1855,850€,42.052075,21.450415,Zastava,750,1980,Бензин,Рачен,Купеа,Бела,Македонска,052018,44kw/60ks,Еуро1,65000
1856,2350€,41.865485,21.940845,VWVolkswagen,Polo,2004,Бензин,Рачен,Maлиградски,Сива,Македонска,032021,75kw/102ks,Еуро4,170000
1857,1МКД,41.801881,20.913259,Fiat,Punto,2014,Бензин/Плин,Рачен,Хеџбек,Сива,Македонска,092022,44kw/60ks,Останато,190000
1858,2600€,41.484224,22.089622,BMW,525,1997,Дизел,Рачен,Седани,Сива,Македонска,042021,85kw/116ks,Еуро3,250000
1859,1€,41.9870695865131,21.4519291484375,Zastava,101,1999,Бензин/Плин,Рачен,Седани,Зелена,Македонска,102020,50kw/68ks,Останато,85000
1860,1400€,41.635743,22.470056,Citroen,C5,2001,Дизел,Рачен,Седани,Сива,Странска,112021,98kw/133ks,Еуро3,20000
1861,13000€,41.9870695865131,21.4519291484375,Volvo,XC60,2011,Дизел,Рачен,Теренци-SUV,Златна,Странска,012021,120kw/163ks,Еуро5,180000
1862,2500€,41.9870695865131,21.4519291484375,Opel,Astra,2004,Дизел,Рачен,Каравани,Сива,Македонска,102020,74kw/101ks,Еуро4,200000
1863,1€,41.9870695865131,21.4519291484375,Opel,Kadett,1980,Бензин,Рачен,Купеа,Црвена,Македонска,052018,40kw/54ks,Еуро1,20000
1864,1200€,41.865485,21.940845,Peugeot,206,2001,Дизел,Рачен,Maлиградски,Сива,Македонска,112020,51kw/69ks,Останато,190000
1865,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,1980,Бензин,Рачен,Купеа,Црвена,Македонска,052018,20kw/27ks,Еуро2,15000
1866,1€,41.9870695865131,21.4519291484375,Zastava,750,1980,Бензин,Рачен,Купеа,Бела,Македонска,062018,20kw/27ks,Еуро2,20000
1867,100€,41.865485,21.940845,Citroen,SAXO,1997,Дизел,Рачен,Maлиградски,Црвена,Македонска,062021,55kw/75ks,Еуро2,25000
1868,18999€,41.51282,20.96083,BMW,530,2010,Дизел,Автоматски,Седани,Црна,Македонска,022021,185kw/252ks,Еуро5,130000
1869,800€,41.9870695865131,21.4519291484375,Skoda,Felicia,1996,Бензин/Плин,Рачен,Maлиградски,Зелена,Македонска,032021,13kw/18ks,Еуро5,180000
1870,3950€,42.205478,22.333429,Seat,Altea,2005,Дизел,Рачен,Хеџбек,Црвена,Македонска,012021,77kw/105ks,Еуро4,190000
1871,1500€,41.440569,22.639528,Opel,Zafira,2001,Дизел,Рачен,Моноволумен,Зелена,Странска,012020,200kw/272ks,Еуро3,190000
1872,4300€,41.484224,22.089622,Fiat,Doblo,2009,Дизел,Рачен,Останато,Сива,Македонска,012021,88kw/120ks,Еуро4,200000
1873,1€,41.715954,21.770997,Hyundai,Accent,1997,Бензин,Рачен,Седани,Сива,Македонска,062021,70kw/95ks,Останато,190000
1874,По договор,41.346182,21.553379,Chevrolet,Matiz,2005,Бензин,Рачен,Maлиградски,Сина,Странска,082020,49kw/67ks,Еуро4,110000
1875,1€,41.924335,22.404964,Seat,Leon,2002,Дизел,Рачен,Хеџбек,Црвена,Македонска,082020,115kw/156ks,Еуро2,200000
1876,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Eos,2008,Бензин,Рачен,Кабриолети,Сина,Македонска,052021,110kw/150ks,Еуро5,200000
1877,1€,41.346182,21.553379,Audi,A6,2014,Дизел,Автоматски,Седани,Бела,Македонска,012021,200kw/272ks,Останато,150000
