,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
41,1€,42.132926,21.715878,Peugeot,405,1994,Бензин/Плин,Рачен,Седани,Црна,Македонска,,,,200000
42,4300€,42.205478,22.333429,VWVolkswagen,GolfPlus,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,112020,77kw/105ks,Еуро4,180000
43,8600€,42.205478,22.333429,Mercedes-Benz,C320,2007,Дизел,Рачен,Седани,Сива,Македонска,092020,165kw/224ks,Еуро4,190000
44,7300€,41.9870695865131,21.4519291484375,Skoda,Octavia,2010,Бензин/Плин,Рачен,Седани,Бела,Македонска,012021,75kw/102ks,Еуро4,90000
45,777€,42.132926,21.715878,Rolls-Royce,SilverCloud,1998,Бензин,Рачен,Maлиградски,Црна,Македонска,042020,66kw/90ks,Еуро4,85000
46,1€,42.205478,22.333429,Audi,A4,2001,Дизел,Рачен,Седани,Црна,Македонска,072021,96kw/131ks,Еуро3,300000
47,88€,41.5187914423375,20.5235444708252,Opel,Corsa,1997,Бензин,Рачен,Maлиградски,Сина,Македонска,042021,40kw/54ks,Еуро2,170000
48,1€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2002,Дизел,Автоматски,Седани,Сива,Македонска,032021,107kw/145ks,Еуро4,250000
49,1€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2002,Дизел,Автоматски,Седани,Сива,Македонска,032021,107kw/145ks,Еуро4,250000
50,4€,42.0768332158365,22.1770268046875,VWVolkswagen,Passat,2005,Дизел,Рачен,Каравани,Сина,Македонска,072021,103kw/140ks,Еуро4,200000
51,1099€,41.9870695865131,21.4519291484375,Opel,Astra,1998,Бензин/Плин,Рачен,Каравани,Црна,Македонска,102021,77kw/105ks,Останато,180000
52,По договор,41.346182,21.553379,Hyundai,i10,2009,Бензин,Рачен,Maлиградски,Црвена,Македонска,122021,48kw/65ks,Еуро4,140000
53,4400€,41.924335,22.404964,Mercedes-Benz,E200,2002,Бензин/Плин,Автоматски,Седани,Сива,Странска,122020,110kw/150ks,Еуро4,130000
54,2600€,42.009423,20.971549,BMW,318,2000,Бензин/Плин,Рачен,Седани,Сива,Македонска,122020,87kw/118ks,Еуро3,200000
55,690€,41.924335,22.404964,VWVolkswagen,Polo,1997,Бензин/Плин,Рачен,Maлиградски,Сина,Странска,052020,50kw/68ks,Еуро3,150000
56,2100€,41.9870695865131,21.4519291484375,Mercedes-Benz,E220,2001,Дизел,Рачен,Седани,Бела,Македонска,042021,105kw/143ks,Еуро4,200000
57,4800€,41.711096,22.848172,VWVolkswagen,Golf,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,112021,77kw/105ks,Еуро4,200000
58,2990€,41.346182,21.553379,Renault,Scenic,2004,Дизел,Рачен,Моноволумен,Сива,Македонска,062019,88kw/120ks,Еуро4,180000
59,4700€,42.132926,21.715878,Mazda,5,2007,Дизел,Рачен,Моноволумен,Сива,Македонска,102021,105kw/143ks,Еуро5,160000
60,11500€,41.967228,20.980786,VWVolkswagen,Passat,2010,Дизел,Рачен,Седани,Сива,Македонска,032021,86kw/117ks,Еуро5,160000
61,По договор,41.438304,22.004864,Mercedes-Benz,Vaneo,2004,Дизел,Рачен,Седани,Сива,Македонска,092020,67kw/91ks,Еуро4,250000
62,1€,42.205478,22.333429,Opel,Insignia,2009,Дизел,Рачен,Седани,Црна,Македонска,122021,96kw/131ks,Еуро5,180000
63,1МКД,41.9971606591218,21.4950942989071,Opel,Astra,2002,Бензин,Рачен,Хеџбек,Бела,Странска,122021,74kw/101ks,Еуро4,170000
64,По договор,41.438304,22.004864,Audi,A3,2004,Дизел,Рачен,Купеа,,Македонска,102020,103kw/140ks,Еуро4,250000
65,11€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Дизел,Рачен,Седани,Црна,Македонска,012021,125kw/170ks,Еуро6,170000
