,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,По договор,41.9870695865131,21.4519291484375,Mercedes-Benz,CLS350,2012,Дизел,110000,Автоматски,Седани,Црна,Македонска,052022,195kw/265ks,Еуро5
1,7800€,41.438304,22.004864,Opel,Insignia,2008,Дизел,200000,Автоматски,Седани,Сива,Македонска,122021,118kw/160ks,Еуро5
2,1€,41.346182,21.553379,VWVolkswagen,Golf,2020,Дизел,5000,Рачен,Хеџбек,Црна,Странска,052019,1kw/1ks,Еуро3
3,1€,42.052075,21.450415,Opel,Zafira,2006,Дизел,180000,Рачен,Моноволумен,Сива,Македонска,072020,88kw/120ks,Еуро4
4,900МКД,41.715954,21.770997,Yugo,55,2002,Бензин/Плин,35000,Рачен,Maлиградски,Сива,Македонска,072021,22kw/30ks,Еуро1
5,50€,42.009423,20.971549,Jeep,Cherokee,2003,Дизел,,Полуавтоматски,Теренци-SUV,Сива,Македонска,012022,105kw/143ks,Еуро4
6,6800€,41.949632,21.502494,VWVolkswagen,Passat,2007,Дизел,200000,Рачен,Каравани,Сива,Македонска,112021,150kw/204ks,Еуро4
7,2650€,42.009423,20.971549,Peugeot,107,2008,Бензин,190000,Рачен,Maлиградски,Жолта,Македонска,052021,50kw/68ks,Еуро4
8,1€,42.009423,20.971549,Audi,A4,2007,Дизел,,Рачен,Седани,Сива,Македонска,012021,200kw/272ks,Еуро4
9,1800€,41.9870695865131,21.4519291484375,Opel,Frontera,1993,Дизел,200000,Рачен,Теренци-SUV,Сина,Македонска,012020,90kw/122ks,Еуро3
10,3850€,42.009423,20.971549,Volvo,S80,2005,Дизел,200000,Автоматски,Седани,Црна,Македонска,072021,150kw/204ks,Еуро4
11,5900€,41.9870695865131,21.4519291484375,Seat,Leon,2010,Дизел,15000,Рачен,Седани,Бела,Македонска,012022,77kw/105ks,Еуро5
12,8650€,42.205478,22.333429,Audi,A4,2009,Дизел,190000,Рачен,Каравани,Бела,Македонска,012021,103kw/140ks,Еуро4
13,5100€,42.205478,22.333429,VWVolkswagen,Touran,2008,Дизел,190000,Рачен,Каравани,Сива,Македонска,012021,103kw/140ks,Еуро4
14,4700€,42.009423,20.971549,VWVolkswagen,Golf,2007,Дизел,200000,Рачен,Седани,Црна,Македонска,042022,103kw/140ks,Еуро3
15,11€,41.51282,20.96083,Opel,Corsa,1999,Бензин,200000,Рачен,Maлиградски,,Странска,012021,1kw/1ks,Еуро3
16,1€,41.031728,21.329358,VWVolkswagen,Caddy,2007,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,112021,77kw/105ks,Еуро4
17,4600€,41.715954,21.770997,Seat,Ibiza,2008,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,102021,59kw/80ks,Еуро4
18,9999МКД,41.221826,21.207874,BMW,118,2013,Дизел,100000,Рачен,Хеџбек,Црна,Странска,112021,105kw/143ks,Еуро5
19,1€,41.221826,21.207874,Audi,A4,2001,Дизел,190000,Рачен,Каравани,Црна,Македонска,032020,116kw/158ks,Еуро4
20,7200€,41.994543,22.181289,Opel,Insignia,2009,Дизел,250000,Рачен,Седани,Сива,Македонска,062022,118kw/160ks,Еуро5
21,1200€,41.516028,20.533415,Opel,Astra,1999,Бензин,200000,Рачен,Maлиградски,Сива,Македонска,082021,66kw/90ks,Еуро3
22,По договор,41.9870695865131,21.4519291484375,Seat,Toledo,2007,Дизел,200000,Рачен,Седани,Сина,Македонска,032022,77kw/105ks,Еуро4
23,4700€,42.132926,21.715878,VWVolkswagen,Golf,2007,Дизел,250000,Рачен,Хеџбек,Сина,Македонска,032022,77kw/105ks,Еуро4
24,7200€,41.994543,22.181289,Opel,Insignia,2009,Дизел,250000,Рачен,Седани,Сива,Македонска,062022,118kw/160ks,Еуро5
25,1€,42.132926,21.715878,BMW,Другмодел,2010,Бензин/Плин,5000,Рачен,Хеџбек,Црна,Македонска,042021,120kw/163ks,Еуро4
26,7500€,42.132926,21.715878,BMW,318,2009,Бензин,200000,Рачен,Седани,Црвена,Македонска,012022,105kw/143ks,Еуро4
27,1€,41.346182,21.553379,Yugo,45,1990,Бензин,35000,Рачен,Maлиградски,Црвена,Македонска,012020,100kw/136ks,Останато
28,5900€,41.9870695865131,21.4519291484375,Seat,Leon,2010,Дизел,15000,Рачен,Седани,Бела,Македонска,012022,77kw/105ks,Еуро5
29,4500€,41.989867,21.581912,VWVolkswagen,Touareg,2005,Дизел,160000,Автоматски,Теренци-SUV,Сива,Македонска,102021,230kw/313ks,Еуро4
30,1400€,41.865485,21.940845,VWVolkswagen,Passat,1997,Бензин/Плин,250000,Автоматски,Каравани,Сина,Македонска,022022,92kw/125ks,Останато
31,2900€,41.801881,20.913259,Daihatsu,Cuore,2003,Бензин,160000,Автоматски,Maлиградски,Сива,Македонска,0711625,1kw/1ks,Еуро4
32,2590€,41.9870695865131,21.4519291484375,Ford,Focus,2007,Дизел,180000,Рачен,Каравани,Сина,Македонска,092022,108kw/147ks,Еуро4
33,2200€,41.440569,22.639528,Peugeot,607,2001,Дизел,300000,Автоматски,Седани,Црна,Македонска,062021,130kw/177ks,Еуро1
34,По договор,41.438304,22.004864,Mercedes-Benz,C220,2016,Дизел,25000,Автоматски,Седани,Бела,Македонска,062020,170kw/231ks,Еуро6
35,1200€,41.031728,21.329358,Renault,Другмодел,1980,Бензин,90000,Рачен,Седани,Бела,Македонска,012020,75kw/102ks,Останато
36,1МКД,42.132926,21.715878,Audi,A3,2001,Бензин,120000,Рачен,Хеџбек,Сива,Странска,012020,101kw/137ks,Еуро3
37,10500€,42.205478,22.333429,Toyota,RAV4,2010,Дизел,180000,Рачен,Теренци-SUV,Црна,Македонска,062022,110kw/150ks,Еуро5
38,9€,41.884235,22.515181,Renault,Megane,1999,Бензин,20000,Рачен,Maлиградски,Црвена,Странска,082020,66kw/90ks,Еуро2
39,8€,41.801881,20.913259,Mercedes-Benz,C220,2008,Дизел,180000,Рачен,Седани,Сива,Македонска,092022,125kw/170ks,Еуро4
40,3150€,41.346182,21.553379,Renault,Clio,2007,Бензин,180000,Рачен,Maлиградски,Црна,Македонска,072022,55kw/75ks,Еуро4
41,4600€,41.978187,21.427388,Mitsubishi,Lancer,2008,Бензин,190000,Рачен,Седани,Црна,Македонска,112021,80kw/109ks,Еуро4
42,3€,42.132926,21.715878,BMW,218,2003,Дизел,200000,Рачен,Моноволумен,Зелена,Македонска,062022,81kw/110ks,Еуро3
43,5199€,42.009423,20.971549,VWVolkswagen,Golf,2008,Дизел,200000,Рачен,Седани,Црна,Македонска,082021,77kw/105ks,Еуро4
44,3245€,41.924335,22.404964,Opel,Astra,2004,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,052022,76kw/103ks,Еуро4
45,4600€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2007,Дизел,250000,Рачен,Каравани,Сина,Македонска,082022,103kw/140ks,Еуро4
46,260€,41.031728,21.329358,Ford,Fiesta,1999,Дизел,5000,Рачен,Maлиградски,Бела,Македонска,0911625,1kw/1ks,Еуро1
47,3100€,41.9870695865131,21.4519291484375,Citroen,C4,2006,Бензин/Плин,110000,Рачен,Хеџбек,Сина,Македонска,122021,65kw/88ks,Еуро4
48,5€,41.173346,20.677493,VWVolkswagen,Golf,2007,Дизел,200000,Автоматски,Maлиградски,Сива,Македонска,0911625,77kw/105ks,Еуро4
49,1€,41.031728,21.329358,Ford,Fiesta,1994,Бензин,5000,Рачен,Maлиградски,Црна,Македонска,012020,1kw/1ks,Еуро1
50,1€,41.031728,21.329358,Ford,Capri,1980,Бензин,5000,Рачен,Седани,Зелена,Македонска,0611625,0kw/0ks,Еуро1
51,8000€,41.9870695865131,21.4519291484375,VWVolkswagen,Tiguan,2008,Дизел,250000,Рачен,Седани,Црна,Странска,072022,82kw/111ks,Еуро4
52,2800€,41.031728,21.329358,Ford,Galaxy,2000,Дизел,300000,Рачен,Моноволумен,Сива,Македонска,102022,81kw/110ks,Еуро4
53,2800€,41.021096083154,21.3160514831543,VWVolkswagen,Passat,1995,Дизел,350000,Рачен,Каравани,Сина,Македонска,092022,81kw/110ks,Еуро4
54,8000€,41.801881,20.913259,Mercedes-Benz,E270,2002,Дизел,200000,Автоматски,Каравани,Сина,Македонска,112021,100kw/136ks,Еуро3
55,10€,41.884235,22.515181,Audi,A4,1998,Дизел,20000,Рачен,Maлиградски,Бела,Странска,082020,66kw/90ks,Еуро3
56,3200€,41.801881,20.913259,Audi,A3,2003,Дизел,200000,Рачен,Купеа,Црна,Македонска,032022,103kw/140ks,Еуро3
57,4100€,42.132926,21.715878,Skoda,Roomster,2007,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,122022,59kw/80ks,Еуро5
58,3290€,42.00877,21.45126,Ford,Mondeo,2006,Дизел,200000,Рачен,Седани,Сива,Македонска,082022,86kw/117ks,Еуро4
59,4300€,41.924335,22.404964,Seat,Leon,2006,Дизел,200000,Рачен,Седани,Црна,Македонска,082022,77kw/105ks,Еуро4
60,1650€,41.346182,21.553379,VWVolkswagen,Golf,2000,Бензин,190000,Рачен,Хеџбек,Сива,Македонска,112021,55kw/75ks,Еуро3
61,7000€,42.132926,21.715878,Audi,A3,2010,Бензин,190000,Рачен,Хеџбек,Сива,Македонска,042021,92kw/125ks,Еуро5
62,1600€,41.346182,21.553379,Citroen,C2,2006,Бензин/Плин,200000,Рачен,Maлиградски,Бела,Македонска,102021,44kw/60ks,Еуро3
63,2500€,41.346182,21.553379,VWVolkswagen,Fox,2006,Дизел,190000,Рачен,Maлиградски,Сива,Македонска,122021,51kw/69ks,Еуро3
64,3400€,41.9870695865131,21.4519291484375,Opel,Corsa,2007,Бензин,160000,Рачен,Хеџбек,Црна,Странска,122022,55kw/75ks,Еуро4
65,1€,41.031728,21.329358,Renault,Clio,2000,Дизел,65000,Рачен,Хеџбек,Бела,Македонска,112020,65kw/88ks,Еуро4
66,6990€,41.346182,21.553379,BMW,X3,2008,Дизел,140000,Рачен,Теренци-SUV,Сива,Македонска,0311625,120kw/163ks,Еуро4
67,4490€,41.346182,21.553379,Fiat,Sedici,2006,Дизел,150000,Рачен,Теренци-SUV,Сина,Македонска,122019,88kw/120ks,
68,4700€,42.132926,21.715878,VWVolkswagen,Golf,2007,Дизел,250000,Рачен,Хеџбек,Сина,Македонска,032022,77kw/105ks,Еуро4
69,2990€,41.346182,21.553379,Mazda,3,2008,Дизел,160000,Рачен,Останато,Сива,Македонска,082019,80kw/109ks,
70,1000€,41.978187,21.427388,AlfaRomeo,Brera,2007,Дизел,30000,Рачен,Купеа,Црна,Македонска,092020,22kw/30ks,Еуро3
71,4000€,41.924335,22.404964,Mercedes-Benz,CLK270,2003,Дизел,250000,Автоматски,Седани,Сива,Македонска,022022,125kw/170ks,Еуро4
72,480€,41.51282,20.96083,Citroen,SAXO,1998,Бензин,160000,Рачен,Maлиградски,Црна,Македонска,022022,43kw/58ks,Еуро3
73,10000€,41.745515,22.19396,VWVolkswagen,Passat,2010,Дизел,200000,Автоматски,Седани,Златна,Македонска,102021,105kw/143ks,Останато
74,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2005,Дизел,250000,Рачен,Моноволумен,Сива,Македонска,062022,77kw/105ks,Еуро4
75,1€,42.205478,22.333429,Ford,Focus,2009,Дизел,200000,Рачен,Каравани,Сива,Македонска,052021,80kw/109ks,Еуро4
76,1€,41.715954,21.770997,VWVolkswagen,Passat,2002,Дизел,15000,Рачен,Седани,Сина,Странска,062019,96kw/131ks,Еуро3
77,6€,42.132926,21.715878,Opel,Corsa,1999,Бензин,200000,Рачен,Хеџбек,Зелена,Македонска,122021,45kw/61ks,Еуро3
