,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,7000€,41.031728,21.329358,Suzuki,GrandVitara,2007,Дизел,200000,Рачен,Теренци-SUV,Црна,Македонска,112021,95kw/129ks,Еуро4
1,9€,41.9870695865131,21.4519291484375,Audi,A4,2009,Дизел,190000,Рачен,Седани,Црна,Македонска,012020,105kw/143ks,Еуро5
2,1€,41.7147450300759,21.7729753943641,Renault,Scenic,2002,Дизел,250000,Рачен,Моноволумен,Сина,Македонска,072021,79kw/107ks,Еуро4
3,2600€,42.0768332158365,22.1770268046875,VWVolkswagen,Bora,2000,Дизел,200000,Рачен,Каравани,Сива,Македонска,082021,85kw/116ks,Еуро4
4,4500€,41.931839,21.502835,Audi,A4,2005,Дизел,5000,Рачен,Седани,Сина,Македонска,0511625,116kw/158ks,Еуро4
5,900€,41.031728,21.329358,Toyota,Corolla,1992,Бензин/Плин,200000,Рачен,Хеџбек,Бела,Македонска,072021,55kw/75ks,Останато
6,800€,41.111733,20.798579,Yugo,Другмодел,2002,Бензин,75000,Рачен,Maлиградски,Црвена,Македонска,032022,45kw/61ks,Останато
7,16000€,41.173346,20.677493,VWVolkswagen,Touran,2016,Дизел,160000,Автоматски,Моноволумен,Црна,Македонска,072021,80kw/109ks,Останато
8,4500€,41.991502,21.39781,BMW,320,2002,Бензин,190000,Автоматски,Седани,Црна,Македонска,092021,125kw/170ks,Еуро4
9,3550€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2005,Дизел,200000,Рачен,Моноволумен,Зелена,Македонска,092021,140kw/190ks,Еуро4
10,6150€,42.205478,22.333429,BMW,320,2007,Дизел,190000,Рачен,Седани,Сива,Македонска,012021,120kw/163ks,Еуро4
11,9000€,41.9870695865131,21.4519291484375,Nissan,Qashqai,2010,Дизел,160000,Рачен,Теренци-SUV,Сива,Македонска,112021,90kw/122ks,Останато
12,8500€,42.013646,21.32586,Fiat,Tipo,2016,Бензин/Плин,55000,Рачен,Седани,Бела,Македонска,052020,70kw/95ks,Еуро6
13,1200€,41.715954,21.770997,VWVolkswagen,T3Други,1994,Бензин/Плин,190000,Рачен,Maлиградски,Црвена,Македонска,092021,56kw/76ks,Еуро3
14,11000€,41.51282,20.96083,Audi,A3,2009,Дизел,250000,Полуавтоматски,Кабриолети,Сина,Македонска,072021,102kw/139ks,Еуро4
15,5200€,42.132926,21.715878,Seat,AlteaXL,2008,Дизел,200000,Рачен,Седани,Сива,Македонска,012020,77kw/105ks,Еуро4
16,1600€,41.801881,20.913259,Renault,Clio,2000,Бензин,190000,Рачен,Maлиградски,Сина,Македонска,112021,10kw/14ks,Еуро3
17,11€,41.5184748707941,20.9856033325195,Fiat,Bravo,1998,Бензин,170000,Рачен,Хеџбек,Сина,Странска,012020,55kw/75ks,
18,88€,41.5191770295622,20.524059454956,Opel,Astra,1999,Бензин,190000,Рачен,Каравани,Бела,Македонска,012020,74kw/101ks,Еуро3
19,11300€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2015,Дизел,90000,Рачен,Хеџбек,Бела,Македонска,032022,77kw/105ks,Еуро5
20,20000МКД,41.949632,21.502494,Fiat,Seicento,2004,Бензин/Плин,150000,Рачен,Останато,Бела,Македонска,072021,50kw/68ks,Еуро3
21,400€,41.031728,21.329358,Opel,Vectra,1996,Дизел,180000,Рачен,Седани,Црвена,Македонска,112020,44kw/60ks,Еуро3
22,1€,41.031728,21.329358,Opel,Astra,2005,Дизел,200000,Рачен,Каравани,Сина,Македонска,062021,74kw/101ks,Еуро4
23,3100€,41.715954,21.770997,Peugeot,107,2009,Бензин/Плин,140000,Рачен,Хеџбек,Црвена,Македонска,042022,50kw/68ks,Еуро4
24,650€,41.989867,21.581912,Renault,Twingo,1996,Бензин/Плин,180000,Рачен,Maлиградски,Жолта,Македонска,022022,40kw/54ks,Еуро2
25,123€,41.9672284372052,21.550133228302,Volvo,S40,2010,Дизел,150000,Рачен,Седани,Сива,Македонска,012021,80kw/109ks,Еуро5
26,3000€,41.9870695865131,21.4519291484375,Opel,Astra,2005,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,0411625,74kw/101ks,Останато
27,100000МКД,41.924335,22.404964,Fiat,Punto,2001,Бензин/Плин,200000,Рачен,Останато,Црна,Македонска,052022,44kw/60ks,Еуро3
28,350€,41.031728,21.329358,,,,,,,,,,,,
29,2100€,42.013646,21.32586,AlfaRomeo,Alfa147,2003,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,022020,103kw/140ks,Останато
30,2650€,42.009423,20.971549,Mini,CooperS,2003,Бензин,140000,Рачен,Maлиградски,Сива,Македонска,042022,85kw/116ks,Останато
31,9000€,41.745515,22.19396,Mercedes-Benz,C220,2008,Дизел,160000,Рачен,Седани,Бела,Македонска,102021,125kw/170ks,Останато
32,1€,42.132926,21.715878,Mitsubishi,Lancer,2010,Дизел,140000,Рачен,Хеџбек,Сива,Македонска,102022,103kw/140ks,Еуро4
33,По договор,41.9870695865131,21.4519291484375,Porsche,Cayenne,2008,Бензин,140000,Автоматски,Теренци-SUV,Црна,Македонска,092021,300kw/408ks,Еуро4
34,2300€,41.9870695865131,21.4519291484375,Mercedes-Benz,200,2001,Дизел,300000,Рачен,Седани,Сина,Македонска,072021,85kw/116ks,Еуро4
35,3800€,42.132926,21.715878,Opel,Combo,2009,Дизел,20000,Рачен,Останато,Црна,Македонска,032022,13kw/18ks,Еуро4
36,9000€,42.052075,21.450415,Citroen,C-Crosser,2011,Дизел,250000,Автоматски,Теренци-SUV,Црна,Македонска,1111625,115kw/156ks,Еуро4
37,3000€,42.132926,21.715878,Opel,Astra,2005,Дизел,300000,Рачен,Хеџбек,Црна,Македонска,062021,110kw/150ks,Еуро4
38,1€,41.111733,20.798579,LandRover,Другмодел,1980,Дизел,15000,Рачен,Моноволумен,Зелена,Македонска,012020,55kw/75ks,Останато
39,1250€,41.111733,20.798579,VWVolkswagen,Passat,2000,Дизел,200000,Рачен,Седани,Црна,Македонска,062020,81kw/110ks,Еуро4
40,2750€,41.996115244862,21.4679718017578,Peugeot,307,2004,Дизел,200000,Рачен,Каравани,Сива,Македонска,092021,50kw/68ks,Еуро4
41,3900€,41.9870695865131,21.4519291484375,VWVolkswagen,GolfPlus,2005,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,092020,103kw/140ks,Еуро4
