,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,2649€,41.715954,21.770997,AlfaRomeo,Alfa147,2005,Дизел,190000,Рачен,Седани,Црна,Македонска,092019,85kw/116ks,
1,1000€,41.346182,21.553379,Yugo,55,2004,Бензин,35000,Рачен,Maлиградски,Црвена,Македонска,122019,44kw/60ks,
2,11990€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2012,Дизел,190000,Рачен,Седани,Бела,Македонска,022020,103kw/140ks,
3,1МКД,42.0475876992443,21.4810180664063,Fiat,Punto,2007,Бензин,160000,Рачен,Maлиградски,Златна,Македонска,122019,55kw/75ks,
4,6999€,41.884235,22.515181,Mercedes-Benz,E270,2004,Дизел,200000,Автоматски,Каравани,Црна,Македонска,062019,130kw/177ks,
5,4500€,42.1932759028146,21.7043000670733,Nissan,Terrano,2001,Дизел,200000,Рачен,Теренци-SUV,Сина,Македонска,082018,92kw/125ks,
6,1€,41.9870695865131,21.4519291484375,Opel,Corsa,2007,Дизел,130000,Рачен,Хеџбек,Сива,Македонска,092019,55kw/75ks,
7,4500€,41.315781,22.566826,Mercedes-Benz,E220,2005,Дизел,200000,Автоматски,Седани,Сива,Странска,012020,125kw/170ks,
8,1500€,41.711096,22.848172,Renault,Scenic,1998,Бензин,190000,Рачен,Моноволумен,Бела,Македонска,082019,66kw/90ks,
9,3350€,41.924335,22.404964,Mazda,3,2008,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,012020,80kw/109ks,
10,2999€,41.346182,21.553379,VWVolkswagen,Polo,2006,Бензин,150000,Рачен,Maлиградски,Сива,Македонска,042019,66kw/90ks,
11,По договор,41.51282,20.96083,VWVolkswagen,Sharan,2001,Дизел,250000,Рачен,Моноволумен,Сина,Македонска,072019,85kw/116ks,
12,1000€,41.9870695865131,21.4519291484375,Honda,Accord,1998,Дизел,250000,Рачен,Седани,Сива,Македонска,092019,77kw/105ks,
13,1€,41.346182,21.553379,Mercedes-Benz,C200,2008,Дизел,190000,Рачен,Седани,Сива,Македонска,102019,100kw/136ks,
14,12€,41.173346,20.677493,VWVolkswagen,Passat,2003,Бензин,190000,Рачен,Седани,Зелена,Странска,012018,110kw/150ks,
15,1€,41.111733,20.798579,BMW,320,2001,Дизел,300000,Рачен,Каравани,Сива,Македонска,092019,110kw/150ks,
16,123€,41.9670100594448,21.5503876769562,VWVolkswagen,Golf,2009,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,012019,81kw/110ks,
17,1€,41.346182,21.553379,Ford,Transit,2007,Дизел,200000,Рачен,Моноволумен,Црвена,Македонска,102019,63kw/86ks,
18,123€,41.9870695865131,21.4519291484375,Seat,Ibiza,2007,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,012019,74kw/101ks,
19,12€,41.173346,20.677493,Ford,Galaxy,2000,Дизел,190000,Рачен,Каравани,Зелена,Странска,012018,81kw/110ks,
20,12€,41.173346,20.677493,Audi,A6,2001,Дизел,180000,Рачен,Седани,Црна,Странска,012018,132kw/179ks,
21,8500€,41.484224,22.089622,VWVolkswagen,Touareg,2006,Дизел,250000,Автоматски,Теренци-SUV,Сина,Македонска,022020,165kw/224ks,
22,2500€,42.009423,20.971549,Fiat,Panda,2005,Бензин,130000,Рачен,Maлиградски,Црвена,Македонска,012020,40kw/54ks,
23,По договор,41.9870695865131,21.4519291484375,Seat,Cordoba,2002,Дизел,20000,Рачен,Хеџбек,Сива,Македонска,052020,67kw/91ks,
24,2890€,41.834089,20.883743,BMW,320,2000,Дизел,250000,Рачен,Седани,Црна,Македонска,052020,101kw/137ks,
25,2950€,41.924335,22.404964,Opel,Astra,2005,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,052017,74kw/101ks,
26,2400€,41.924335,22.404964,Opel,Corsa,2006,Дизел,160000,Рачен,Maлиградски,Сина,Македонска,052018,55kw/75ks,
27,3850€,41.924335,22.404964,VWVolkswagen,Touran,2005,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,042018,103kw/140ks,
28,13900€,41.9870695865131,21.4519291484375,VWVolkswagen,Sharan,2012,Дизел,160000,Автоматски,Моноволумен,Сива,Македонска,042020,103kw/140ks,
29,7000€,41.440569,22.639528,BMW,330,2008,Дизел,190000,Автоматски,Седани,,Странска,022020,170kw/231ks,
30,2€,41.031728,21.329358,Ford,Mondeo,2008,Дизел,100000,Рачен,Седани,Црна,Странска,122019,105kw/143ks,
31,650€,41.9870695865131,21.4519291484375,Daewoo,Nexia,1996,Бензин,,Рачен,Седани,Сива,Македонска,012018,55kw/75ks,
32,4300€,42.2002435836882,21.7047737168988,Toyota,RAV4,2003,Дизел,250000,Рачен,Теренци-SUV,Сина,Македонска,072019,85kw/116ks,
33,3650€,42.132926,21.715878,Opel,Astra,2007,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,092019,74kw/101ks,
34,1€,41.373181,21.252891,VWVolkswagen,Golf,1991,Дизел,250000,Рачен,Maлиградски,Црвена,Македонска,032019,44kw/60ks,
35,3000€,41.9870695865131,21.4519291484375,Renault,Megane,2005,Бензин/Плин,190000,Рачен,Седани,Сива,Македонска,102019,72kw/98ks,
36,1€,41.924335,22.404964,Mercedes-Benz,C220,2007,Дизел,200000,Рачен,Седани,Црна,Странска,102019,170kw/231ks,
37,1€,41.346182,21.553379,Mercedes-Benz,B200,2008,Дизел,80000,Рачен,Седани,Сива,Македонска,062020,105kw/143ks,
38,3650€,41.9870695865131,21.4519291484375,Opel,Meriva,2009,Дизел,100000,Рачен,Моноволумен,Сива,Македонска,102019,101kw/137ks,
39,2400€,41.14712,22.507161,Honda,Civic,2003,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,122019,74kw/101ks,
40,3500€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2000,Дизел,300000,Рачен,Останато,Сива,Македонска,082019,100kw/136ks,
41,1200€,41.9870695865131,21.4519291484375,Opel,Vectra,1996,Бензин/Плин,300000,Рачен,Седани,Црна,Македонска,042020,85kw/116ks,
42,2200€,41.031728,21.329358,Ford,Mondeo,2002,Дизел,170000,Рачен,Седани,Сива,Македонска,072019,96kw/131ks,
43,3600€,41.14712,22.507161,Mercedes-Benz,C200,2001,Дизел,250000,Автоматски,Седани,Зелена,Македонска,082019,85kw/116ks,
44,750€,42.132926,21.715878,AlfaRomeo,Alfa33,1994,Бензин/Плин,160000,Рачен,Седани,Црна,Македонска,012020,65kw/88ks,
45,1МКД,41.440569,22.639528,Peugeot,207,2008,Бензин,190000,Рачен,Седани,Бела,Странска,012020,80kw/109ks,
46,4200€,41.346182,21.553379,BMW,330,2000,Дизел,90000,Автоматски,Каравани,Сива,Македонска,102019,184kw/250ks,
47,4600€,41.438304,22.004864,Ford,Fiesta,2009,Дизел,130000,Рачен,Maлиградски,Сина,Македонска,102019,65kw/88ks,
48,По договор,41.346182,21.553379,VWVolkswagen,Polo,2003,Бензин,160000,Рачен,Хеџбек,Сива,Македонска,012019,55kw/75ks,
49,2300€,42.052075,21.450415,Audi,A6,2000,Дизел,300000,Автоматски,Седани,Црна,Македонска,062020,131kw/178ks,
50,1€,41.51282,20.96083,Fiat,Stilo,2007,Дизел,190000,Рачен,Хеџбек,,Македонска,082019,88kw/120ks,
51,4900€,41.111733,20.798579,VWVolkswagen,Golf,2004,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,112019,77kw/105ks,
52,1850€,41.51282,20.96083,Renault,Laguna,2001,Дизел,200000,Рачен,Седани,Сива,Македонска,072019,88kw/120ks,
53,1949€,41.9870695865131,21.4519291484375,Opel,Corsa,2001,Дизел,190000,Рачен,Maлиградски,Сина,Македонска,062019,52kw/71ks,
54,3590€,41.440569,22.639528,VWVolkswagen,Golf,2004,Дизел,200000,Рачен,Хеџбек,Бела,Македонска,072019,77kw/105ks,
55,950€,42.1208311138874,21.7447948953895,Ford,Ka,1999,Бензин,130000,Рачен,Седани,Црвена,Македонска,112019,35kw/48ks,
56,1250€,41.745515,22.19396,Fiat,Punto,1995,Дизел,250000,Рачен,Maлиградски,Жолта,Македонска,122019,52kw/71ks,
