,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација
2652,70000,41.978187,21.427388,3.0,56,Струја,Приземје,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,1Паркинг,Југозапад
2653,75000,41.978187,21.427388,1.0,65,Друго,1кат,ВоЗграда,Реновиран,Празен,Не,2Балкони,1,Не,Нема,Југ
2654,43050,41.931839,21.502835,2.0,41,Струја,Поткровје,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Север
2655,84150,41.991502,21.39781,3.0,99,Друго,4кат,ВоЗграда,Нов,Празен,Не,1Балкон,2,Не,Нема,Југ
2656,42900,41.931839,21.502835,2.0,42,Струја,4кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,1Паркинг,Југ
2657,69000,41.9870695865131,21.4519291484375,2.0,60,Друго,5кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Исток
2658,69900,41.978187,21.427388,3.0,56,Централно,2кат,ВоЗграда,Реновиран,Празен,Не,Нема,1,Да,Повеќеод3паркингместа,Југозапад
2659,41000,42.009423,20.971549,3.0,65,Друго,3кат,ВоЗграда,Стар,Полунаместен,Да,1Балкон,1,Не,Повеќеод3паркингместа,Југоисток
2660,63000,41.991502,21.39781,2.0,55,Централно,7кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,Нема,Исток
2661,90000,41.9870695865131,21.4519291484375,3.0,72,Централно,3кат,ВоЗграда,Стар,Празен,Да,1Балкон,2,Да,Повеќеод3паркингместа,Исток
2662,50000,41.031728,21.329358,4.0,80,Нема,1кат,Вокуќа,Стар,Празен,Не,1Тераса,2,Да,1Паркинг,Северозапад
2663,100000,41.9870695865131,21.4519291484375,3.0,87,Централно,3кат,ВоЗграда,Реновиран,Празен,Да,2Балкони,2,Да,1Паркинг,Исток
2664,68500,41.9870695865131,21.4519291484375,2.0,63,Централно,>15кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Не,1Паркинг,Исток
2665,71000,41.9870695865131,21.4519291484375,3.0,62,Централно,Приземје,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,3Паркингместа,Југоисток
2666,58000,41.931839,21.502835,2.0,66,Централно,7кат,ВоЗграда,Нов,Полунаместен,Да,1Балкон,1,Не,1Паркинг,Исток
2667,71000,41.949632,21.502494,3.0,62,Централно,Приземје,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,3Паркингместа,Југоисток
2668,39500,41.931839,21.502835,2.0,38,Друго,Приземје,ВоЗграда,Нов,Празен,Не,1Тераса,1,Не,Нема,Север
2669,78000,41.949632,21.502494,3.0,68,Централно,1кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Да,Нема,Исток
2670,120000,41.031728,21.329358,4.0,85,Централно,Приземје,ВоЗграда,Реновиран,Наместен,Не,2Балкони,1,Да,1Паркинг,Југоисток
2671,85000,41.9870695865131,21.4519291484375,3.0,64,Централно,3кат,ВоЗграда,Реновиран,Наместен,Да,1Балкон,1,Не,1Паркинг,Југ
2672,34000,41.031728,21.329358,2.0,64,Друго,4кат,ВоЗграда,Реновиран,Празен,Не,2Балкони,1,Да,1Паркинг,Исток
2673,52000,41.931839,21.502835,3.0,55,Централно,5кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Да,1Паркинг,Исток
2674,25000,41.111733,20.798579,1.0,28,Струја,4кат,ВоЗграда,Стар,Наместен,Не,1Балкон,1,Не,Повеќеод3паркингместа,Исток
2675,47000,41.9870695865131,21.4519291484375,2.0,35,Друго,1кат,ВоЗграда,Нов,Празен,Да,Нема,1,Не,Нема,Запад
2676,94000,41.9870695865131,21.4519291484375,3.0,91,Централно,3кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Да,Повеќеод3паркингместа,Североисток
2677,99000,41.9870695865131,21.4519291484375,3.0,77,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,2Балкони,2,Не,1Паркинг,Североисток
2678,55000,41.031728,21.329358,4.0,62,Друго,1кат,ВоЗграда,Нов,Наместен,Не,1Балкон,1,Не,1Паркинг,Север
2679,62000,41.978187,21.427388,2.0,55,Централно,2кат,ВоЗграда,Стар,Наместен,Не,1Балкон,1,Да,1Паркинг,Југ
2680,107000,41.931839,21.502835,3.0,109,Друго,1кат,ВоЗграда,Нов,Празен,Да,3Балкони,2,Не,Нема,Североисток
2681,96500,41.9870695865131,21.4519291484375,3.0,85,Централно,7кат,ВоЗграда,Нов,Празен,Да,1Балкон,2,Не,Нема,Исток
2682,49450,41.949632,21.502494,2.0,43,Друго,9кат,ВоЗграда,Воградба,Празен,Да,1Балкон,1,Не,Нема,Југоисток
2683,50600,41.9870695865131,21.4519291484375,2.0,44,Централно,1кат,ВоЗграда,Реновиран,Наместен,Да,Нема,1,Не,Нема,Југ
2684,57500,41.949632,21.502494,2.0,50,Друго,8кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,Нема,Југоисток
2685,52900,42.013646,21.32586,2.0,46,Друго,3кат,ВоЗграда,Нов,Празен,Не,1Балкон,1,Не,1Паркинг,Запад
2686,62100,42.013646,21.32586,3.0,54,Друго,3кат,ВоЗграда,Нов,Празен,Не,1Балкон,1,Не,1Паркинг,Запад
2687,56000,42.0084771314796,20.9810124714658,3.0,62,Централно,7кат,ВоЗграда,Нов,Празен,Да,1Балкон,2,Не,1Паркинг,Исток
2688,82000,41.993881168403,21.3905558671592,3.0,81,Струја,Приземје,ВоЗграда,Нов,Наместен,Не,Тераса+1Балкон,2,Не,2Паркингместа,Југоисток
2689,43000,41.111733,20.798579,2.0,44,Струја,Приземје,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Не,1Паркинг,Североисток
2690,69000,41.931839,21.502835,3.0,69,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Не,Повеќеод3паркингместа,Североисток
2691,75000,41.9870695865131,21.4519291484375,3.0,83,Друго,2кат,ВоЗграда,Реновиран,Празен,Да,2Балкони,1,Да,Повеќеод3паркингместа,Североисток
2692,80000,41.991502,21.39781,2.0,69,Централно,1кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Не,Нема,Исток
2693,215000,41.991502,21.39781,4.0,185,Централно,6кат,ВоЗграда,Нов,Празен,Да,Тераса+1Балкон,Повеќеод2,Не,2Паркингместа,Исток
2694,57000,42.013646,21.32586,3.0,84,Струја,5кат,ВоЗграда,Стар,Празен,Не,Нема,1,Да,Повеќеод3паркингместа,Исток
2695,69000,41.931839,21.502835,3.0,69,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Не,1Паркинг,Североисток
2696,115000,41.9870695865131,21.4519291484375,4.0,86,Централно,Приземје,ВоЗграда,Реновиран,Празен,Да,Нема,1,Не,1Паркинг,Североисток
2697,96000,42.013646,21.32586,4.0,135,Друго,1кат,ВоЗграда,Реновиран,Празен,Да,3Балкони,2,Не,1Гаража,Југозапад
2698,38000,42.009423,20.971549,2.0,39,Друго,4кат,ВоЗграда,Реновиран,Наместен,Да,1Балкон,1,Не,1Паркинг,Исток
2699,87000,41.9982079966843,21.3861282405053,3.0,70,Струја,Приземје,ВоЗграда,Реновиран,Полунаместен,Не,1Балкон,1,Да,Повеќеод3паркингместа,Североисток
2700,114000,41.978187,21.427388,4.0,95,Централно,13кат,ВоЗграда,Реновиран,Наместен,Да,1Балкон,2,Не,1Паркинг,Североисток
2701,143750,41.991502,21.39781,4.0,133,Друго,2кат,ВоЗграда,Нов,Празен,Да,2Балкони,2,Не,1Паркинг,Југ
2702,55000,42.013646,21.32586,2.0,50,Централно,1кат,ВоЗграда,Воградба,Празен,Да,1Балкон,1,Не,1Паркинг,Југоисток
2703,36000,41.9870695865131,21.4519291484375,2.0,39,Централно,10кат,ВоЗграда,Стар,Празен,Да,Нема,1,Да,Повеќеод3паркингместа,Југ
2704,70000,41.9870695865131,21.4519291484375,3.0,53,Нема,Приземје,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,Нема,Запад
2705,74000,41.9870695865131,21.4519291484375,3.0,83,Централно,2кат,ВоЗграда,Реновиран,Празен,Не,2Балкони,2,Да,1Паркинг,Исток
2706,66500,41.949632,21.502494,3.0,72,Централно,7кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,2,Да,1Паркинг,Југ
