,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,4100€,41.9870695865131,21.4519291484375,Audi,A3,2003,Дизел,200000,Рачен,Купеа,Сина,Македонска,112019,103kw/140ks,
1,1800€,41.440569,22.639528,Mercedes-Benz,A160,1999,Бензин/Плин,200000,Рачен,,Сива,Македонска,112019,75kw/102ks,
2,900€,41.887609742084,22.3823482910211,Peugeot,306,1997,Бензин,200000,Рачен,Каравани,Бела,Македонска,072019,0kw/0ks,
3,9300€,41.991502,21.39781,Opel,Vectra,2008,Бензин,120000,Автоматски,Седани,Сина,Македонска,032019,200kw/272ks,
4,3000€,41.373181,21.252891,Renault,Kangoo,2002,Дизел,190000,Рачен,Каравани,Зелена,Македонска,042020,60kw/82ks,
5,По договор,41.346182,21.553379,Opel,Corsa,2006,Бензин,130000,Рачен,Хеџбек,Сина,Странска,062019,59kw/80ks,
6,1€,41.346182,21.553379,VWVolkswagen,Golf,2001,Дизел,200000,Рачен,Каравани,Црвена,Македонска,092018,90kw/122ks,
7,2200€,41.9870695865131,21.4519291484375,VWVolkswagen,Polo,2001,Дизел,180000,Рачен,Maлиградски,Сива,Македонска,052019,55kw/75ks,
8,4700€,41.9870695865131,21.4519291484375,Mercedes-Benz,E270,2002,Дизел,30000,Рачен,Седани,Црна,Македонска,072019,130kw/177ks,
9,По договор,41.745515,22.19396,Aixam,741,2017,Дизел,15000,Автоматски,Теренци-SUV,Црвена,Странска,022018,9kw/12ks,
10,1€,41.994543,22.181289,Audi,A6,1995,Бензин/Плин,200000,Рачен,Седани,Сива,Македонска,052018,110kw/150ks,
11,По договор,41.991502,21.39781,Nissan,Qashqai,2015,Дизел,65000,Рачен,Теренци-SUV,Златна,Македонска,092019,80kw/109ks,
12,3150€,41.924335,22.404964,Opel,Astra,2005,Бензин/Плин,200000,Рачен,Хеџбек,Сина,Македонска,042019,98kw/133ks,
13,3300€,41.440569,22.639528,Fiat,Punto,2006,Дизел,200000,Рачен,Седани,Црна,Македонска,122020,131kw/178ks,
14,По договор,41.346182,21.553379,Audi,A4,1998,Дизел,400000,Рачен,Каравани,Сина,Македонска,022019,81kw/110ks,
15,3050€,41.9384793569408,21.5205161218262,Opel,Meriva,2004,Дизел,190000,Рачен,Моноволумен,Сива,Македонска,022020,74kw/101ks,
16,1€,41.14712,22.507161,VWVolkswagen,Golf,1993,Дизел,,Рачен,Останато,Сина,Македонска,032019,0kw/0ks,
17,25€,41.346182,21.553379,Citroen,Xsara,2000,Дизел,200000,Рачен,Седани,Сина,Странска,012018,66kw/90ks,
18,3250€,41.9380962782178,21.5196578149414,VWVolkswagen,Golf,2000,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,112019,96kw/131ks,
19,1€,41.14712,22.507161,Peugeot,307,2004,Дизел,190000,Рачен,Каравани,Сива,Македонска,052020,0kw/0ks,
20,5€,41.9870695865131,21.4519291484375,Kia,Sorento,2006,Дизел,200000,Рачен,Теренци-SUV,Црна,Македонска,012019,100kw/136ks,
21,4900€,41.801881,20.913259,Seat,Leon,2006,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,122022,110kw/150ks,Еуро5
22,11500€,41.801881,20.913259,Audi,A3,2010,Дизел,130000,Рачен,Хеџбек,Сива,Македонска,052020,110kw/150ks,Еуро5
23,3400€,41.9870695865131,21.4519291484375,Audi,A6,2003,Дизел,200000,Автоматски,Седани,Сива,Македонска,092019,131kw/178ks,
24,По договор,41.346182,21.553379,Opel,Meriva,2005,Дизел,160000,Рачен,Моноволумен,Сива,Странска,062019,74kw/101ks,
25,1700€,41.9870695865131,21.4519291484375,Peugeot,206,2002,Дизел,140000,Рачен,Хеџбек,Сина,Македонска,092019,55kw/75ks,
26,11111111€,41.111733,20.798579,Opel,Frontera,1998,Бензин,150000,Рачен,Теренци-SUV,Бела,Странска,012018,88kw/120ks,
27,1€,41.9870695865131,21.4519291484375,BMW,320,2003,Дизел,200000,Рачен,Седани,Сива,Македонска,042020,115kw/156ks,
28,1€,41.715954,21.770997,Mercedes-Benz,220,2001,Дизел,250000,Автоматски,Каравани,Црна,Македонска,122019,4kw/5ks,
29,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2004,Дизел,200000,Автоматски,Хеџбек,Сива,Македонска,082019,107kw/145ks,
30,1€,42.132926,21.715878,Opel,Antara,2007,Дизел,130000,Автоматски,Теренци-SUV,Сива,Македонска,062020,110kw/150ks,
31,2250€,42.132926,21.715878,Ford,Focus,2002,Дизел,140000,Рачен,Хеџбек,Сива,Македонска,062020,85kw/116ks,
32,3400€,41.991502,21.39781,Mitsubishi,Colt,2007,Бензин,5000,Рачен,Maлиградски,Сива,Странска,062019,70kw/95ks,
33,878787878€,41.315781,22.566826,Peugeot,308,2010,Дизел,160000,Рачен,Седани,Сива,Македонска,052020,80kw/109ks,
34,1€,41.440569,22.639528,VWVolkswagen,Passat,1999,Дизел,200000,Рачен,Седани,Сива,Македонска,052019,85kw/116ks,
35,350€,41.715954,21.770997,AlfaRomeo,Alfa146,1996,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,032020,16kw/22ks,
36,2599€,41.9870695865131,21.4519291484375,Ford,Focus,2002,Дизел,200000,Рачен,Хеџбек,Сина,Македонска,072019,85kw/116ks,
37,2290€,41.9870695865131,21.4519291484375,Ford,Fiesta,2006,Бензин,180000,Рачен,Maлиградски,Црна,Македонска,082019,50kw/68ks,
38,20МКД,41.715954,21.770997,AlfaRomeo,Alfa146,1996,Бензин,110000,Рачен,Maлиградски,Златна,Македонска,042017,76kw/103ks,
39,8600€,41.635743,22.470056,BMW,530,2008,Дизел,250000,Автоматски,Седани,Сива,Македонска,062020,226kw/307ks,
40,2750€,41.9870695865131,21.4519291484375,Fiat,Stilo,2004,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,102019,103kw/140ks,
41,8999€,42.132926,21.715878,Audi,A4,2009,Дизел,85000,Автоматски,Седани,Сива,Странска,052019,100kw/136ks,
42,3500€,41.9870695865131,21.4519291484375,Jeep,Cherokee,2001,Бензин/Плин,45000,Рачен,Теренци-SUV,Зелена,Македонска,112019,85kw/116ks,
43,1€,41.9870695865131,21.4519291484375,Suzuki,Maruti,1997,Бензин,50000,Рачен,Maлиградски,Сина,Македонска,062019,28kw/38ks,
44,3700€,42.013646,21.32586,Opel,Corsa,2008,Бензин,110000,Рачен,Хеџбек,Црна,Македонска,042020,66kw/90ks,
