,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
1,По договор,Fiat,Panda,2005,Дизел,190000,Рачен,Maлиградски,Зелена,Македонска,12022,69,Еуро4,51
5,По договор,Renault,Laguna,1994,Бензин,160000,Рачен,Останато,Сива,Македонска,72022,136,Еуро3,100
10,По договор,BMW,730,2016,Дизел,5000,Автоматски,Седани,Црна,Македонска,12022,265,Еуро6,195
11,По договор,BMW,320,2010,Дизел,190000,Рачен,Седани,Златна,Странска,12022,184,Еуро5,135
12,По договор,Ford,C-Max,2008,Дизел,190000,Рачен,Моноволумен,Сива,Македонска,122021,109,Еуро4,80
14,По договор,BMW,X5,2006,Дизел,250000,Автоматски,Хеџбек,Црна,Македонска,22022,218,Еуро3,160
15,По договор,Fiat,Punto,2011,Бензин,110000,Рачен,Maлиградски,Сина,Македонска,112021,77,Еуро5,57
16,По договор,Opel,Corsa,2006,Бензин,150000,Рачен,Maлиградски,Сива,Странска,12022,64,Еуро4,47
18,По договор,Opel,Astra,2012,Дизел,95000,Рачен,Хеџбек,Црна,Странска,12023,110,Еуро5,81
25,По договор,Skoda,Octavia,2013,Дизел,160000,Автоматски,Каравани,Црна,Странска,12021,105,Еуро5,77
27,По договор,Hyundai,Tucson,2007,Дизел,190000,Рачен,Теренци-SUV,Црна,Македонска,12022,140,Еуро4,103
28,По договор,VWVolkswagen,Jetta,2011,Дизел,150000,Рачен,Седани,Бела,Македонска,112022,105,Еуро5,77
32,По договор,BMW,120,2008,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,122021,177,Еуро4,130
39,По договор,Kia,Sportage,2006,Дизел,200000,Рачен,Теренци-SUV,Сина,Македонска,22023,140,Еуро4,103
40,По договор,VWVolkswagen,Golf,2015,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,82022,184,Еуро6,135
44,По договор,Lada,Niva,2015,Бензин/Плин,65000,Рачен,Теренци-SUV,Бела,Македонска,102022,82,Еуро5,60
55,По договор,Seat,Ibiza,2012,Дизел,130000,Рачен,Maлиградски,Црна,Македонска,22023,75,Еуро5,55
58,По договор,Peugeot,Bipper,2009,Дизел,200000,Рачен,Каравани,Сива,Македонска,32021,68,Еуро4,50
65,По договор,Audi,A3,2007,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,12021,105,Еуро4,77
67,По договор,Toyota,Corolla,2007,Бензин,200000,Рачен,Седани,Црна,Македонска,62022,101,Еуро4,74
114,По договор,Audi,A4,2015,Дизел,140000,Рачен,Седани,Црна,Македонска,112022,136,Еуро5,100
115,По договор,Renault,Clio,2007,Дизел,160000,Рачен,Теренци-SUV,Сива,Македонска,12022,106,Еуро4,78
199,По договор,Opel,Astra,2016,Дизел,150000,Рачен,Хеџбек,Сива,Македонска,122020,110,Еуро5,81
207,По договор,Renault,Megane,2007,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,82022,131,Еуро5,96
213,По договор,Mercedes-Benz,C220,2001,Дизел,300000,Рачен,Каравани,Сива,Македонска,42022,204,Еуро3,150
219,По договор,Ford,Focus,2006,Дизел,160000,Рачен,Хеџбек,Црна,Странска,12023,90,Еуро4,66
234,По договор,Opel,Corsa,2008,Бензин,120000,Рачен,Maлиградски,Црна,Македонска,122022,90,Еуро4,66
237,По договор,Opel,Corsa,2007,Бензин,180000,Рачен,Останато,Сива,Македонска,72022,80,Еуро4,59
238,По договор,Opel,Corsa,2008,Дизел,190000,Рачен,Maлиградски,Сива,Македонска,12022,75,Еуро4,55
245,По договор,Chevrolet,Captiva,2008,Дизел,170000,Рачен,Теренци-SUV,Црна,Македонска,82021,150,Еуро5,110
264,По договор,VWVolkswagen,Polo,2008,Дизел,130000,Рачен,Maлиградски,Сина,Странска,12023,69,Еуро4,51
267,По договор,Renault,Scenic,2007,Дизел,150000,Рачен,Моноволумен,Сива,Странска,12022,106,Еуро4,78
271,По договор,Lancia,Delta,2010,Дизел,180000,Рачен,Хеџбек,Сива,Странска,12023,120,Еуро5,88
272,По договор,Ford,Fiesta,2009,Дизел,120000,Рачен,Maлиградски,Сива,Странска,12022,68,Еуро4,50
277,По договор,Yugo,55,2003,Бензин/Плин,130000,Рачен,Maлиградски,Црвена,Македонска,32022,54,Еуро3,40
278,По договор,Ford,Fiesta,2010,Бензин/Плин,130000,Рачен,Maлиградски,Бела,Странска,12022,95,Еуро5,70
281,По договор,Fiat,500,2009,Дизел,110000,Рачен,Maлиградски,Бела,Странска,12022,75,Еуро4,55
320,По договор,BMW,320,2010,Дизел,180000,Рачен,Седани,Црна,Странска,42022,177,Еуро5,130
321,По договор,Fiat,GrandePunto,2007,Бензин/Плин,140000,Рачен,Maлиградски,Сива,Странска,12022,75,Еуро4,55
322,По договор,VWVolkswagen,Passat,2005,Дизел,190000,Рачен,Седани,Сива,Странска,12022,140,Еуро4,103
323,По договор,Citroen,C3,2011,Дизел,150000,Рачен,Maлиградски,Бела,Странска,12022,68,Еуро5,50
336,По договор,Opel,Corsa,2004,Дизел,190000,Рачен,Maлиградски,Сина,Странска,12022,69,Еуро4,51
340,По договор,Ford,Fiesta,2010,Дизел,110000,Рачен,Maлиградски,Сина,Странска,12022,68,Еуро4,50
344,По договор,Citroen,C2,2006,Бензин,130000,Рачен,Maлиградски,Црна,Странска,12022,69,Еуро4,51
345,По договор,Daihatsu,Sirion,2008,Бензин/Плин,150000,Рачен,Maлиградски,Црна,Странска,12022,75,Еуро4,55
347,По договор,Peugeot,Partner,2009,Дизел,150000,Рачен,Моноволумен,Златна,Странска,12022,90,Еуро4,66
349,По договор,Opel,Corsa,2012,Бензин,150000,Рачен,Maлиградски,Бела,Странска,12022,86,Еуро5,63
351,По договор,Peugeot,307,2005,Дизел,190000,Рачен,Седани,Црна,Македонска,52022,109,Еуро4,80
353,По договор,VWVolkswagen,Polo,2011,Дизел,130000,Рачен,Maлиградски,Бела,Странска,12023,90,Еуро5,66
356,По договор,VWVolkswagen,Passat,2008,Дизел,190000,Рачен,Каравани,Црна,Странска,12022,140,Еуро4,103
357,По договор,Fiat,Bravo,2008,Дизел,150000,Рачен,Хеџбек,Црна,Странска,12022,120,Еуро4,88
358,По договор,Opel,Meriva,2011,Дизел,150000,Рачен,Моноволумен,Златна,Странска,12021,110,Еуро5,81
359,По договор,Mercedes-Benz,C220,2011,Дизел,200000,Рачен,Седани,Сива,Странска,12022,170,Еуро5,125
360,По договор,Renault,Modus,2006,Бензин,130000,Рачен,Maлиградски,Црвена,Странска,12022,75,Еуро4,55
361,По договор,Renault,Megane,2015,Дизел,140000,Рачен,Каравани,Бела,Странска,12022,110,Еуро5,81
363,По договор,Nissan,Qashqai,2008,Дизел,170000,Рачен,Хеџбек,Црна,Странска,12022,106,Еуро4,78
364,По договор,Honda,CR-V,2007,Дизел,170000,Рачен,Теренци-SUV,Сива,Странска,12022,140,Еуро4,103
367,По договор,VWVolkswagen,Golf,2009,Дизел,190000,Рачен,Хеџбек,Сива,Странска,12023,110,Еуро5,81
368,По договор,Audi,A3,2004,Дизел,180000,Рачен,Купеа,Црна,Странска,12022,140,Еуро4,103
369,По договор,Renault,Scenic,2009,Дизел,130000,Рачен,Моноволумен,Златна,Странска,12022,110,Еуро5,81
374,По договор,BMW,118,2010,Дизел,180000,Автоматски,Хеџбек,Сива,Странска,12023,143,Еуро5,105
378,По договор,Ford,Focus,2012,Дизел,160000,Рачен,Хеџбек,Црна,Странска,12022,116,Еуро5,85
381,По договор,Chevrolet,Aveo,2009,Бензин/Плин,140000,Рачен,Maлиградски,Бела,Странска,12022,84,Еуро4,62
383,По договор,Opel,Corsa,1998,Бензин/Плин,200000,Рачен,Maлиградски,Сива,Македонска,62022,90,Еуро3,66
392,По договор,Toyota,RAV4,2009,Дизел,180000,Рачен,Теренци-SUV,Сива,Странска,12023,177,Еуро4,130
397,По договор,Fiat,Qubo,2009,Дизел,15000,Рачен,Maлиградски,Бела,Македонска,102022,75,Еуро4,55
411,По договор,Mercedes-Benz,E200,2010,Бензин,250000,Рачен,Купеа,Сина,Македонска,112022,184,Еуро5,135
415,По договор,Honda,CR-V,2007,Дизел,190000,Рачен,Теренци-SUV,Сива,Македонска,22022,141,Еуро5,104
433,По договор,Skoda,Octavia,2006,Дизел,200000,Автоматски,Каравани,Сива,Македонска,12020,140,Еуро4,103
440,По договор,Renault,GrandScenic,2008,Дизел,200000,Автоматски,Моноволумен,Црна,Македонска,82022,131,Еуро4,96
447,По договор,Renault,Twingo,1999,Бензин,130000,Рачен,Maлиградски,Сина,Македонска,122022,167,Еуро4,123
455,По договор,VWVolkswagen,Golf,2009,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,122022,109,Еуро5,80
476,По договор,Seat,Leon,2005,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,92022,105,Еуро4,77
480,По договор,Fiat,Linea,2009,Дизел,190000,Рачен,Седани,Бела,Македонска,102022,90,Останато,66
489,По договор,Audi,A3,1999,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,92022,90,Еуро3,66
492,По договор,BMW,123,2008,Дизел,200000,Рачен,Моноволумен,Бела,Македонска,22023,250,Еуро4,184
498,По договор,Mitsubishi,Colt,2004,Дизел,200000,Автоматски,Maлиградски,Сина,Македонска,12022,95,Еуро4,70
499,По договор,Mitsubishi,Colt,2005,Бензин,170000,Автоматски,Maлиградски,Црна,Македонска,12021,95,Еуро4,70
510,По договор,Mini,Clubman,2007,Дизел,200000,Автоматски,Хеџбек,Црна,Македонска,12021,109,Еуро4,80
533,По договор,Skoda,Octavia,2006,Дизел,190000,Рачен,Каравани,Сива,Македонска,112022,101,Еуро5,74
535,По договор,Citroen,DS3,2011,Бензин,95000,Рачен,Maлиградски,Црна,Македонска,52022,156,Еуро5,115
570,По договор,Audi,A4,2001,Бензин,15000,Рачен,Седани,Сива,Странска,82021,299,Еуро4,220
575,По договор,Mercedes-Benz,E350,2010,Дизел,200000,Автоматски,Седани,Сива,Македонска,12023,231,Еуро5,170
586,По договор,Mercedes-Benz,ML320,2007,Дизел,150000,Автоматски,Теренци-SUV,Бела,Македонска,122022,224,Еуро4,165
597,По договор,BMW,530,2011,Дизел,250000,Автоматски,Седани,Црна,Македонска,72022,245,Еуро5,180
608,По договор,Audi,A3,2017,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,92022,150,Еуро6,110
609,По договор,Fiat,Punto,2008,Дизел,170000,Рачен,Хеџбек,Сина,Македонска,112021,75,Еуро4,55
610,По договор,Ford,Fiesta,2012,Дизел,170000,Рачен,Хеџбек,Сина,Македонска,72021,82,Еуро5,60
612,По договор,Peugeot,208,2012,Бензин/Плин,190000,Рачен,Хеџбек,Златна,Македонска,112021,95,Еуро5,70
620,По договор,Mini,ONE,2006,Бензин,150000,Рачен,Maлиградски,Сина,Странска,12022,90,Еуро4,66
621,По договор,VWVolkswagen,Golf,2006,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,112021,105,Еуро4,77
622,По договор,Citroen,C3,2010,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,112022,92,Еуро5,68
624,По договор,Seat,AlteaXL,2008,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,112021,105,Еуро4,77
636,По договор,VWVolkswagen,Passat,2011,Дизел,200000,Рачен,Седани,Златна,Странска,12022,140,Еуро5,103
666,По договор,Audi,A4,2005,Дизел,190000,Рачен,Седани,Сива,Македонска,62022,136,Еуро4,100
671,По договор,Audi,A3,2006,Дизел,200000,Рачен,Седани,Црна,Странска,12021,105,Еуро4,77
672,По договор,Seat,Leon,2006,Дизел,190000,Рачен,Седани,Црна,Странска,52021,105,Еуро4,77
675,По договор,Mitsubishi,ASX,2012,Дизел,200000,Рачен,Теренци-SUV,Црна,Македонска,22023,150,Еуро5,110
685,По договор,Opel,Corsa,2006,Дизел,190000,Рачен,Maлиградски,Жолта,Македонска,12021,69,Еуро4,51
694,По договор,VWVolkswagen,Jetta,2013,Дизел,90000,Рачен,Седани,Сива,Македонска,12022,137,Еуро6,101
697,По договор,Audi,A3,2006,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,102021,105,Еуро4,77
698,По договор,BMW,X6,2009,Дизел,200000,Автоматски,Хеџбек,Црна,Македонска,82022,286,Еуро5,210
700,По договор,BMW,740,2017,Дизел,150000,Автоматски,Седани,Црна,Македонска,92022,320,Еуро6,235
727,По договор,BMW,X5,2011,Дизел,200000,Автоматски,Хеџбек,Црна,Македонска,122022,245,Еуро5,180
746,По договор,Audi,A4,1996,Дизел,300000,Рачен,Седани,Сива,Македонска,92022,90,Еуро3,66
747,По договор,Toyota,RAV4,2021,Бензин/Плин,180000,Рачен,Теренци-SUV,Сива,Македонска,122022,1,Еуро4,1
755,По договор,BMW,320,2010,Дизел,200000,Автоматски,Седани,Црна,Македонска,82022,177,Еуро4,130
773,По договор,VWVolkswagen,Tiguan,2011,Дизел,250000,Рачен,Теренци-SUV,Сива,Македонска,12023,140,Еуро5,103
774,По договор,VWVolkswagen,Tiguan,2009,Дизел,200000,Рачен,Теренци-SUV,Црна,Македонска,12021,140,Еуро5,103
783,По договор,Citroen,C3,2010,Бензин,120000,Рачен,Maлиградски,Сина,Македонска,12022,60,Еуро5,44
785,По договор,Opel,Astra,2007,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,12022,125,Еуро4,92
788,По договор,Audi,A3,2013,Дизел,170000,Рачен,Хеџбек,Бела,Македонска,12022,105,Еуро5,77
789,По договор,Mazda,626,2000,Дизел,180000,Рачен,Каравани,Сива,Македонска,102022,90,Останато,66
790,По договор,Peugeot,307,2006,Дизел,190000,Рачен,Каравани,Сива,Македонска,12022,109,Еуро4,80
792,По договор,Opel,Corsa,2012,Дизел,150000,Рачен,Maлиградски,Златна,Македонска,12022,95,Еуро5,70
793,По договор,Mercedes-Benz,A180,2009,Дизел,160000,Автоматски,Maлиградски,Сива,Македонска,12022,109,Еуро4,80
795,По договор,Ford,Fiesta,2010,Бензин/Плин,190000,Рачен,Maлиградски,Црна,Македонска,12022,97,Еуро5,71
797,По договор,Nissan,Qashqai,2008,Дизел,190000,Рачен,Теренци-SUV,Сива,Македонска,12022,103,Еуро4,76
799,По договор,Kia,Sportage,2006,Дизел,160000,Рачен,Теренци-SUV,Сива,Македонска,12022,140,Еуро4,103
800,По договор,Opel,Astra,2006,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,62021,101,Еуро4,74
801,По договор,AlfaRomeo,Giulietta,2011,Дизел,170000,Рачен,Хеџбек,Бела,Македонска,22021,140,Еуро5,103
803,По договор,Chevrolet,Spark,2013,Бензин,130000,Рачен,Maлиградски,Жолта,Македонска,112022,68,Еуро5,50
807,По договор,Peugeot,508,2011,Дизел,140000,Полуавтоматски,Седани,Црна,Македонска,911625,109,Еуро5,80
811,По договор,Opel,Corsa,2012,Дизел,130000,Рачен,Maлиградски,Црна,Македонска,12022,75,Еуро5,55
818,По договор,Honda,Civic,2007,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,52022,140,Еуро4,103
827,По договор,Seat,Ibiza,2006,Дизел,180000,Рачен,Maлиградски,Сива,Македонска,122021,80,Еуро4,59
828,По договор,Smart,ForFour,2004,Бензин/Плин,200000,Рачен,Maлиградски,Сива,Македонска,811625,95,Еуро4,70
860,По договор,Mercedes-Benz,C270,2001,Дизел,250000,Автоматски,Седани,Црна,Македонска,72022,170,Еуро3,125
865,По договор,VWVolkswagen,Golf,2009,Дизел,200000,Рачен,Maлиградски,Црна,Македонска,22022,105,Еуро4,77
876,По договор,BMW,530,2014,Дизел,250000,Автоматски,Седани,Сива,Македонска,102022,258,Еуро5,190
879,По договор,Mercedes-Benz,GLC350,2017,Хибрид,150000,Автоматски,Теренци-SUV,Сива,Македонска,92022,211,Еуро6,155
885,По договор,Peugeot,307,2005,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,122022,109,Еуро4,80
895,По договор,Citroen,C4,2012,Бензин,130000,Рачен,Седани,Сина,Македонска,22023,95,Еуро5,70
896,По договор,Audi,A3,2006,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,62022,105,Еуро4,77
897,По договор,VWVolkswagen,Touareg,2007,Дизел,190000,Автоматски,Теренци-SUV,Црна,Македонска,52021,224,Еуро4,165
902,По договор,Ford,Fiesta,2006,Дизел,170000,Рачен,Maлиградски,Сива,Македонска,12023,90,Еуро4,66
927,По договор,Mercedes-Benz,200,2003,Бензин/Плин,180000,Автоматски,Каравани,Златна,Македонска,22022,276,Еуро5,203
946,По договор,Seat,Ibiza,2002,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,112022,0,Останато,0
949,По договор,BMW,320,2017,Дизел,200000,Автоматски,Седани,Црна,Македонска,22023,190,Еуро5,140
950,По договор,Peugeot,207,2010,Бензин,200000,Рачен,Maлиградски,Сива,Македонска,122020,95,Еуро5,70
981,По договор,Ford,Fiesta,2012,Дизел,160000,Рачен,Maлиградски,Сива,Македонска,22022,95,Еуро5,70
989,По договор,Fiat,Panda,2008,Бензин,120000,Рачен,Maлиградски,Сива,Македонска,122021,60,Еуро4,44
996,По договор,Audi,A3,2013,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,122022,105,Еуро5,77
1017,По договор,Peugeot,208,2014,Дизел,130000,Рачен,Хеџбек,Бела,Македонска,42022,68,Останато,50
1054,По договор,BMW,530,2008,Дизел,250000,Автоматски,Седани,Сива,Македонска,12022,235,Еуро4,173
1064,По договор,Daihatsu,Cuore,2008,Бензин,170000,Рачен,Maлиградски,Црвена,Македонска,122021,68,Еуро5,50
1123,По договор,Ford,Focus,2007,Дизел,250000,Рачен,Каравани,Црна,Македонска,12022,90,Еуро4,66
1126,По договор,VWVolkswagen,Passat,2006,Дизел,200000,Рачен,Каравани,Сина,Македонска,12022,105,Еуро4,77
1129,По договор,VWVolkswagen,Golf,2006,Дизел,250000,Рачен,Каравани,Сина,Македонска,12022,101,Еуро4,74
1149,По договор,BMW,X3,2013,Дизел,190000,Рачен,Теренци-SUV,Црна,Македонска,92022,184,Еуро5,135
1174,По договор,Audi,A6,2012,Дизел,200000,Автоматски,Седани,Сива,Македонска,62022,245,Еуро5,180
1192,По договор,VWVolkswagen,Golf,2010,Дизел,150000,Рачен,Хеџбек,Сива,Македонска,12022,105,Еуро5,77
1198,По договор,VWVolkswagen,Passat,2007,Дизел,200000,Автоматски,Седани,Сива,Македонска,32022,140,Еуро3,103
1206,По договор,Ford,C-Max,2008,Дизел,190000,Рачен,Моноволумен,Црвена,Македонска,12022,109,Еуро4,80
1216,По договор,Fiat,Doblo,2010,Дизел,170000,Рачен,Хеџбек,Жолта,Македонска,112022,0,Еуро5,0
1235,По договор,Ford,Fiesta,2004,Бензин/Плин,190000,Рачен,Maлиградски,Зелена,Македонска,102022,75,Еуро4,55
1239,По договор,Peugeot,407,2006,Дизел,200000,Автоматски,Купеа,Црна,Македонска,112021,204,Еуро5,150
1242,По договор,Zastava,101,1980,Бензин,5000,Рачен,Седани,Бела,Македонска,12020,105,Еуро1,77
1261,По договор,AlfaRomeo,Alfa146,1995,Бензин/Плин,5000,Рачен,Хеџбек,Црвена,Македонска,62022,103,Еуро2,76
1262,По договор,BMW,318,1996,Дизел,300000,Рачен,Седани,Сина,Македонска,122023,91,Еуро3,67
1269,По договор,AlfaRomeo,GT,2006,Дизел,160000,Рачен,Купеа,Сива,Македонска,92022,152,Еуро4,112
1281,По договор,BMW,118,2008,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,62022,143,Еуро5,105
1282,По договор,Opel,Corsa,2010,Бензин,150000,Рачен,Maлиградски,Сина,Македонска,12022,95,Еуро5,70
1296,По договор,Fiat,GrandePunto,2006,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,12022,132,Еуро4,97
1303,По договор,LandRover,Freelander,2008,Дизел,200000,Автоматски,Теренци-SUV,Бела,Македонска,42022,136,Еуро4,100
1304,По договор,Volvo,S60,2005,Дизел,200000,Рачен,Седани,Сива,Македонска,42022,163,Еуро4,120
1321,По договор,VWVolkswagen,Golf,2009,Дизел,200000,Рачен,Седани,Црна,Македонска,102022,110,Еуро5,81
1340,По договор,Audi,A3,2009,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,122022,105,Еуро5,77
1344,По договор,Nissan,Qashqai,2009,Дизел,160000,Рачен,Теренци-SUV,Сива,Македонска,122022,150,Еуро4,110
1346,По договор,VWVolkswagen,Golf,2011,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,122022,105,Еуро5,77
1347,По договор,Seat,Altea,2008,Бензин/Плин,160000,Рачен,Хеџбек,Црна,Македонска,122022,86,Еуро4,63
1358,По договор,Opel,Astra,2010,Дизел,150000,Рачен,Хеџбек,Бела,Македонска,32022,110,Еуро5,81
1364,По договор,Mercedes-Benz,S320,2006,Дизел,200000,Автоматски,Седани,Сива,Македонска,42022,235,Еуро4,173
1385,По договор,Opel,Meriva,2008,Дизел,160000,Рачен,Седани,Сина,Македонска,102022,75,Еуро4,55
1389,По договор,Opel,Corsa,2005,Бензин,130000,Рачен,Maлиградски,Црвена,Македонска,12022,75,Еуро4,55
1396,По договор,VWVolkswagen,Golf,2012,Дизел,170000,Рачен,Хеџбек,Сина,Македонска,102022,105,Еуро5,77
1400,По договор,VWVolkswagen,Golf,2010,Дизел,180000,Рачен,Maлиградски,Сина,Македонска,42021,110,Еуро5,81
1403,По договор,Audi,A4,2012,Дизел,250000,Рачен,Седани,Сива,Македонска,12023,140,Еуро5,103
1404,По договор,Seat,Leon,2007,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,12023,105,Останато,77
1414,По договор,Ford,Focus,2012,Бензин,140000,Рачен,Хеџбек,Бела,Македонска,112022,150,Еуро5,110
1416,По договор,VWVolkswagen,Golf,2005,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,82022,140,Еуро5,103
1433,По договор,Opel,Corsa,2005,Дизел,150000,Рачен,Хеџбек,Сива,Македонска,82022,75,Еуро4,55
1434,По договор,VWVolkswagen,Golf,2002,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,102022,131,Еуро3,96
1436,По договор,VWVolkswagen,Golf,2013,Дизел,150000,Рачен,Хеџбек,Бела,Македонска,122022,105,Еуро5,77
1493,По договор,VWVolkswagen,Touran,2015,Дизел,130000,Рачен,Моноволумен,Бела,Македонска,42022,150,Еуро5,110
1509,По договор,Peugeot,307,2006,Дизел,180000,Рачен,Хеџбек,Сина,Македонска,82022,90,Еуро4,66
1557,По договор,Opel,Vectra,2004,Дизел,250000,Рачен,Каравани,Сива,Македонска,112022,150,Еуро4,110
1572,По договор,Citroen,C3,2004,Бензин/Плин,190000,Рачен,Maлиградски,Црвена,Македонска,62022,109,Еуро4,80
1603,По договор,BMW,730,2017,Дизел,95000,Автоматски,Седани,Бела,Македонска,72023,258,Еуро6,190
1613,По договор,Audi,A4,2003,Дизел,190000,Рачен,Седани,Сива,Македонска,12022,131,Еуро5,96
1616,По договор,Audi,A3,2007,Дизел,250000,Рачен,Хеџбек,Црна,Македонска,12022,170,Еуро4,125
1619,По договор,Ford,Fiesta,2010,Дизел,190000,Рачен,Maлиградски,Бела,Македонска,52022,68,Еуро4,50
1621,По договор,VWVolkswagen,Golf,2006,Дизел,200000,Рачен,Maлиградски,Сина,Македонска,12022,105,Еуро4,77
1623,По договор,VWVolkswagen,up!,2015,Бензин,110000,Рачен,Maлиградски,Црна,Македонска,122021,75,Еуро6,55
1630,По договор,VWVolkswagen,Passat,2017,Дизел,250000,Автоматски,Седани,Црна,Македонска,92022,239,Еуро6,176
1635,По договор,Chevrolet,Captiva,2007,Дизел,200000,Автоматски,Теренци-SUV,Златна,Македонска,82022,150,Еуро4,110
1657,По договор,Mercedes-Benz,E200,2018,Дизел,170000,Автоматски,Седани,Бела,Македонска,122022,156,Еуро6,115
1663,По договор,Mercedes-Benz,E280,2007,Дизел,20000,Автоматски,Седани,Сива,Македонска,112022,190,Еуро4,140
1665,По договор,BMW,320,2006,Дизел,180000,Рачен,Каравани,Сива,Македонска,52022,163,Еуро5,120
1666,По договор,Ford,Focus,2012,Дизел,150000,Автоматски,Каравани,Сива,Македонска,122021,140,Еуро5,103
1667,По договор,Ford,Mondeo,2006,Дизел,200000,Рачен,Каравани,Сива,Македонска,12021,135,Еуро4,99
1668,По договор,BMW,530,2012,Дизел,170000,Автоматски,Седани,Црна,Македонска,122022,258,Еуро5,190
1671,По договор,Hyundai,ix55,2010,Дизел,170000,Автоматски,Теренци-SUV,Сива,Македонска,112021,249,Еуро5,183
1682,По договор,VWVolkswagen,Golf,2008,Дизел,200000,Рачен,Седани,Црна,Македонска,72022,140,Еуро5,103
1695,По договор,VWVolkswagen,Touran,2004,Дизел,300000,Рачен,Теренци-SUV,Сина,Странска,72022,101,Еуро4,74
1697,По договор,Opel,Corsa,2017,Бензин,95000,Рачен,Maлиградски,Сина,Македонска,72022,69,Еуро6,51
1698,По договор,Opel,Corsa,2017,Бензин,100000,Рачен,Maлиградски,Бела,Македонска,72022,69,Еуро6,51
1699,По договор,Mercedes-Benz,E220,2016,Дизел,140000,Автоматски,Седани,Црна,Македонска,22022,194,Еуро6,143
1708,По договор,BMW,730,2011,Дизел,170000,Автоматски,Седани,Црна,Македонска,52022,245,Еуро5,180
1709,По договор,Porsche,Panamera,2013,Дизел,140000,Автоматски,Седани,Црна,Македонска,12021,250,Еуро6,184
1714,По договор,VWVolkswagen,Touran,2013,Дизел,200000,Рачен,Моноволумен,Бела,Македонска,12022,105,Еуро5,77
1727,По договор,Audi,A3,2008,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,122022,105,Еуро4,77
1730,По договор,VWVolkswagen,Jetta,2007,Дизел,200000,Рачен,Седани,Сива,Македонска,82022,105,Еуро4,77
1732,По договор,BMW,X6,2009,Дизел,190000,Автоматски,Теренци-SUV,Црвена,Македонска,42022,245,Еуро5,180
1733,По договор,Peugeot,2008,2013,Бензин,140000,Рачен,Теренци-SUV,Бела,Македонска,12021,82,Еуро5,60
1769,По договор,Opel,Meriva,2004,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,22022,101,Еуро4,74
1772,По договор,Mercedes-Benz,C220,2007,Дизел,190000,Автоматски,Седани,Црна,Странска,22022,231,Еуро4,170
1792,По договор,Dodge,Journey,2010,Дизел,180000,Автоматски,Теренци-SUV,Сива,Македонска,12021,140,Еуро4,103
1797,По договор,Opel,Astra,1994,Бензин/Плин,200000,Рачен,Кабриолети,Сина,Македонска,92021,116,Еуро2,85
1803,По договор,AlfaRomeo,Alfa147,2005,Дизел,250000,Рачен,Хеџбек,Црвена,Македонска,52022,179,Еуро4,132
1811,По договор,Ford,Fiesta,2000,Бензин,170000,Рачен,Maлиградски,Сина,Македонска,102021,60,Останато,44
1818,По договор,Audi,Q7,2007,Дизел,200000,Автоматски,Теренци-SUV,Сива,Македонска,72021,232,Еуро4,171
1861,По договор,Mercedes-Benz,C200,2008,Дизел,200000,Рачен,Седани,Црна,Македонска,42021,136,Останато,100
1882,По договор,VWVolkswagen,Passat,1996,Дизел,250000,Рачен,Седани,Сина,Македонска,32021,110,Останато,81
1884,По договор,AlfaRomeo,Alfa147,2001,Бензин,160000,Рачен,Хеџбек,Сина,Македонска,22020,120,Останато,88
1894,По договор,Renault,Clio,2010,Бензин,60000,Рачен,Maлиградски,Сива,Македонска,52022,75,Еуро5,55
1900,По договор,Smart,ForTwo,2008,Бензин,140000,Автоматски,Maлиградски,Сива,Странска,122022,71,Еуро4,52
1920,По договор,VWVolkswagen,Tiguan,2009,Дизел,200000,Рачен,Теренци-SUV,Сива,Македонска,12022,140,Еуро4,103
1930,По договор,Audi,A4,1998,Дизел,300000,Рачен,Каравани,Сина,Македонска,122022,90,Еуро2,66
