,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
1968,По договор,Opel,Corsa,2015,Бензин/Плин,95000,Рачен,Maлиградски,Бела,Македонска,122020,94,Еуро5,69
1991,По договор,Skoda,Yeti,2011,Бензин,200000,Рачен,Теренци-SUV,Сива,Македонска,22022,125,Еуро5,92
2001,По договор,Audi,A3,2014,Дизел,130000,Рачен,Хеџбек,Црна,Македонска,52022,150,Еуро5,110
2009,По договор,Hyundai,Getz,2007,Бензин,130000,Рачен,Maлиградски,Сина,Македонска,112021,97,Еуро4,71
2015,По договор,VWVolkswagen,Touran,2007,Дизел,190000,Рачен,Моноволумен,Сина,Македонска,72022,140,Еуро4,103
2016,По договор,Toyota,Yaris,2010,Бензин,150000,Рачен,Maлиградски,Црвена,Македонска,12021,75,Еуро4,55
2017,По договор,Audi,Q3,2012,Дизел,190000,Автоматски,Теренци-SUV,Бела,Македонска,12021,177,Еуро5,130
2020,По договор,BMW,X3,2006,Дизел,150000,Рачен,Теренци-SUV,Црна,Македонска,12021,150,Еуро4,110
2021,По договор,Opel,Antara,2010,Дизел,150000,Рачен,Теренци-SUV,Бела,Македонска,12021,150,Еуро4,110
2022,По договор,Fiat,Freemont,2012,Дизел,170000,Рачен,Теренци-SUV,Црна,Македонска,12021,150,Еуро5,110
2059,По договор,VWVolkswagen,Golf,2008,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,12021,105,Еуро4,77
2074,По договор,Lada,Samara,2000,Бензин/Плин,130000,Рачен,Седани,Црна,Македонска,52022,0,Останато,0
2075,По договор,Mitsubishi,Outlander,2007,Дизел,180000,Рачен,Теренци-SUV,Златна,Македонска,92021,140,Еуро5,103
2082,По договор,Mitsubishi,Outlander,2007,Дизел,180000,Рачен,Теренци-SUV,Златна,Македонска,102022,140,Еуро5,103
2111,По договор,Seat,Altea,2008,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,102022,231,Еуро4,170
2121,По договор,Renault,Megane,2011,Дизел,180000,Рачен,Каравани,Црна,Македонска,12022,106,Еуро5,78
2125,По договор,Volvo,440,1998,Бензин,110000,Рачен,Седани,Црвена,Македонска,112021,0,Останато,0
2128,По договор,Citroen,C3,2007,Дизел,170000,Рачен,Купеа,Сина,Македонска,12020,1,Еуро4,1
2129,По договор,Citroen,C4Picasso,2008,Дизел,190000,Рачен,Моноволумен,Златна,Македонска,102021,105,Еуро4,77
2133,По договор,Mercedes-Benz,C200,2009,Дизел,190000,Рачен,Седани,Сива,Македонска,12023,136,Еуро4,100
2144,По договор,VWVolkswagen,Touran,2007,Дизел,200000,Рачен,Моноволумен,Бела,Македонска,102022,105,Еуро4,77
2147,По договор,BMW,330,2008,Дизел,200000,Полуавтоматски,Кабриолети,Црна,Македонска,72022,231,Еуро4,170
2153,По договор,Mercedes-Benz,C320,2008,Дизел,250000,Автоматски,Седани,Сива,Македонска,102022,223,Еуро4,164
2175,По договор,Opel,Vectra,2002,Дизел,300000,Рачен,Седани,Сива,Македонска,112021,132,Останато,97
2179,По договор,Opel,Meriva,2004,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,42022,101,Еуро4,74
2184,По договор,Mercedes-Benz,E200,2015,Дизел,190000,Автоматски,Каравани,Сива,Македонска,52022,136,Еуро6,100
2194,По договор,Nissan,Qashqai,2013,Дизел,190000,Рачен,Теренци-SUV,Бела,Македонска,12020,131,Еуро5,96
2209,По договор,Hyundai,Getz,2008,Бензин,140000,Рачен,Хеџбек,Сина,Македонска,102021,97,Еуро4,71
2210,По договор,Audi,A4,2008,Дизел,200000,Автоматски,Седани,Црна,Македонска,112021,190,Еуро4,140
2222,По договор,BMW,318,2006,Дизел,190000,Рачен,Седани,Црна,Македонска,12020,122,Еуро4,90
2233,По договор,VWVolkswagen,Passat,2016,Дизел,190000,Рачен,Каравани,Сива,Македонска,82021,150,Еуро6,110
2237,По договор,Kia,Picanto,2007,Бензин,150000,Рачен,Maлиградски,Сина,Македонска,102021,61,Еуро4,45
